# Weather station Raisen, India, WMO_ID=42672,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42672&lang=en
#
"Local time in Raisen";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"12.12.2017 17:30";"23.4";"720.8";"758.3";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.2";"";"";"";"";"";"10.0";"16.9";"";"";"";"";"";"";
"12.12.2017 08:30";"15.8";"722.6";"761.2";"";"89";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"14.2";"";"";"";"600-1000";"";"";"4.0";"14.0";"";"";"";"";"";"";
"11.12.2017 17:30";"25.4";"720.7";"757.9";"";"53";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"27.6";"";"";"2500 or more, or no clouds.";"";"";"10.0";"15.1";"";"";"";"";"";"";
"11.12.2017 08:30";"10.0";"722.6";"762.0";"";"95";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"10.12.2017 08:30";"9.4";"722.7";"762.2";"";"95";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"09.12.2017 17:30";"23.0";"721.2";"758.8";"";"56";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"25.4";"";"";"2500 or more, or no clouds.";"";"";"10.0";"13.8";"";"";"";"";"";"";
"09.12.2017 08:30";"14.0";"722.4";"761.2";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"08.12.2017 17:30";"23.2";"721.3";"758.8";"";"67";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"23.8";"";"";"2500 or more, or no clouds.";"";"";"10.0";"16.7";"";"";"";"";"";"";
"08.12.2017 08:30";"15.2";"722.5";"761.2";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"07.12.2017 17:30";"20.8";"721.3";"759.1";"";"82";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"21.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"17.6";"";"";"";"";"";"";
"07.12.2017 08:30";"16.2";"721.3";"759.8";"";"79";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"15.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"12.6";"";"";"";"";"";"";
"06.12.2017 20:30";"21.8";"719.5";"757.1";"";"85";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"23.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.1";"";"";"";"";"";"";
"06.12.2017 17:30";"21.8";"719.5";"757.1";"";"85";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"23.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.1";"";"";"";"";"";"";
"06.12.2017 08:30";"16.6";"722.3";"760.8";"";"76";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"15.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"12.3";"";"";"";"";"";"";
"05.12.2017 17:30";"23.8";"721.3";"758.8";"";"53";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"25.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"13.5";"";"";"";"";"";"";
"05.12.2017 08:30";"13.2";"722.4";"761.3";"";"86";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"12.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"10.9";"";"";"";"";"";"";
"04.12.2017 17:30";"23.6";"721.3";"758.8";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"10.0";"13.3";"";"";"";"";"";"";
"04.12.2017 08:30";"10.6";"721.1";"760.3";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.5";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"03.12.2017 08:30";"10.0";"723.8";"763.3";"";"87";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"9.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"7.9";"";"";"";"";"";"";
"02.12.2017 17:30";"23.8";"722.5";"760.0";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"02.12.2017 08:30";"11.0";"723.9";"763.2";"";"88";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"10.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"9.0";"";"";"";"";"";"";
"01.12.2017 17:30";"25.4";"722.3";"759.6";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"10.0";"12.2";"";"";"";"";"";"";
"01.12.2017 08:30";"12.0";"723.3";"762.4";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"30.11.2017 17:30";"25.0";"722.5";"759.9";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"10.0";"12.1";"";"";"";"";"";"";
"30.11.2017 08:30";"10.8";"723.3";"762.6";"";"95";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.5";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"29.11.2017 17:30";"23.8";"722.9";"760.4";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"29.11.2017 08:30";"11.6";"722.8";"762.0";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"28.11.2017 17:30";"24.2";"723.5";"761.0";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"10.0";"14.9";"";"";"";"";"";"";
"28.11.2017 08:30";"9.4";"722.9";"762.4";"";"95";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"27.11.2017 17:30";"24.2";"723.4";"760.9";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"18.8";"";"";"";"";"";"";
"27.11.2017 08:30";"10.4";"722.8";"762.2";"";"95";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"26.11.2017 17:30";"24.6";"723.2";"760.6";"";"48";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"28.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"12.9";"";"";"";"";"";"";
"26.11.2017 08:30";"10.2";"724.4";"763.9";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.5";"";"";"";"";"";"";"10.0";"8.6";"";"";"";"";"";"";
"25.11.2017 17:30";"25.2";"722.7";"760.0";"";"49";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"27.4";"";"";"2500 or more, or no clouds.";"";"";"10.0";"13.7";"";"";"";"";"";"";
"24.11.2017 17:30";"25.0";"720.6";"757.9";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"10.0";"13.0";"";"";"";"";"";"";
"24.11.2017 08:30";"10.0";"723.6";"763.0";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"23.11.2017 17:30";"24.8";"720.9";"758.2";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.6";"";"";"";"";"";"10.0";"13.2";"";"";"";"";"";"";
"23.11.2017 08:30";"13.0";"722.6";"761.6";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"22.11.2017 17:30";"24.2";"721.1";"758.5";"";"56";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"25.2";"";"";"2500 or more, or no clouds.";"";"";"10.0";"14.9";"";"";"";"";"";"";
"22.11.2017 08:30";"17.6";"722.5";"760.8";"";"75";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"16.0";"";"";"";"600-1000";"";"";"4.0";"13.0";"";"";"";"";"";"";
"21.11.2017 17:30";"25.4";"723.5";"760.9";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.6";"";"";"";"";"";"10.0";"15.6";"";"";"";"";"";"";
"21.11.2017 08:30";"15.4";"723.1";"761.8";"";"83";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"14.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"12.5";"";"";"";"";"";"";
"20.11.2017 17:30";"25.2";"722.9";"760.2";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"10.0";"15.7";"";"";"";"";"";"";
"20.11.2017 08:30";"16.2";"723.9";"762.5";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"19.11.2017 17:30";"26.2";"720.8";"757.9";"";"66";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"27.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"19.4";"";"";"";"";"";"";
"19.11.2017 08:30";"17.8";"722.3";"760.6";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"18.11.2017 17:30";"26.0";"720.4";"757.5";"";"65";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"28.4";"";"";"2500 or more, or no clouds.";"";"";"10.0";"18.8";"";"";"";"";"";"";
"18.11.2017 08:30";"17.6";"722.0";"760.3";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"17.11.2017 17:30";"27.8";"720.1";"757.0";"";"52";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"28.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"17.0";"";"";"";"";"";"";
"17.11.2017 08:30";"18.2";"720.9";"759.1";"";"82";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"17.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"15.1";"";"";"";"";"";"";
"16.11.2017 17:30";"27.6";"720.4";"757.3";"";"55";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"28.4";"";"";"2500 or more, or no clouds.";"";"";"10.0";"17.8";"";"";"";"";"";"";
"16.11.2017 08:30";"17.4";"721.1";"759.4";"";"90";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"16.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"15.7";"";"";"";"";"";"";
"15.11.2017 17:30";"26.2";"719.6";"756.7";"";"54";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"27.8";"";"";"2500 or more, or no clouds.";"";"";"10.0";"16.1";"";"";"";"";"";"";
"15.11.2017 08:30";"14.4";"720.4";"759.1";"";"93";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"14.11.2017 17:30";"26.6";"719.7";"756.7";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"10.0";"17.0";"";"";"";"";"";"";
"14.11.2017 08:30";"15.0";"720.5";"759.1";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"13.11.2017 17:30";"25.8";"719.8";"756.9";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"10.0";"16.0";"";"";"";"";"";"";
"13.11.2017 08:30";"14.2";"720.9";"759.6";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"12.11.2017 17:30";"26.0";"720.7";"757.8";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.4";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
"12.11.2017 08:30";"14.4";"722.1";"760.9";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"11.11.2017 17:30";"25.8";"721.2";"758.4";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"11.11.2017 08:30";"12.8";"722.9";"761.9";"";"93";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"10.11.2017 17:30";"26.2";"721.0";"758.1";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"10.0";"13.9";"";"";"";"";"";"";
"10.11.2017 11:30";"12.6";"722.5";"761.5";"";"96";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"";"11.9";"";"";"";"";"";"";
"10.11.2017 08:30";"12.6";"722.5";"761.5";"";"96";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"10.0";"11.9";"";"";"";"";"";"";
"09.11.2017 17:30";"27.4";"721.2";"758.2";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"10.0";"14.5";"";"";"";"";"";"";
"09.11.2017 08:30";"15.6";"721.0";"759.5";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"08.11.2017 17:30";"26.6";"722.5";"759.6";"";"52";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"15.9";"";"";"";"";"";"";
"08.11.2017 08:30";"15.0";"723.9";"762.7";"";"96";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"07.11.2017 17:30";"27.4";"722.5";"759.5";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"10.0";"13.2";"";"";"";"";"";"";
"07.11.2017 08:30";"17.8";"723.1";"761.4";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"06.11.2017 17:30";"27.0";"722.2";"759.3";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"06.11.2017 08:30";"17.4";"723.5";"761.9";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"05.11.2017 17:30";"27.4";"722.1";"759.1";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"10.0";"13.6";"";"";"";"";"";"";
"05.11.2017 08:30";"17.0";"723.6";"762.1";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"04.11.2017 17:30";"27.6";"721.8";"758.8";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"04.11.2017 08:30";"17.0";"723.1";"761.5";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"03.11.2017 17:30";"28.2";"720.2";"757.0";"";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"10.0";"13.4";"";"";"";"";"";"";
"03.11.2017 08:30";"16.4";"721.8";"760.3";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"02.11.2017 17:30";"27.4";"721.8";"758.8";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"10.0";"13.2";"";"";"";"";"";"";
"02.11.2017 08:30";"15.0";"722.8";"761.5";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"10.0";"13.2";"";"";"";"";"";"";
"01.11.2017 17:30";"27.6";"721.5";"758.5";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"01.11.2017 08:30";"16.6";"723.9";"762.4";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"10.0";"14.5";"";"";"";"";"";"";
"31.10.2017 17:30";"27.4";"721.1";"758.1";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"10.0";"14.9";"";"";"";"";"";"";
"31.10.2017 08:30";"17.2";"722.6";"761.0";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"13.3";"";"";"";"";"";"";
"30.10.2017 17:30";"28.6";"721.9";"758.8";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"19.0";"";"";"";"";"";"";
"30.10.2017 08:30";"16.2";"723.6";"762.2";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"13.7";"";"";"";"";"";"";
"29.10.2017 17:30";"28.8";"721.4";"758.2";"";"54";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"31.6";"";"";"600-1000";"";"";"10.0";"18.6";"";"";"";"";"";"";
