# Weather station Raisen, India, WMO_ID=42672,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42672&lang=en
#
"Local time in Raisen";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"23.2";"722.6";"760.2";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.6";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"31.12.2017 08:30";"9.2";"723.0";"762.5";"";"97";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"30.12.2017 17:30";"23.0";"723.0";"760.6";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.2";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"30.12.2017 08:30";"8.8";"723.8";"763.4";"";"97";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.5";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"30.12.2017 05:30";"8.8";"723.8";"763.4";"";"97";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.5";"25.2";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"29.12.2017 17:30";"23.2";"722.4";"760.0";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"10.0";"14.4";"";"";"";"";"";"";
"29.12.2017 08:30";"8.4";"723.9";"763.6";"";"97";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.5";"";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"28.12.2017 17:30";"22.4";"722.5";"760.2";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.6";"";"";"";"";"";"10.0";"14.2";"";"";"";"";"";"";
"28.12.2017 08:30";"8.0";"723.8";"763.6";"";"97";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.5";"";"";"";"";"";"";"4.0";"7.6";"";"";"";"";"";"";
"27.12.2017 17:30";"22.0";"723.4";"761.2";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.2";"";"";"";"";"";"10.0";"10.8";"";"";"";"";"";"";
"27.12.2017 08:30";"6.0";"724.7";"764.8";"";"100";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"4.5";"";"";"";"";"";"";"4.0";"6.0";"";"";"";"";"";"";
"26.12.2017 17:30";"22.4";"723.5";"761.2";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.8";"";"";"";"";"";"10.0";"14.2";"";"";"";"";"";"";
"26.12.2017 08:30";"5.4";"724.6";"764.8";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.5";"";"";"";"";"";"";"4.0";"5.4";"";"";"";"";"";"";
"25.12.2017 17:30";"21.2";"723.5";"761.4";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.6";"";"";"";"";"";"10.0";"13.2";"";"";"";"";"";"";
"25.12.2017 08:30";"9.0";"724.3";"763.9";"";"97";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.5";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"24.12.2017 17:30";"23.8";"722.0";"759.5";"";"56";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"25.6";"";"";"2500 or more, or no clouds.";"";"";"10.0";"14.4";"";"";"";"";"";"";
"24.12.2017 08:30";"8.0";"723.1";"762.8";"";"97";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.5";"";"";"";"";"";"";"4.0";"7.6";"";"";"";"";"";"";
"23.12.2017 17:30";"22.4";"723.2";"760.9";"";"53";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"24.4";"";"";"2500 or more, or no clouds.";"";"";"10.0";"12.4";"";"";"";"";"";"";
"23.12.2017 08:30";"8.2";"723.7";"763.4";"";"97";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.5";"";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"22.12.2017 17:30";"21.2";"724.4";"762.4";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"22.4";"";"";"";"";"";"10.0";"14.4";"";"";"";"";"";"";
"22.12.2017 08:30";"8.8";"726.0";"765.7";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"21.12.2017 17:30";"22.4";"725.9";"763.8";"";"60";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"23.6";"";"";"2500 or more, or no clouds.";"";"";"10.0";"14.2";"";"";"";"";"";"";
"21.12.2017 08:30";"9.0";"726.8";"766.6";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.0";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"20.12.2017 17:30";"21.4";"725.2";"763.2";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"22.6";"";"";"";"";"";"10.0";"14.2";"";"";"";"";"";"";
"20.12.2017 08:30";"11.2";"726.6";"766.0";"";"95";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"9.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"10.4";"";"";"";"";"";"";
"19.12.2017 17:30";"20.8";"725.3";"763.4";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.0";"";"";"";"";"";"10.0";"13.1";"";"";"";"";"";"";
"19.12.2017 08:30";"6.8";"725.6";"765.6";"";"97";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"5.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"6.4";"";"";"";"";"";"";
"18.12.2017 17:30";"22.4";"725.3";"763.1";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.6";"";"";"";"";"";"10.0";"11.8";"";"";"";"";"";"";
"18.12.2017 08:30";"7.8";"727.0";"767.0";"";"97";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"6.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"7.4";"";"";"";"";"";"";
"17.12.2017 17:30";"20.8";"724.4";"762.4";"";"62";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"22.4";"";"";"2500 or more, or no clouds.";"";"";"10.0";"13.1";"";"";"";"";"";"";
"17.12.2017 08:30";"11.2";"726.9";"766.4";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.5";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"16.12.2017 17:30";"21.0";"724.7";"762.7";"";"60";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"22.2";"";"";"600-1000";"";"";"4.0";"12.9";"";"";"";"";"";"";
"16.12.2017 08:30";"13.0";"725.7";"764.8";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"15.12.2017 17:30";"23.4";"722.3";"759.9";"";"67";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"25.2";"";"";"2500 or more, or no clouds.";"";"";"10.0";"16.9";"";"";"";"";"";"";
"15.12.2017 08:30";"14.0";"724.3";"763.2";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"14.12.2017 17:30";"24.0";"722.3";"759.8";"";"72";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"24.8";"";"";"2500 or more, or no clouds.";"";"";"10.0";"18.7";"";"";"";"";"";"";
"14.12.2017 08:30";"14.8";"723.9";"762.7";"";"96";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"13.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"14.1";"";"";"";"";"";"";
"13.12.2017 17:30";"24.0";"721.7";"759.1";"";"71";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"24.6";"";"";"2500 or more, or no clouds.";"";"";"10.0";"18.3";"";"";"";"";"";"";
"13.12.2017 08:30";"14.0";"723.2";"762.1";"";"96";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
