# Weather station Chhindwara, India, WMO_ID=42768,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42768&lang=en
#
"Local time in Chhindwara";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"21.0";"699.9";"757.9";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"22.4";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"31.12.2017 08:30";"11.6";"702.8";"763.0";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"30.12.2017 17:30";"22.2";"701.3";"759.1";"";"55";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"23.5";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"30.12.2017 08:30";"10.0";"702.6";"763.1";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.0";"";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"29.12.2017 17:30";"21.2";"701.6";"759.7";"";"57";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"22.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.4";"";"";"";"";"";"";
"29.12.2017 08:30";"9.6";"703.6";"764.3";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.6";"";"";"";"";"";"";"4.0";"5.9";"";"";"";"";"";"";
"28.12.2017 17:30";"28.0";"701.8";"758.5";"";"40";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"28.12.2017 08:30";"8.6";"703.2";"764.1";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.7";"";"";"";"";"";"";"4.0";"6.6";"";"";"";"";"";"";
"27.12.2017 17:30";"22.0";"702.1";"760.0";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.0";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"27.12.2017 08:30";"9.0";"704.3";"765.2";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.6";"";"";"";"";"";"";"4.0";"4.8";"";"";"";"";"";"";
"26.12.2017 17:30";"22.8";"702.5";"760.3";"";"46";"Wind blowing from the north-east";"3";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"26.12.2017 08:30";"11.8";"704.6";"764.9";"";"62";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"7.2";"";"";"";"";"";"";"4.0";"4.8";"";"";"";"";"";"";
"25.12.2017 17:30";"23.4";"702.0";"759.6";"";"62";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"25.12.2017 08:30";"14.6";"703.4";"763.0";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"24.12.2017 08:30";"12.0";"702.9";"763.0";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.2";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"23.12.2017 17:30";"22.6";"701.2";"758.9";"";"59";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"";"28.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.1";"";"";"";"";"";"";
"23.12.2017 08:30";"12.2";"703.5";"763.6";"";"82";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"9.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.2";"";"";"";"";"";"";
"22.12.2017 17:30";"23.0";"703.5";"761.3";"";"56";"Wind blowing from the north-west";"2";"";"";"60%.";" ";"";"";"";"25.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.8";"";"";"";"";"";"";
"22.12.2017 08:30";"15.0";"705.1";"764.8";"";"72";"Wind blowing from the north-west";"2";"";"";"50%.";" ";"";"";"8.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.9";"";"";"";"";"";"";
"21.12.2017 17:30";"26.4";"703.8";"761.0";"";"48";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"";"31.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.5";"";"";"";"";"";"";
"21.12.2017 08:30";"12.0";"705.8";"766.2";"";"88";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"8.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.1";"";"";"";"";"";"";
"20.12.2017 17:30";"22.0";"703.3";"761.3";"";"61";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"31.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.1";"";"";"";"";"";"";
"20.12.2017 08:30";"15.0";"705.6";"765.3";"";"57";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"8.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"6.5";"";"";"";"";"";"";
"19.12.2017 17:30";"24.0";"703.6";"761.2";"";"57";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"";"32.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.8";"";"";"";"";"";"";
"19.12.2017 08:30";"14.0";"705.3";"765.2";"";"44";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"7.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"1.9";"";"";"";"";"";"";
"18.12.2017 17:30";"15.6";"699.7";"758.8";"";"64";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.7";"";"";"";"";"";"";
