# Weather station Khargone, India, WMO_ID=42849,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42849&lang=en
#
"Local time in Khargone";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.12.2017 08:30";"18.2";"742.9";"765.2";"";"57";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"11.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.5";"";"";"";"";"";"";
"19.12.2017 17:30";"23.4";"740.5";"762.3";"";"55";"Wind blowing from the north";"2";"";"";"50%.";" ";"";"";"";"24.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.9";"";"";"";"";"";"";
"19.12.2017 08:30";"17.4";"743.2";"765.5";"";"52";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"8.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.3";"";"";"";"";"";"";
"18.12.2017 17:30";"23.8";"741.8";"763.6";"";"51";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"24.4";"";"";"2500 or more, or no clouds.";"";"";"4.0";"13.1";"";"";"";"";"";"";
"18.12.2017 08:30";"16.8";"";"";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.7";"";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"17.12.2017 17:30";"25.4";"740.7";"762.4";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.8";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"17.12.2017 08:30";"19.6";"744.9";"767.1";"";"60";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"16.12.2017 17:30";"27.0";"739.6";"761.1";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"18.9";"";"";"";"";"";"";
"16.12.2017 08:30";"20.0";"741.9";"764.0";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"15.12.2017 17:30";"28.0";"738.5";"759.9";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"15.12.2017 08:30";"20.2";"740.6";"762.7";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"14.12.2017 17:30";"27.0";"737.9";"759.4";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"4.0";"20.0";"";"";"";"";"";"";
"14.12.2017 08:30";"19.4";"740.4";"762.5";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"13.12.2017 17:30";"26.4";"737.9";"759.4";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.8";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"13.12.2017 08:30";"17.6";"740.4";"762.7";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"12.12.2017 17:30";"26.6";"737.4";"758.9";"";"58";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"12.12.2017 08:30";"19.6";"740.6";"762.7";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"11.12.2017 17:30";"28.4";"736.6";"757.9";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.9";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"11.12.2017 08:30";"18.4";"739.2";"761.4";"";"63";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"10.12.2017 17:30";"28.0";"738.0";"759.4";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"10.12.2017 08:30";"20.6";"740.7";"762.7";"";"58";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
