# Weather station Sidhi, India, WMO_ID=42577,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42577&lang=en
#
"Local time in Sidhi";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"27.12.2017 08:30";"9.4";"740.0";"764.2";"";"84";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"7.8";"";"";"";"";"";"";"2.0";"6.8";"";"";"";"";"";"";
"26.12.2017 17:30";"23.0";"738.6";"761.6";"";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.6";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"26.12.2017 08:30";"9.4";"739.2";"763.4";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.0";"";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"25.12.2017 17:30";"23.0";"737.7";"760.7";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"25.12.2017 08:30";"9.8";"739.2";"763.3";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.0";"";"";"";"";"";"";"4.0";"6.4";"";"";"";"";"";"";
"24.12.2017 17:30";"24.4";"736.9";"759.7";"";"26";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"24.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"3.7";"";"";"";"";"";"";
"24.12.2017 08:30";"10.0";"739.1";"763.2";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.0";"";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"23.12.2017 17:30";"22.8";"739.1";"762.1";"";"31";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"24.6";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.7";"";"";"";"";"";"";
"23.12.2017 08:30";"11.0";"738.3";"762.3";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.2";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"22.12.2017 17:30";"23.6";"738.7";"761.7";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.2";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"22.12.2017 08:30";"11.8";"740.5";"764.5";"";"85";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.0";"";"";"";"";"";"";"2.0";"9.4";"";"";"";"";"";"";
"21.12.2017 17:30";"23.4";"739.8";"762.8";"";"54";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"23.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"13.5";"";"";"";"";"";"";
"21.12.2017 08:30";"11.4";"742.2";"766.3";"";"85";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"10.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"9.0";"";"";"";"";"";"";
"20.12.2017 17:30";"23.2";"739.7";"762.7";"";"46";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"23.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.0";"";"";"";"";"";"";
"20.12.2017 08:30";"12.4";"741.4";"765.4";"";"84";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"8.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"9.7";"";"";"";"";"";"";
"19.12.2017 17:30";"24.0";"738.9";"761.8";"";"38";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"24.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.8";"";"";"";"";"";"";
"19.12.2017 08:30";"10.0";"740.6";"764.8";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"4.0";"6.6";"";"";"";"";"";"";
"18.12.2017 17:30";"21.4";"739.8";"763.0";"";"43";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"22.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.1";"";"";"";"";"";"";
"18.12.2017 08:30";"11.8";"742.2";"766.2";"";"67";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"8.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"5.8";"";"";"";"";"";"";
"17.12.2017 17:30";"23.0";"740.3";"763.4";"";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.6";"";"";"";"";"";"4.0";"3.1";"";"";"";"";"";"";
"17.12.2017 08:30";"14.0";"742.0";"765.9";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.6";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"16.12.2017 17:30";"24.0";"739.1";"762.0";"";"41";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"25.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.8";"";"";"";"";"";"";
"16.12.2017 08:30";"14.4";"740.4";"764.2";"";"80";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"12.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.0";"";"";"";"";"";"";
"15.12.2017 17:30";"25.0";"738.3";"761.1";"";"48";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"26.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.2";"";"";"";"";"";"";
"15.12.2017 08:30";"14.6";"740.3";"764.1";"";"80";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"12.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.2";"";"";"";"";"";"";
"14.12.2017 17:30";"25.6";"738.2";"761.0";"";"47";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"27.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.4";"";"";"";"";"";"";
"14.12.2017 08:30";"15.4";"739.8";"763.5";"";"85";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"13.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"12.9";"";"";"";"";"";"";
"13.12.2017 17:30";"25.8";"736.9";"759.6";"";"43";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"27.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.3";"";"";"";"";"";"";
"13.12.2017 08:30";"17.0";"738.9";"762.4";"";"82";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"15.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"13.8";"";"";"";"";"";"";
"12.12.2017 17:30";"26.6";"736.1";"758.8";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"12.12.2017 08:30";"12.8";"737.7";"761.5";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"11.12.2017 17:30";"25.4";"735.5";"758.2";"";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.6";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"11.12.2017 08:30";"12.8";"738.3";"762.1";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"10.12.2017 17:30";"24.6";"736.0";"758.8";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"10.12.2017 08:30";"12.0";"738.3";"762.2";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"09.12.2017 17:30";"24.0";"736.1";"759.0";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.6";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"09.12.2017 08:30";"14.0";"737.6";"761.3";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"08.12.2017 17:30";"26.2";"736.1";"758.8";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.8";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"08.12.2017 08:30";"15.4";"738.2";"761.8";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"07.12.2017 17:30";"25.8";"736.1";"758.8";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.6";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"07.12.2017 08:30";"14.2";"737.5";"761.2";"";"87";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.0";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"06.12.2017 20:30";"25.0";"735.2";"757.9";"";"45";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"26.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.1";"";"";"";"";"";"";
"06.12.2017 17:30";"25.0";"735.2";"757.9";"";"45";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"26.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.1";"";"";"";"";"";"";
"06.12.2017 08:30";"15.4";"737.0";"760.6";"";"77";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"12.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"11.3";"";"";"";"";"";"";
"05.12.2017 17:30";"23.2";"735.2";"758.1";"";"30";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"24.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.6";"";"";"";"";"";"";
"05.12.2017 08:30";"10.4";"737.9";"761.9";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"04.12.2017 17:30";"24.0";"735.6";"758.4";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.8";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"04.12.2017 08:30";"11.0";"738.4";"762.4";"";"85";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.4";"";"";"";"";"";"";"less than 0.05";"8.6";"";"";"";"";"";"";
"03.12.2017 17:30";"24.6";"737.4";"760.3";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"4.0";"6.5";"";"";"";"";"";"";
"03.12.2017 08:30";"11.4";"739.8";"763.8";"";"88";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"9.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.4";"";"";"";"";"";"";
"02.12.2017 17:30";"24.0";"736.8";"759.7";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"02.12.2017 08:30";"11.6";"739.6";"763.6";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"01.12.2017 17:30";"23.6";"736.6";"759.5";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.8";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"01.12.2017 08:30";"10.8";"739.1";"763.1";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.4";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"30.11.2017 17:30";"25.4";"736.8";"759.6";"";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"4.0";"6.1";"";"";"";"";"";"";
"30.11.2017 08:30";"12.4";"739.0";"762.9";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.2";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"29.11.2017 17:30";"26.6";"736.8";"759.5";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"29.11.2017 08:30";"11.4";"738.1";"762.0";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"28.11.2017 17:30";"26.0";"736.1";"758.8";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.4";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"28.11.2017 08:30";"12.4";"737.6";"761.5";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"27.11.2017 17:30";"26.2";"736.3";"759.0";"";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"7.4";"";"";"";"";"";"";
"27.11.2017 08:30";"11.4";"739.0";"763.0";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.8";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"26.11.2017 17:30";"26.2";"737.0";"759.7";"";"25";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.6";"";"";"";"";"";"4.0";"4.4";"";"";"";"";"";"";
"26.11.2017 08:30";"11.4";"740.7";"764.7";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.4";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"25.11.2017 17:30";"24.4";"736.8";"759.6";"";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"25.11.2017 08:30";"12.2";"738.5";"762.4";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.4";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"24.11.2017 17:30";"24.8";"736.0";"758.8";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.8";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"24.11.2017 08:30";"10.8";"737.5";"761.5";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.4";"";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
"23.11.2017 17:30";"25.0";"735.9";"758.7";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
"23.11.2017 08:30";"13.4";"736.9";"760.6";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.4";"";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"22.11.2017 17:30";"25.2";"735.8";"758.6";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"22.11.2017 08:30";"15.4";"737.4";"761.0";"";"79";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"14.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.7";"";"";"";"";"";"";
"21.11.2017 17:30";"25.0";"736.6";"759.4";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"21.11.2017 08:30";"16.4";"738.9";"762.5";"";"70";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"14.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.8";"";"";"";"";"";"";
"20.11.2017 17:30";"26.8";"737.2";"759.9";"";"35";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"28.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.0";"";"";"";"";"";"";
"20.11.2017 08:30";"20.0";"738.7";"762.0";"";"71";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"17.6";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.5";"";"";"";"";"";"";
"19.11.2017 17:30";"28.6";"735.5";"758.0";"";"46";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"16.0";"";"";"";"";"";"";
"19.11.2017 08:30";"20.6";"737.1";"760.3";"";"87";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"19.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"18.4";"";"";"";"";"";"";
"18.11.2017 17:30";"29.0";"735.7";"758.2";"";"51";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"30.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.7";"";"";"";"";"";"";
"18.11.2017 08:30";"20.6";"736.6";"759.7";"";"89";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"18.6";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.7";"";"";"";"";"";"";
"17.11.2017 17:30";"28.0";"734.9";"757.4";"";"56";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"28.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"18.3";"";"";"";"";"";"";
"17.11.2017 08:30";"20.8";"736.7";"759.8";"";"80";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"18.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altocumulus translucidus at a single level.";"";"4.0";"17.2";"";"";"";"";"";"";
"16.11.2017 17:30";"26.0";"735.0";"757.7";"";"50";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"27.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.7";"";"";"";"";"";"";
"16.11.2017 08:30";"18.0";"736.0";"759.3";"";"86";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"16.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.6";"";"";"";"";"";"";
"15.11.2017 17:30";"27.8";"733.6";"756.1";"";"44";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"28.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.6";"";"";"";"";"";"";
"15.11.2017 08:30";"17.0";"736.0";"759.4";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"14.11.2017 17:30";"27.4";"732.9";"755.4";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"13.11.2017 17:30";"27.8";"733.6";"756.1";"";"33";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.8";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"13.11.2017 08:30";"17.0";"736.9";"760.3";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"12.11.2017 17:30";"27.2";"734.4";"757.0";"";"46";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.6";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"12.11.2017 08:30";"16.6";"736.8";"760.3";"";"77";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.4";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"11.11.2017 17:30";"27.6";"735.8";"758.4";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"11.11.2017 08:30";"16.8";"738.9";"762.4";"";"84";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.8";"";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
