# Weather station Sidhi, India, WMO_ID=42577,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42577&lang=en
#
"Local time in Sidhi";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"21.2";"737.0";"760.1";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"21.8";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"31.12.2017 08:30";"11.0";"740.3";"764.4";"";"95";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.4";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.05";"10.2";"";"";"";"";"";"";
"30.12.2017 17:30";"22.8";"736.9";"759.9";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.6";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"30.12.2017 08:30";"10.4";"740.8";"764.9";"";"90";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.8";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.05";"8.8";"";"";"";"";"";"";
"30.12.2017 05:30";"10.4";"740.8";"764.9";"";"90";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.8";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.05";"8.8";"";"";"";"";"";"";
"29.12.2017 17:30";"24.4";"737.6";"760.5";"";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"29.12.2017 08:30";"10.4";"740.0";"764.1";"";"82";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.0";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"28.12.2017 17:30";"24.6";"736.9";"759.7";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"4.0";"7.6";"";"";"";"";"";"";
"28.12.2017 08:30";"10.4";"740.0";"764.1";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.4";"";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
"27.12.2017 17:30";"24.0";"737.6";"760.5";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.6";"";"";"";"";"";"4.0";"6.1";"";"";"";"";"";"";
