# Weather station Gondia, India, WMO_ID=42871,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42871&lang=en
#
"Local time in Gondia";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.12.2017 17:30";"24.0";"";"";"";"57";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"15.0";"";"";"";"";"";"";
"22.12.2017 14:30";"28.0";"";"";"";"42";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"14.0";"";"";"";"";"";"";
"22.12.2017 11:30";"23.6";"";"";"";"57";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"14.5";"";"";"";"";"";"";
"22.12.2017 08:30";"15.2";"";"";"";"93";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.8";"";"";"";"";"";"";"1.0";"14.1";"";"";"";"";"";"";
"21.12.2017 17:30";"25.6";"";"";"";"60";"Wind blowing from the north-west";"2";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"29.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"17.3";"";"";"";"";"";"";
"21.12.2017 14:30";"28.2";"";"";"";"43";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"14.5";"";"";"";"";"";"";
"21.12.2017 11:30";"26.2";"";"";"";"52";"Wind blowing from the east";"3";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"15.5";"";"";"";"";"";"";
"21.12.2017 08:30";"15.9";"";"";"";"91";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.0";"14.4";"";"";"";"";"";"";
"20.12.2017 17:30";"26.0";"";"";"";"41";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.5";"";"";"";"";"";"2.0";"11.7";"";"";"";"";"";"";
"20.12.2017 14:30";"28.2";"";"";"";"35";"Wind blowing from the west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"20.12.2017 11:30";"24.0";"";"";"";"43";"Wind blowing from the north-east";"3";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.7";"";"";"";"";"";"";
"20.12.2017 08:30";"14.4";"";"";"";"82";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"8.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"11.4";"";"";"";"";"";"";
"19.12.2017 17:30";"26.4";"";"";"";"34";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.6";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"19.12.2017 14:30";"28.0";"";"";"";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"19.12.2017 11:30";"25.6";"";"";"";"32";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"7.6";"";"";"";"";"";"";
"19.12.2017 08:30";"14.6";"";"";"";"62";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"8.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"7.3";"";"";"";"";"";"";
"18.12.2017 17:30";"23.0";"";"";"";"38";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"27.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.0";"";"";"";"";"";"";
"18.12.2017 14:30";"27.0";"";"";"";"27";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"6.5";"";"";"";"";"";"";
"18.12.2017 08:30";"16.2";"";"";"";"81";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"12.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"13.0";"";"";"";"";"";"";
"17.12.2017 17:30";"26.2";"";"";"";"46";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"29.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.5";"";"";"";"";"";"";
"17.12.2017 14:30";"28.6";"";"";"";"38";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.0";"";"";"";"";"";"";
"17.12.2017 11:30";"24.0";"";"";"";"34";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.0";"";"";"";"";"";"";
"17.12.2017 08:30";"18.2";"";"";"";"81";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.0";"";"";"";"";"";"";"2.0";"14.8";"";"";"";"";"";"";
"16.12.2017 17:30";"27.6";"";"";"";"42";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"30.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"13.5";"";"";"";"";"";"";
"16.12.2017 14:30";"29.6";"";"";"";"37";"Wind blowing from the south-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"16.12.2017 11:30";"27.0";"";"";"";"47";"Wind blowing from the south-east";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"14.8";"";"";"";"";"";"";
"16.12.2017 08:30";"20.0";"";"";"";"84";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.0";"";"";"";"";"";"";"1.0";"17.2";"";"";"";"";"";"";
"15.12.2017 17:30";"27.6";"";"";"";"43";"Wind blowing from the north-east";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"31.0";"";"";"";"";"";"2.0";"13.9";"";"";"";"";"";"";
"15.12.2017 14:30";"30.4";"";"";"";"34";"Wind blowing from the east";"4";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"15.12.2017 11:30";"28.2";"";"";"";"45";"Wind blowing from the east-southeast";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"15.1";"";"";"";"";"";"";
"15.12.2017 08:30";"19.4";"";"";"";"77";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.5";"";"";"";"";"";"";"2.0";"15.3";"";"";"";"";"";"";
"14.12.2017 17:30";"27.4";"";"";"";"49";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.8";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"14.12.2017 14:30";"30.0";"";"";"";"40";"Wind blowing from the east";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"14.12.2017 11:30";"28.2";"";"";"";"48";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"14.12.2017 08:30";"19.6";"";"";"";"78";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.7";"";"";"";"";"";"";"2.0";"15.6";"";"";"";"";"";"";
"13.12.2017 17:30";"28.4";"";"";"";"43";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"31.2";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"13.12.2017 14:30";"30.8";"";"";"";"36";"Wind blowing from the south-east";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"13.12.2017 11:30";"28.2";"";"";"";"43";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"13.12.2017 08:30";"17.2";"";"";"";"85";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.5";"";"";"";"";"";"";"2.0";"14.6";"";"";"";"";"";"";
"12.12.2017 17:30";"25.8";"";"";"";"52";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"30.4";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"12.12.2017 14:30";"29.6";"";"";"";"38";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"12.12.2017 11:30";"28.0";"";"";"";"42";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"12.12.2017 08:30";"18.2";"";"";"";"73";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.8";"";"";"";"";"";"";"2.0";"13.2";"";"";"";"";"";"";
