# Weather station Gondia, India, WMO_ID=42871,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42871&lang=en
#
"Local time in Gondia";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"27.2";"";"";"";"36";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.2";"";"";"";"";"";"2.0";"10.8";"";"";"";"";"";"";
"31.12.2017 14:30";"28.2";"";"";"";"29";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"31.12.2017 11:30";"25.0";"";"";"";"47";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"31.12.2017 08:30";"15.6";"";"";"";"73";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.6";"";"";"";"";"";"";"2.0";"10.7";"";"";"";"";"";"";
"30.12.2017 17:30";"27.4";"";"";"";"36";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.0";"";"";"";"";"";"2.0";"10.9";"";"";"";"";"";"";
"30.12.2017 14:30";"28.4";"";"";"";"27";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"30.12.2017 11:30";"25.4";"";"";"";"40";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.8";"";"";"";"";"";"";
"30.12.2017 08:30";"13.8";"";"";"";"87";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.2";"";"";"";"";"";"";"1.0";"11.6";"";"";"";"";"";"";
"29.12.2017 17:30";"25.0";"";"";"";"46";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.0";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"29.12.2017 14:30";"28.0";"";"";"";"31";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"29.12.2017 11:30";"25.0";"";"";"";"43";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"29.12.2017 08:30";"14.6";"";"";"";"85";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.5";"";"";"";"";"";"";"2.0";"12.0";"";"";"";"";"";"";
"28.12.2017 17:30";"26.4";"";"";"";"35";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.0";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"28.12.2017 14:30";"28.0";"";"";"";"25";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.9";"";"";"";"";"";"";
"28.12.2017 11:30";"24.4";"";"";"";"36";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"28.12.2017 08:30";"13.6";"";"";"";"87";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.6";"";"";"";"";"";"";"2.0";"11.5";"";"";"";"";"";"";
"27.12.2017 17:30";"24.2";"";"";"";"37";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.2";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"27.12.2017 14:30";"27.0";"";"";"";"29";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"27.12.2017 11:30";"25.0";"";"";"";"38";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.8";"";"";"";"";"";"";
"27.12.2017 08:30";"15.2";"";"";"";"81";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.1";"";"";"";"";"";"";"1.0";"11.9";"";"";"";"";"";"";
"26.12.2017 17:30";"24.8";"";"";"";"35";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.2";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"26.12.2017 14:30";"27.2";"";"";"";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.0";"";"";"";"";"";"";
"26.12.2017 11:30";"24.8";"";"";"";"35";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"26.12.2017 08:30";"13.4";"";"";"";"73";"Wind blowing from the west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.5";"";"";"";"";"";"";"1.0";"8.6";"";"";"";"";"";"";
"25.12.2017 17:30";"25.4";"";"";"";"38";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.6";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"25.12.2017 14:30";"27.6";"";"";"";"34";"Wind blowing from the west-northwest";"4";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"25.12.2017 11:30";"24.6";"";"";"";"43";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"25.12.2017 08:30";"14.4";"";"";"";"85";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.6";"";"";"";"";"";"";"1.0";"11.8";"";"";"";"";"";"";
"24.12.2017 17:30";"26.2";"";"";"";"46";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.5";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"24.12.2017 14:30";"28.0";"";"";"";"30";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"24.12.2017 11:30";"25.6";"";"";"";"45";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"12.9";"";"";"";"";"";"";
"24.12.2017 08:30";"18.0";"";"";"";"82";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"9.8";"";"";"";"";"";"";"1.0";"14.9";"";"";"";"";"";"";
"23.12.2017 17:30";"26.2";"";"";"";"35";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.4";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"23.12.2017 14:30";"27.6";"";"";"";"33";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.7";"";"";"";"";"";"";
"23.12.2017 11:30";"25.0";"";"";"";"42";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"11.2";"";"";"";"";"";"";
"23.12.2017 08:30";"18.2";"";"";"";"82";"Calm, no wind";"0";"";"";"20–30%.";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.0";"15.1";"";"";"";"";"";"";
