# Weather station Hoshangabad, India, WMO_ID=42763,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42763&lang=en
#
"Local time in Hoshangabad";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"24.8";"732.4";"757.9";"-1.2";"51";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"26.3";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"31.12.2017 14:30";"25.4";"733.6";"759.1";"-2.5";"48";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"31.12.2017 11:30";"22.6";"736.1";"762.0";"-0.2";"41";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"31.12.2017 08:30";"15.0";"736.3";"762.9";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"30.12.2017 17:30";"25.8";"733.9";"759.4";"-0.6";"42";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"28.1";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"30.12.2017 14:30";"27.6";"734.5";"759.9";"-2.4";"34";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"30.12.2017 11:30";"22.4";"736.9";"762.7";"0.0";"41";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"30.12.2017 08:30";"15.0";"736.9";"763.5";"";"68";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"30.12.2017 05:30";"15.0";"736.9";"763.5";"";"68";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"29.12.2017 17:30";"26.4";"734.5";"760.0";"-0.6";"40";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"27.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.8";"";"";"";"";"";"";
