# Weather station Hoshangabad, India, WMO_ID=42763,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42763&lang=en
#
"Local time in Hoshangabad";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.12.2017 14:30";"27.0";"735.1";"760.6";"-2.2";"37";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"29.12.2017 11:30";"22.0";"737.3";"763.3";"0.2";"45";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.4";"";"";"";"";"";"";
"29.12.2017 08:30";"15.0";"737.1";"763.8";"";"63";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"10.7";"";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"28.12.2017 17:30";"26.2";"734.2";"759.6";"-1.2";"44";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.1";"";"";"";"";"";"10.0";"12.9";"";"";"";"";"";"";
"28.12.2017 14:30";"27.2";"735.4";"760.8";"-1.8";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.1";"";"";"";"";"";"";
"28.12.2017 11:30";"21.2";"737.2";"763.1";"0.2";"48";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.7";"";"";"";"";"";"";
"28.12.2017 08:30";"14.2";"737.0";"763.6";"";"70";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"27.12.2017 17:30";"25.0";"734.8";"760.4";"-0.9";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.7";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"27.12.2017 14:30";"26.0";"735.7";"761.2";"-1.8";"32";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.2";"";"";"";"";"";"";
"27.12.2017 11:30";"22.4";"737.5";"763.5";"0.0";"41";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.5";"";"";"";"";"";"";
"27.12.2017 08:30";"14.6";"737.5";"764.2";"";"68";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"26.12.2017 17:30";"25.6";"736.0";"761.6";"-0.3";"40";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"28.7";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"26.12.2017 14:30";"28.4";"736.3";"761.7";"-2.2";"34";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.9";"";"";"";"";"";"";
"26.12.2017 11:30";"25.0";"738.5";"764.4";"0.4";"37";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.3";"";"";"";"";"";"";
"26.12.2017 08:30";"16.0";"738.1";"764.6";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.8";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"25.12.2017 17:30";"25.2";"734.8";"760.3";"-0.3";"53";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"25.12.2017 14:30";"28.2";"735.1";"760.4";"-2.3";"36";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"25.12.2017 11:30";"23.0";"737.4";"763.3";"0.1";"45";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"25.12.2017 08:30";"15.2";"737.3";"763.9";"";"76";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"24.12.2017 17:30";"25.6";"734.2";"759.7";"-0.3";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"24.12.2017 14:30";"28.0";"734.5";"760.7";"-1.8";"38";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"24.12.2017 11:30";"23.0";"736.3";"762.2";"-0.1";"47";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"24.12.2017 08:30";"15.4";"736.4";"763.0";"";"75";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"23.12.2017 17:30";"25.2";"734.3";"759.8";"-0.9";"37";"Wind blowing from the south-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"28.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.6";"";"";"";"";"";"";
"23.12.2017 14:30";"27.6";"735.2";"760.6";"-1.9";"36";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.2";"";"";"";"";"";"";
"23.12.2017 11:30";"22.0";"737.1";"763.0";"0.0";"45";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.4";"";"";"";"";"";"";
"23.12.2017 08:30";"15.2";"737.1";"763.6";"";"77";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"12.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.1";"";"";"";"";"";"";
"22.12.2017 17:30";"23.6";"736.7";"762.5";"-0.4";"59";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"";"25.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.1";"";"";"";"";"";"";
"22.12.2017 14:30";"25.0";"737.1";"762.8";"-1.8";"49";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.4";"";"";"";"";"";"";
"22.12.2017 11:30";"21.2";"738.9";"765.0";"-0.4";"53";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"22.12.2017 08:30";"13.8";"739.3";"766.1";"";"78";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"11.6";"";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"21.12.2017 17:30";"26.0";"737.2";"762.8";"-0.6";"49";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"27.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.3";"";"";"";"";"";"";
"21.12.2017 14:30";"26.8";"737.8";"763.3";"-1.9";"48";"Wind blowing from the south-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.9";"";"";"";"";"";"";
"21.12.2017 11:30";"22.4";"739.7";"765.6";"-0.3";"55";"Wind blowing from the south-east";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.0";"";"";"";"";"";"";
"21.12.2017 08:30";"14.6";"740.0";"766.7";"";"87";"Wind blowing from the east";"1";"";"";"no clouds";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"11.2";"";"";"";"";"";"";"2.0";"12.4";"";"";"";"";"";"";
"20.12.2017 17:30";"24.4";"737.2";"762.9";"-0.3";"51";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"26.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.5";"";"";"";"";"";"";
"20.12.2017 14:30";"25.0";"737.5";"763.2";"-2.1";"43";"Wind blowing from the east";"2";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.7";"";"";"";"";"";"";
"20.12.2017 11:30";"22.0";"739.6";"765.7";"-0.1";"57";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.0";"";"";"";"";"";"";
"20.12.2017 08:30";"14.6";"739.7";"766.4";"";"80";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"11.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.2";"";"";"";"";"";"";
"19.12.2017 17:30";"25.8";"736.2";"761.8";"-0.4";"43";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"28.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.3";"";"";"";"";"";"";
"19.12.2017 14:30";"28.0";"736.6";"762.0";"-2.6";"35";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.3";"";"";"";"";"";"";
"19.12.2017 11:30";"24.6";"739.2";"765.0";"-0.1";"34";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.6";"";"";"";"";"";"";
"19.12.2017 08:30";"15.4";"739.3";"765.9";"";"65";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"9.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"8.8";"";"";"";"";"";"";
"18.12.2017 17:30";"24.0";"737.9";"763.8";"-0.6";"34";"Wind blowing from the south-east";"2";"";"";"70 – 80%.";" ";"";"";"";"26.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.2";"";"";"";"";"";"";
"18.12.2017 14:30";"25.0";"738.5";"764.2";"-2.2";"28";"Wind blowing from the south-east";"2";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.4";"";"";"";"";"";"";
"18.12.2017 11:30";"22.4";"740.7";"766.7";"0.1";"48";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.9";"";"";"";"";"";"";
"18.12.2017 08:30";"14.0";"740.6";"767.5";"";"78";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"13.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.2";"";"";"";"";"";"";
"17.12.2017 17:30";"25.0";"738.0";"763.7";"-0.4";"45";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"26.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"12.1";"";"";"";"";"";"";
"17.12.2017 14:30";"26.0";"738.4";"764.1";"-2.2";"38";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.7";"";"";"";"";"";"";
"17.12.2017 11:30";"22.4";"740.7";"766.7";"0.1";"48";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.9";"";"";"";"";"";"";
"17.12.2017 08:30";"17.4";"740.6";"766.6";"";"60";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"14.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.4";"";"";"";"";"";"";
"16.12.2017 17:30";"27.2";"736.6";"762.1";"-0.6";"42";"Wind blowing from the south-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"28.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.3";"";"";"";"";"";"";
"16.12.2017 14:30";"28.0";"737.2";"762.7";"-1.7";"40";"Wind blowing from the south-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.1";"";"";"";"";"";"";
"16.12.2017 11:30";"24.0";"738.9";"764.8";"0.1";"42";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"16.12.2017 08:30";"18.6";"738.8";"765.1";"";"68";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"15.12.2017 17:30";"28.4";"735.4";"760.6";"-0.6";"48";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"29.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.2";"";"";"";"";"";"";
"15.12.2017 14:30";"28.2";"736.0";"761.4";"-1.4";"51";"Wind blowing from the south-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.1";"";"";"";"";"";"";
"15.12.2017 11:30";"25.2";"737.4";"763.1";"-0.2";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"15.12.2017 08:30";"18.6";"737.6";"763.9";"";"83";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"16.9";"";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"14.12.2017 17:30";"29.0";"734.8";"759.4";"-0.7";"52";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"30.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.1";"";"";"";"";"";"";
"14.12.2017 14:30";"29.4";"735.5";"760.7";"-1.8";"42";"Wind blowing from the south-east";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.0";"";"";"";"";"";"";
"14.12.2017 11:30";"25.0";"737.3";"763.0";"0.3";"58";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.2";"";"";"";"";"";"";
"14.12.2017 08:30";"19.0";"737.0";"763.3";"";"77";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"16.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.9";"";"";"";"";"";"";
"13.12.2017 17:30";"28.8";"733.9";"759.1";"-0.6";"47";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"30.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.3";"";"";"";"";"";"";
"13.12.2017 14:30";"30.0";"734.5";"759.7";"-1.7";"47";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.4";"";"";"";"";"";"";
"13.12.2017 11:30";"27.0";"736.2";"761.7";"0.0";"32";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.7";"";"";"";"";"";"";
"13.12.2017 08:30";"19.4";"736.2";"762.4";"";"76";"Wind blowing from the east";"1";"";"";"40%.";" ";"";"";"16.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.0";"";"";"";"";"";"";
"12.12.2017 17:30";"27.8";"733.7";"759.1";"-0.4";"52";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"29.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.0";"";"";"";"";"";"";
"12.12.2017 14:30";"28.4";"734.1";"759.4";"-2.2";"48";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.2";"";"";"";"";"";"";
"12.12.2017 11:30";"26.0";"736.3";"762.0";"-0.1";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.3";"";"";"";"";"";"";
"12.12.2017 08:30";"18.4";"736.4";"762.7";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"11.12.2017 17:30";"28.6";"732.7";"757.9";"-0.8";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.9";"";"";"";"";"";"10.0";"12.6";"";"";"";"";"";"";
"11.12.2017 14:30";"30.2";"733.5";"758.6";"-2.2";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.2";"";"";"";"";"";"";
"11.12.2017 11:30";"24.0";"735.7";"761.5";"-0.3";"42";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.3";"";"";"";"";"";"";
"11.12.2017 08:30";"16.0";"736.0";"762.6";"";"69";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"10.12.2017 17:30";"28.6";"733.5";"758.8";"-0.8";"31";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"10.0";"9.7";"";"";"";"";"";"";
"10.12.2017 14:30";"28.8";"734.3";"759.6";"-1.8";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.5";"";"";"";"";"";"";
"10.12.2017 11:30";"26.4";"736.1";"761.6";"-0.3";"38";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.9";"";"";"";"";"";"";
"10.12.2017 08:30";"15.8";"736.4";"763.0";"";"75";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"09.12.2017 17:30";"28.2";"733.5";"758.8";"-0.4";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.7";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"09.12.2017 14:30";"30.0";"733.9";"759.1";"-1.9";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.9";"";"";"";"";"";"";
"09.12.2017 11:30";"28.0";"735.8";"761.2";"-0.2";"39";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.7";"";"";"";"";"";"";
"09.12.2017 08:30";"21.0";"736.0";"762.0";"";"57";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"08.12.2017 17:30";"28.0";"733.1";"758.5";"-0.7";"49";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"29.3";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
