# Weather station Khajuraho (airport), India, WMO_ID=42567,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42567&lang=en
#
"Local time in Khajuraho (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"18.0";"740.3";"759.8";"-0.8";"53";"Wind blowing from the north-northeast";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"21.5";"";"";"";"";"";"2.0";"8.3";"";"";"";"";"";"";
"31.12.2017 14:30";"20.4";"741.1";"760.5";"-2.9";"48";"Wind blowing from the north-northeast";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.1";"";"";"";"";"";"";
"31.12.2017 11:30";"13.6";"744.0";"763.9";"0.8";"87";"Calm, no wind";"0";"";"";"";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"0.2";"11.4";"";"";"";"";"";"";
"31.12.2017 08:30";"9.4";"743.2";"763.4";"";"97";"Calm, no wind";"0";"";"";"";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"6.0";"";"";"";"";"";"";"0.05";"9.0";"";"";"";"";"";"";
"30.12.2017 17:30";"21.0";"741.3";"760.7";"-0.4";"57";"Wind blowing from the north-northeast";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.9";"";"";"";"";"";"2.0";"12.1";"";"";"";"";"";"";
"30.12.2017 14:30";"23.6";"741.7";"760.9";"-2.4";"48";"Wind blowing from the north-northeast";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"12.0";"";"";"";"";"";"";
"30.12.2017 11:30";"18.0";"744.1";"763.7";"0.1";"62";"Wind blowing from the north-northeast";"2";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"1.0";"10.6";"";"";"";"";"";"";
"30.12.2017 08:30";"8.0";"744.0";"764.3";"";"94";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"6.1";"";"";"";"";"";"";"0.05";"7.1";"";"";"";"";"";"";
"30.12.2017 05:30";"8.0";"744.0";"764.3";"";"94";"Calm, no wind";"0";"";"";"";"Fog or ice fog, sky invisible, has begun or has become thicker during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"6.1";"";"";"";"";"";"";"0.05";"7.1";"";"";"";"";"";"";
"29.12.2017 17:30";"23.0";"740.9";"760.1";"-1.1";"45";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.9";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
