# Weather station Khajuraho (airport), India, WMO_ID=42567,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42567&lang=en
#
"Local time in Khajuraho (airport)";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.12.2017 14:30";"27.4";"742.0";"761.0";"-2.3";"25";"Wind blowing from the north-northeast";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"5.4";"";"";"";"";"";"";
"29.12.2017 11:30";"23.0";"744.3";"763.6";"0.7";"46";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.8";"";"";"";"";"";"";
"29.12.2017 08:30";"11.0";"743.6";"763.7";"";"76";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"5.9";"";"";"";"";"";"";"2.0";"6.8";"";"";"";"";"";"";
"28.12.2017 17:30";"23.2";"741.6";"760.8";"-0.1";"44";"Wind blowing from the north-east";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.5";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"28.12.2017 14:30";"26.0";"741.7";"760.7";"-2.2";"24";"Wind blowing from the north-east";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"4.1";"";"";"";"";"";"";
"28.12.2017 11:30";"17.6";"743.9";"763.6";"0.1";"65";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"11.0";"";"";"";"";"";"";
"28.12.2017 08:30";"9.0";"743.8";"764.1";"";"82";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"5.5";"";"";"";"";"";"";"2.0";"6.0";"";"";"";"";"";"";
"27.12.2017 17:30";"21.6";"742.1";"761.4";"0.1";"47";"Wind blowing from the north-east";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.6";"";"";"";"";"";"2.0";"9.8";"";"";"";"";"";"";
"27.12.2017 14:30";"25.4";"742.0";"761.1";"-2.3";"32";"Wind blowing from the north-east";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"27.12.2017 11:30";"18.0";"744.3";"763.9";"-0.2";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"11.8";"";"";"";"";"";"";
"27.12.2017 08:30";"10.0";"744.5";"764.7";"";"75";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.4";"";"";"";"";"";"";"2.0";"5.7";"";"";"";"";"";"";
"26.12.2017 17:30";"21.4";"742.7";"762.1";"-0.5";"51";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.0";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"26.12.2017 14:30";"24.0";"743.2";"762.4";"-1.8";"36";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.8";"";"";"";"";"";"";
"26.12.2017 11:30";"19.6";"745.0";"764.6";"1.1";"52";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.5";"";"";"";"";"";"";
"26.12.2017 08:30";"12.0";"743.9";"763.9";"";"72";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.4";"";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
"25.12.2017 17:30";"22.4";"742.2";"761.5";"0.2";"44";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.0";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"25.12.2017 14:30";"25.6";"742.0";"761.1";"-1.5";"27";"Wind blowing from the north-west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"5.2";"";"";"";"";"";"";
"25.12.2017 11:30";"23.4";"743.5";"762.8";"0.4";"36";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.4";"";"";"";"";"";"";
"25.12.2017 08:30";"11.4";"743.1";"763.2";"";"71";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.2";"";"";"";"";"";"";"2.0";"6.2";"";"";"";"";"";"";
"24.12.2017 17:30";"22.6";"740.2";"759.4";"-0.8";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"24.12.2017 14:30";"26.4";"741.0";"760.0";"-2.4";"25";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.8";"";"";"";"";"";"";
"24.12.2017 11:30";"24.4";"743.4";"762.6";"0.2";"27";"Wind blowing from the south-southeast";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.4";"";"";"";"";"";"";
"24.12.2017 08:30";"10.6";"743.2";"763.3";"";"78";"Wind blowing from the north-west";"2";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.8";"";"";"";"";"";"";
"23.12.2017 17:30";"22.0";"741.0";"760.3";"0.0";"46";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"26.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"9.9";"";"";"";"";"";"";
"23.12.2017 14:30";"25.6";"741.0";"760.0";"-2.1";"26";"Wind blowing from the north-west";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"4.6";"";"";"";"";"";"";
"23.12.2017 11:30";"22.0";"743.1";"762.4";"0.0";"39";"Wind blowing from the north-west";"2";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.4";"";"";"";"";"";"";
"23.12.2017 08:30";"11.8";"743.1";"763.1";"";"95";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.4";"";"";"";"";"";"";"2.0";"11.0";"";"";"";"";"";"";
"22.12.2017 17:30";"23.0";"743.0";"762.3";"-0.5";"53";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.4";"";"";"";"";"";"1.0";"12.9";"";"";"";"";"";"";
"22.12.2017 14:30";"24.0";"743.5";"762.7";"-2.0";"36";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.8";"";"";"";"";"";"";
"22.12.2017 11:30";"17.6";"745.5";"765.2";"0.0";"75";"Wind blowing from the south-west";"1";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"1.0";"13.0";"";"";"";"";"";"";
"22.12.2017 08:30";"11.8";"745.5";"765.6";"";"95";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"0.5";"11.0";"";"";"";"";"";"";
"21.12.2017 17:30";"21.2";"744.4";"763.8";"0.4";"67";"Calm, no wind";"0";"";"";"40%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"23.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"1.0";"14.8";"";"";"";"";"";"";
"21.12.2017 14:30";"23.0";"744.0";"763.3";"-3.1";"55";"Wind blowing from the north-east";"2";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"1.0";"13.4";"";"";"";"";"";"";
"21.12.2017 11:30";"19.0";"747.1";"766.7";"0.8";"63";"Wind blowing from the north-northeast";"2";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"1.0";"11.8";"";"";"";"";"";"";
"21.12.2017 08:30";"11.4";"746.3";"766.5";"";"97";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.2";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"2500 or more, or no clouds.";"";"";"0.5";"11.0";"";"";"";"";"";"";
"20.12.2017 17:30";"20.0";"744.1";"763.6";"-0.2";"69";"Wind blowing from the north-east";"2";"";"";"60%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"23.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"14.1";"";"";"";"";"";"";
"20.12.2017 14:30";"23.0";"744.3";"763.6";"-2.0";"52";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"12.5";"";"";"";"";"";"";
"20.12.2017 11:30";"20.0";"746.3";"765.9";"0.3";"61";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"12.2";"";"";"";"";"";"";
"20.12.2017 08:30";"13.4";"746.0";"766.0";"";"84";"Calm, no wind";"0";"";"";"70 – 80%.";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"10.7";"";"";"";"";"";"";
"19.12.2017 17:30";"22.0";"743.2";"762.5";"-0.1";"50";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.6";"";"";"";"";"";"2.0";"11.0";"";"";"";"";"";"";
"19.12.2017 14:30";"25.2";"743.3";"762.4";"-2.3";"36";"Wind blowing from the north-west";"2";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.1";"";"";"";"";"";"";
"19.12.2017 11:30";"22.6";"745.6";"765.0";"0.1";"43";"Wind blowing from the north-west";"3";"";"";"60%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.3";"";"";"";"";"";"";
"19.12.2017 08:30";"12.6";"745.5";"765.6";"";"70";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.3";"";"";"";"";"";"";
"18.12.2017 17:30";"22.4";"743.9";"763.2";"-0.3";"50";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"25.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.3";"";"";"";"";"";"";
"18.12.2017 14:30";"24.0";"744.2";"763.4";"-2.4";"32";"Wind blowing from the north-west";"2";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.1";"";"";"";"";"";"";
"18.12.2017 11:30";"21.2";"746.6";"766.1";"-0.1";"31";"Wind blowing from the south-west";"2";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"3.2";"";"";"";"";"";"";
"18.12.2017 08:30";"9.4";"746.7";"767.0";"";"82";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"6.4";"";"";"";"";"";"";
"17.12.2017 17:30";"22.6";"744.7";"764.0";"-0.2";"40";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"4.0";"8.3";"";"";"";"";"";"";
"17.12.2017 14:30";"25.0";"744.9";"764.1";"-2.5";"22";"Wind blowing from the north-west";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"2.1";"";"";"";"";"";"";
"17.12.2017 11:30";"21.2";"746.6";"766.1";"-1.0";"31";"Wind blowing from the south-west";"2";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"3.2";"";"";"";"";"";"";
"17.12.2017 08:30";"12.6";"747.6";"767.7";"";"72";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.6";"";"";"";"";"";"";"2.0";"7.7";"";"";"";"";"";"";
"16.12.2017 17:30";"22.0";"744.2";"763.6";"-0.3";"36";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"25.0";"";"";"";"";"";"4.0";"6.3";"";"";"";"";"";"";
"16.12.2017 14:30";"24.2";"744.5";"763.7";"-2.1";"26";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"3.3";"";"";"";"";"";"";
"16.12.2017 11:30";"20.0";"746.6";"766.2";"0.1";"37";"Wind blowing from the north-northeast";"2";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"4.9";"";"";"";"";"";"";
"16.12.2017 08:30";"13.4";"746.5";"766.5";"";"77";"Wind blowing from the west-southwest";"2";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"9.5";"";"";"";"";"";"";
"15.12.2017 17:30";"22.4";"743.4";"762.7";"0.2";"57";"Wind blowing from the north-northeast";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.0";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"15.12.2017 14:30";"24.4";"743.2";"762.4";"-2.2";"44";"Wind blowing from the north-northeast";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"11.2";"";"";"";"";"";"";
"15.12.2017 11:30";"20.6";"745.4";"764.9";"0.5";"55";"Wind blowing from the north-northeast";"2";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"1.0";"11.2";"";"";"";"";"";"";
"15.12.2017 08:30";"14.6";"744.9";"764.8";"";"82";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"11.4";"";"";"";"";"";"";"1.0";"11.6";"";"";"";"";"";"";
"14.12.2017 17:30";"21.2";"742.7";"762.1";"-0.5";"60";"Wind blowing from the north-northeast";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.6";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"14.12.2017 14:30";"23.6";"743.2";"762.4";"-2.0";"43";"Wind blowing from the north-northeast";"4";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"14.12.2017 11:30";"20.0";"745.2";"764.7";"0.8";"64";"Wind blowing from the north-northeast";"3";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"";"";"";"";"";"";"";"1.0";"13.0";"";"";"";"";"";"";
"14.12.2017 08:30";"15.0";"744.4";"764.3";"";"96";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"12.0";"";"";"";"";"";"";"0.5";"14.3";"";"";"";"";"";"";
"13.12.2017 17:30";"23.6";"741.3";"760.5";"-0.4";"51";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.4";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"13.12.2017 14:30";"26.6";"741.7";"760.7";"-1.7";"39";"Wind blowing from the north-northeast";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"13.12.2017 11:30";"24.6";"743.4";"762.6";"-0.1";"43";"Wind blowing from the south-southwest";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"11.1";"";"";"";"";"";"";
"13.12.2017 08:30";"15.6";"743.5";"763.3";"";"83";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.4";"";"";"";"";"";"";"2.0";"12.7";"";"";"";"";"";"";
"12.12.2017 17:30";"24.4";"740.6";"759.7";"0.2";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
