# Weather station Khandwa, India, WMO_ID=42855,selection from 31.05.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42855&lang=en
#
"Local time in Khandwa";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.12.2017 08:30";"14.4";"";"";"";"72";"";"";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"10.0";"9.4";"";"";"";"";"";"";
"24.12.2017 17:30";"29.0";"";"";"";"33";"";"";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"24.12.2017 08:30";"14.6";"";"";"";"77";"";"";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"23.12.2017 17:30";"27.0";"";"";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"23.12.2017 08:30";"14.4";"";"";"";"87";"";"";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"10.0";"12.2";"";"";"";"";"";"";
"22.12.2017 17:30";"25.0";"";"";"";"40";"";"";"";"";"no clouds";" ";"";"";"";"26.5";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"22.12.2017 08:30";"16.0";"";"";"";"77";"";"";"";"";"no clouds";" ";"";"";"11.4";"";"";"";"";"";"";"10.0";"12.0";"";"";"";"";"";"";
"21.12.2017 17:30";"26.4";"";"";"";"39";"";"";"";"";"no clouds";" ";"";"";"";"27.1";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"21.12.2017 08:30";"14.0";"";"";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"20.12.2017 17:30";"27.0";"";"";"";"31";"";"";"";"";"no clouds";" ";"";"";"";"28.1";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"20.12.2017 08:30";"15.4";"";"";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.4";"";"";"";"";"";"";"10.0";"10.5";"";"";"";"";"";"";
"19.12.2017 17:30";"27.0";"";"";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"19.12.2017 08:30";"15.4";"";"";"";"73";"";"";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"10.0";"10.5";"";"";"";"";"";"";
"18.12.2017 17:30";"26.4";"";"";"";"41";"";"";"";"";"no clouds";" ";"";"";"";"28.1";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"18.12.2017 08:30";"17.0";"";"";"";"88";"";"";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"17.12.2017 17:30";"29.0";"";"";"";"36";"";"";"";"";"no clouds";" ";"";"";"";"29.1";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"17.12.2017 08:30";"19.4";"";"";"";"70";"";"";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"16.12.2017 17:30";"29.4";"";"";"";"37";"";"";"";"";"no clouds";" ";"";"";"";"30.1";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"16.12.2017 08:30";"20.0";"";"";"";"71";"";"";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"10.0";"14.5";"";"";"";"";"";"";
"15.12.2017 17:30";"30.4";"";"";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"15.12.2017 08:30";"20.4";"";"";"";"71";"";"";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"14.12.2017 17:30";"29.0";"";"";"";"44";"";"";"";"";"no clouds";" ";"";"";"";"30.1";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"14.12.2017 08:30";"20.4";"";"";"";"68";"";"";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"14.2";"";"";"";"";"";"";
"13.12.2017 17:30";"28.0";"";"";"";"43";"";"";"";"";"no clouds";" ";"";"";"";"29.1";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"13.12.2017 08:30";"20.0";"";"";"";"63";"";"";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"12.6";"";"";"";"";"";"";
"12.12.2017 17:30";"29.0";"";"";"";"36";"";"";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"12.12.2017 08:30";"20.4";"";"";"";"63";"";"";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"10.0";"13.0";"";"";"";"";"";"";
"11.12.2017 17:30";"31.0";"";"";"";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.1";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"11.12.2017 08:30";"19.4";"";"";"";"62";"";"";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"10.0";"11.8";"";"";"";"";"";"";
"10.12.2017 17:30";"29.0";"";"";"";"30";"";"";"";"";"no clouds";" ";"";"";"";"30.1";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"10.12.2017 08:30";"20.4";"";"";"";"61";"";"";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"12.6";"";"";"";"";"";"";
"09.12.2017 17:30";"27.0";"";"";"";"45";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"28.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.9";"";"";"";"";"";"";
"09.12.2017 08:30";"20.4";"";"";"";"68";"";"";"";"";"100%.";" ";"";"";"15.4";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.2";"";"";"";"";"";"";
"08.12.2017 17:30";"27.4";"";"";"";"49";"";"";"";"";"70 – 80%.";" ";"";"";"";"28.1";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.7";"";"";"";"";"";"";
"08.12.2017 08:30";"21.4";"";"";"";"64";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"15.4";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.2";"";"";"";"";"";"";
"07.12.2017 17:30";"28.0";"";"";"";"43";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"29.1";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.4";"";"";"";"";"";"";
"07.12.2017 08:30";"20.4";"";"";"";"63";"";"";"";"";"100%.";" ";"";"";"15.0";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"100%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"13.0";"";"";"";"";"";"";
"06.12.2017 20:30";"29.0";"";"";"";"30";"";"";"";"";"70 – 80%.";" ";"";"";"";"30.1";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.8";"";"";"";"";"";"";
"06.12.2017 17:30";"29.0";"";"";"";"30";"";"";"";"";"70 – 80%.";" ";"";"";"";"30.1";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.8";"";"";"";"";"";"";
"06.12.2017 08:30";"20.4";"";"";"";"55";"";"";"";"";"100%.";" ";"";"";"13.4";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"100%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.9";"";"";"";"";"";"";
"05.12.2017 17:30";"27.4";"";"";"";"31";"";"";"";"";"100%.";" ";"";"";"";"28.1";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.9";"";"";"";"";"";"";
"05.12.2017 08:30";"19.4";"";"";"";"62";"";"";"";"";"100%.";" ";"";"";"13.4";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"100%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"11.8";"";"";"";"";"";"";
"04.12.2017 17:30";"27.0";"";"";"";"36";"";"";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"04.12.2017 08:30";"19.0";"";"";"";"56";"";"";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"10.0";"10.1";"";"";"";"";"";"";
"03.12.2017 17:30";"28.4";"";"";"";"27";"";"";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"03.12.2017 08:30";"18.4";"";"";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"10.0";"9.8";"";"";"";"";"";"";
"02.12.2017 17:30";"28.0";"";"";"";"32";"";"";"";"";"no clouds";" ";"";"";"";"29.1";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"02.12.2017 08:30";"19.4";"";"";"";"58";"";"";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"10.0";"11.0";"";"";"";"";"";"";
"01.12.2017 17:30";"29.0";"";"";"";"36";"";"";"";"";"no clouds";" ";"";"";"";"30.1";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"01.12.2017 08:30";"20.0";"";"";"";"54";"";"";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"10.0";"10.4";"";"";"";"";"";"";
"30.11.2017 17:30";"30.4";"";"";"";"23";"";"";"";"";"no clouds";" ";"";"";"";"31.1";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
"30.11.2017 08:30";"21.0";"";"";"";"53";"";"";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"10.0";"11.0";"";"";"";"";"";"";
"29.11.2017 17:30";"31.0";"";"";"";"";"";"";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"29.11.2017 08:30";"21.0";"";"";"";"53";"";"";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.0";"";"";"";"";"";"";
"28.11.2017 17:30";"30.0";"";"";"";"22";"";"";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"4.0";"5.9";"";"";"";"";"";"";
"28.11.2017 08:30";"20.4";"";"";"";"55";"";"";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"10.9";"";"";"";"";"";"";
"27.11.2017 17:30";"30.0";"";"";"";"25";"";"";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"27.11.2017 08:30";"20.0";"";"";"";"54";"";"";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"10.0";"10.4";"";"";"";"";"";"";
"26.11.2017 17:30";"30.0";"";"";"";"30";"";"";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"26.11.2017 08:30";"18.0";"";"";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"25.11.2017 17:30";"29.0";"";"";"";"30";"";"";"";"";"no clouds";" ";"";"";"";"30.1";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"25.11.2017 08:30";"19.4";"";"";"";"70";"";"";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"24.11.2017 17:30";"27.4";"";"";"";"22";"";"";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"3.6";"";"";"";"";"";"";
"24.11.2017 08:30";"20.0";"";"";"";"69";"";"";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"10.0";"14.0";"";"";"";"";"";"";
"23.11.2017 17:30";"28.0";"";"";"";"49";"";"";"";"";"no clouds";" ";"";"";"";"29.1";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"23.11.2017 08:30";"20.4";"";"";"";"71";"";"";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"22.11.2017 17:30";"29.0";"";"";"";"47";"";"";"";"";"no clouds";" ";"";"";"";"30.1";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"22.11.2017 08:30";"21.0";"";"";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"15.7";"";"";"";"";"";"";
"21.11.2017 17:30";"28.0";"";"";"";"43";"";"";"";"";"70 – 80%.";" ";"";"";"";"29.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.4";"";"";"";"";"";"";
"21.11.2017 08:30";"22.0";"";"";"";"68";"";"";"";"";"70 – 80%.";" ";"";"";"17.4";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"70 – 80%.";"1000-1500";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.7";"";"";"";"";"";"";
"20.11.2017 17:30";"27.4";"";"";"";"55";"";"";"";"";"no clouds";" ";"";"";"";"29.1";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"20.11.2017 08:30";"22.4";"";"";"";"65";"";"";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"19.11.2017 17:30";"29.4";"";"";"";"39";"";"";"";"";"no clouds";" ";"";"";"";"30.1";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"19.11.2017 08:30";"22.4";"";"";"";"61";"";"";"";"";"no clouds";" ";"";"";"17.4";"";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"18.11.2017 17:30";"31.0";"";"";"";"36";"";"";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"18.11.2017 08:30";"23.4";"";"";"";"51";"";"";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"12.6";"";"";"";"";"";"";
"17.11.2017 17:30";"30.0";"";"";"";"42";"";"";"";"";"no clouds";" ";"";"";"";"32.1";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"17.11.2017 08:30";"22.0";"";"";"";"60";"";"";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"16.11.2017 17:30";"28.4";"";"";"";"38";"";"";"";"";"no clouds";" ";"";"";"";"30.1";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"16.11.2017 08:30";"21.4";"";"";"";"60";"";"";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"13.4";"";"";"";"";"";"";
"15.11.2017 17:30";"29.4";"";"";"";"39";"";"";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"15.11.2017 08:30";"22.0";"";"";"";"60";"";"";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"14.11.2017 17:30";"30.0";"";"";"";"32";"";"";"";"";"no clouds";" ";"";"";"";"31.1";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"14.11.2017 08:30";"20.4";"";"";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"13.11.2017 17:30";"29.0";"";"";"";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"13.11.2017 08:30";"20.0";"";"";"";"67";"";"";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"10.0";"13.7";"";"";"";"";"";"";
"12.11.2017 17:30";"29.4";"";"";"";"34";"";"";"";"";"no clouds";" ";"";"";"";"30.1";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"12.11.2017 08:30";"20.4";"";"";"";"71";"";"";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"11.11.2017 17:30";"30.4";"";"";"";"35";"";"";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"13.4";"";"";"";"";"";"";
"11.11.2017 08:30";"21.0";"";"";"";"70";"";"";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"10.11.2017 11:30";"21.4";"";"";"";"64";"";"";"";"";"no clouds";" ";"";"";"15.4";"31.5";"";"";"";"";"";"";"14.2";"";"";"";"";"";"";
"10.11.2017 08:30";"21.4";"";"";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"10.0";"14.2";"";"";"";"";"";"";
"09.11.2017 17:30";"29.0";"";"";"";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"09.11.2017 08:30";"23.0";"";"";"";"65";"";"";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"16.1";"";"";"";"";"";"";
"08.11.2017 17:30";"30.0";"";"";"";"37";"";"";"";"";"no clouds";" ";"";"";"";"33.1";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"08.11.2017 08:30";"23.4";"";"";"";"66";"";"";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"16.6";"";"";"";"";"";"";
"07.11.2017 17:30";"29.4";"";"";"";"34";"";"";"";"";"no clouds";" ";"";"";"";"32.1";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"07.11.2017 08:30";"22.4";"";"";"";"65";"";"";"";"";"no clouds";" ";"";"";"16.7";"";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"06.11.2017 08:30";"23.0";"";"";"";"65";"";"";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"16.1";"";"";"";"";"";"";
"05.11.2017 17:30";"30.0";"";"";"";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"05.11.2017 08:30";"22.4";"";"";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"10.0";"13.4";"";"";"";"";"";"";
"04.11.2017 17:30";"29.4";"";"";"";"39";"";"";"";"";"no clouds";" ";"";"";"";"32.1";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"04.11.2017 08:30";"23.0";"";"";"";"58";"";"";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"14.2";"";"";"";"";"";"";
"03.11.2017 17:30";"31.4";"";"";"";"30";"";"";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"03.11.2017 08:30";"22.0";"";"";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"10.0";"13.0";"";"";"";"";"";"";
"02.11.2017 17:30";"29.0";"";"";"";"44";"";"";"";"";"no clouds";" ";"";"";"";"33.1";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"02.11.2017 08:30";"22.4";"";"";"";"57";"";"";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"10.0";"13.4";"";"";"";"";"";"";
"01.11.2017 17:30";"30.0";"";"";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"01.11.2017 08:30";"22.0";"";"";"";"64";"";"";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"14.9";"";"";"";"";"";"";
"31.10.2017 17:30";"28.0";"";"";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.1";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"31.10.2017 08:30";"23.4";"";"";"";"55";"";"";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"13.9";"";"";"";"";"";"";
"30.10.2017 17:30";"32.0";"";"";"";"29";"";"";"";"";"no clouds";" ";"";"";"";"33.1";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"30.10.2017 08:30";"25.4";"";"";"";"53";"";"";"";"";"no clouds";" ";"";"";"18.4";"";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
"29.10.2017 17:30";"32.0";"";"";"";"32";"";"";"";"";"no clouds";" ";"";"";"";"34.1";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"29.10.2017 08:30";"24.0";"";"";"";"61";"";"";"";"";"no clouds";" ";"";"";"19.4";"";"";"";"";"";"";"10.0";"16.1";"";"";"";"";"";"";
"28.10.2017 17:30";"32.4";"";"";"";"28";"";"";"";"";"no clouds";" ";"";"";"";"34.5";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"28.10.2017 08:30";"24.4";"";"";"";"59";"";"";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"15.9";"";"";"";"";"";"";
"27.10.2017 17:30";"30.4";"";"";"";"41";"";"";"";"";"no clouds";" ";"";"";"";"35.1";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"27.10.2017 08:30";"25.0";"";"";"";"62";"";"";"";"";"no clouds";" ";"";"";"19.4";"";"";"";"";"";"";"10.0";"17.3";"";"";"";"";"";"";
"26.10.2017 17:30";"30.0";"";"";"";"28";"";"";"";"";"no clouds";" ";"";"";"";"34.1";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"26.10.2017 08:30";"25.0";"";"";"";"63";"";"";"";"";"no clouds";" ";"";"";"20.4";"";"";"";"";"";"";"10.0";"17.5";"";"";"";"";"";"";
"25.10.2017 17:30";"31.0";"";"";"";"44";"";"";"";"";"no clouds";" ";"";"";"";"33.1";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"25.10.2017 08:30";"25.4";"";"";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"10.0";"18.1";"";"";"";"";"";"";
