# Weather station Khandwa, India, WMO_ID=42855,selection from 31.05.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42855&lang=en
#
"Local time in Khandwa";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"28.4";"";"";"";"33";"";"";"";"";"no clouds";" ";"";"";"";"29.1";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"31.12.2017 08:30";"16.4";"";"";"";"77";"";"";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"10.0";"12.4";"";"";"";"";"";"";
"30.12.2017 08:30";"16.0";"";"";"";"77";"";"";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"30.12.2017 05:30";"16.0";"";"";"";"77";"";"";"";"";"no clouds";" ";"";"";"10.0";"29.5";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"29.12.2017 17:30";"29.0";"";"";"";"28";"";"";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"29.12.2017 08:30";"16.0";"";"";"";"70";"";"";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"10.0";"10.4";"";"";"";"";"";"";
"28.12.2017 17:30";"28.0";"";"";"";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.1";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"28.12.2017 08:30";"15.4";"";"";"";"67";"";"";"";"";"no clouds";" ";"";"";"8.2";"";"";"";"";"";"";"10.0";"9.2";"";"";"";"";"";"";
"27.12.2017 17:30";"26.4";"";"";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"27.12.2017 08:30";"11.4";"";"";"";"80";"";"";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"26.12.2017 17:30";"26.0";"";"";"";"35";"";"";"";"";"no clouds";" ";"";"";"";"27.1";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"26.12.2017 08:30";"16.0";"";"";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"12.0";"";"";"";"";"";"";
"25.12.2017 17:30";"26.4";"";"";"";"41";"";"";"";"";"no clouds";" ";"";"";"";"28.1";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
