# Weather station Nandurbar, India, WMO_ID=42846,selection from 21.03.2016 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42846&lang=en
#
"Local time in Nandurbar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.06.2017 17:30";"33.8";"";"749.8";"";"75";"Wind blowing from the west";"6";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"10.0";"28.7";"";"";"";"";"";"";
"22.06.2017 08:30";"30.2";"";"750.2";"";"82";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"10.0";"26.8";"";"";"";"";"";"";
"21.06.2017 17:30";"32.8";"";"748.8";"";"64";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"";"36.6";"";"";"";"";"";"10.0";"25.1";"";"";"";"";"";"";
"21.06.2017 08:30";"29.6";"";"752.2";"";"86";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"10.0";"27.1";"";"";"";"";"";"";
"20.06.2017 17:30";"35.4";"";"747.9";"";"50";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"10.0";"23.4";"";"";"";"";"";"";
"17.06.2017 17:30";"34.6";"";"749.5";"";"53";"";"";"";"";"";" ";"";"";"";"36.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.8";"";"";"";"";"";"";
"17.06.2017 08:30";"29.6";"";"752.2";"";"86";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"10.0";"27.1";"";"";"";"";"";"";
"16.06.2017 17:30";"35.2";"";"749.5";"";"51";"Wind blowing from the west";"6";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
"16.06.2017 08:30";"31.2";"";"751.3";"";"71";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"26.5";"";"";"";"";"";"";"10.0";"25.3";"";"";"";"";"";"";
"15.06.2017 17:30";"35.8";"";"749.5";"";"48";"Wind blowing from the west";"6";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"10.0";"23.2";"";"";"";"";"";"";
"15.06.2017 08:30";"31.6";"";"753.1";"";"75";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"26.5";"";"";"";"";"";"";"10.0";"26.6";"";"";"";"";"";"";
"14.06.2017 08:30";"30.4";"";"752.4";"";"69";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"24.1";"";"";"";"";"";"";
"13.06.2017 08:30";"29.4";"";"750.3";"";"62";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"10.0";"21.4";"";"";"";"";"";"";
"10.06.2017 08:30";"27.2";"";"750.3";"";"83";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"10.0";"24.0";"";"";"";"";"";"";
"09.06.2017 17:30";"31.8";"";"749.0";"";"71";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"10.0";"25.9";"";"";"";"";"";"";
"09.06.2017 08:30";"27.6";"";"751.5";"";"87";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"25.3";"";"";"";"";"";"";
"08.06.2017 08:30";"24.6";"";"750.3";"";"98";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"24.3";"";"";"";"";"";"";
"07.06.2017 08:30";"30.4";"";"754.7";"";"60";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"10.0";"21.8";"";"";"";"";"";"";
"04.06.2017 08:30";"30.4";"";"753.1";"";"76";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"03.06.2017 17:30";"29.7";"";"748.6";"";"63";"";"";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"21.9";"";"";"";"";"";"";
"03.06.2017 08:30";"31.2";"";"752.0";"";"71";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"10.0";"25.3";"";"";"";"";"";"";
"02.06.2017 08:30";"31.0";"";"751.2";"";"62";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"26.5";"";"";"";"";"";"";"10.0";"22.9";"";"";"";"";"";"";
"01.06.2017 17:30";"33.2";"";"748.6";"";"49";"Wind blowing from the west";"26";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"21.1";"";"";"";"";"";"";
"01.06.2017 08:30";"34.2";"";"750.5";"";"40";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"28.5";"";"";"";"";"";"";"10.0";"18.6";"";"";"";"";"";"";
"30.05.2017 17:30";"34.2";"";"757.9";"";"47";"Wind blowing from the west";"8";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"10.0";"21.2";"";"";"";"";"";"";
"29.05.2017 17:30";"34.2";"";"748.1";"";"43";"Wind blowing from the west";"6";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"10.0";"19.8";"";"";"";"";"";"";
"25.05.2017 17:30";"34.8";"";"749.4";"";"69";"Wind blowing from the west";"13";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"";"28.3";"";"";"";"";"";"";
"24.05.2017 17:30";"39.4";"";"751.6";"";"44";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"";"40.0";"";"";"";"";"";"10.0";"24.9";"";"";"";"";"";"";
"24.05.2017 08:30";"32.8";"";"753.7";"";"49";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"10.0";"20.6";"";"";"";"";"";"";
"22.05.2017 08:30";"32.2";"";"754.6";"";"71";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"10.0";"26.4";"";"";"";"";"";"";
"17.05.2017 08:30";"30.2";"";"753.7";"";"70";"Wind blowing from the west";"7";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"10.0";"24.2";"";"";"";"";"";"";
"16.05.2017 08:30";"31.2";"";"753.4";"";"64";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"26.5";"";"";"";"";"";"";"10.0";"23.7";"";"";"";"";"";"";
"15.05.2017 08:30";"32.2";"";"753.7";"";"59";"Wind blowing from the west-northwest";"50";"";"";"40%.";" ";"";"";"27.5";"";"";"";"Less than  50";"";"";"3.4";"23.2";"";"";"";"";"";"";
"14.05.2017 08:30";"34.2";"";"753.0";"";"40";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"29.0";"";"";"";"";"";"";"10.0";"18.6";"";"";"";"";"";"";
"13.05.2017 08:30";"34.2";"";"754.3";"";"43";"Wind blowing from the south-west";"3";"";"";"no clouds";" ";"";"";"29.5";"";"";"";"";"";"";"10.0";"19.8";"";"";"";"";"";"";
"12.05.2017 08:30";"32.2";"";"754.8";"";"51";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"20.9";"";"";"";"";"";"";
"10.05.2017 08:30";"30.4";"";"754.1";"";"56";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"10.0";"20.8";"";"";"";"";"";"";
"09.05.2017 17:30";"39.2";"";"750.3";"";"23";"Wind blowing from the west";"6";"";"";"no clouds";" ";"";"";"";"40.5";"";"";"";"";"";"10.0";"14.4";"";"";"";"";"";"";
"09.05.2017 08:30";"31.8";"";"754.8";"";"44";"Wind blowing from the south-west";"4";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"10.0";"18.2";"";"";"";"";"";"";
"08.05.2017 08:30";"31.2";"";"756.1";"";"41";"Wind blowing from the west-northwest";"50";"";"";"40%.";" ";"";"";"25.0";"";"";"";"1500-2000";"";"";"1.0";"16.6";"";"";"";"";"";"";
"21.03.2016 17:30";"36.8";"";"755.3";"";"16";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"39.6";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
