# Weather station Nandurbar, India, WMO_ID=42846,selection from 21.03.2016 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42846&lang=en
#
"Local time in Nandurbar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"03.08.2017 08:30";"24.2";"";"752.5";"";"98";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"2.0";"23.9";"";"";"";"";"";"";
"02.08.2017 17:30";"27.8";"";"752.3";"";"78";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"23.7";"";"";"";"";"";"";
"02.08.2017 08:30";"26.2";"";"753.8";"";"94";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"2.0";"25.1";"";"";"";"";"";"";
"01.08.2017 08:30";"26.4";"";"753.6";"";"86";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"2.0";"23.8";"";"";"";"";"";"";
"30.07.2017 08:30";"26.2";"";"753.2";"";"83";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"2.0";"23.0";"";"";"";"";"";"";
"29.07.2017 08:30";"26.6";"";"749.6";"";"90";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"2.0";"24.8";"";"";"";"";"";"";
"28.07.2017 17:30";"23.2";"";"751.9";"";"93";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"22.0";"";"";"";"";"";"";
"26.07.2017 17:30";"27.4";"";"748.9";"";"89";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"25.4";"";"";"";"";"";"";
"26.07.2017 11:30";"26.2";"";"749.1";"";"83";"Wind blowing from the west";"10";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"";"23.0";"";"";"";"";"";"";
"26.07.2017 08:30";"26.2";"";"749.1";"";"83";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"2.0";"23.0";"";"";"";"";"";"";
"25.07.2017 17:30";"27.6";"";"747.3";"";"92";"Wind blowing from the west";"7";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"26.2";"";"";"";"";"";"";
"25.07.2017 08:30";"26.2";"";"748.0";"";"98";"Wind blowing from the west";"6";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"2.0";"25.9";"";"";"";"";"";"";
"21.07.2017 08:30";"27.2";"";"747.7";"";"97";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"2.0";"26.6";"";"";"";"";"";"";
"18.07.2017 17:30";"29.2";"";"747.3";"";"91";"Wind blowing from the west";"7";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"27.5";"";"";"";"";"";"";
"17.07.2017 17:30";"28.0";"";"748.0";"";"99";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"27.9";"";"";"";"";"";"";
"15.07.2017 08:30";"25.8";"";"750.7";"";"87";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"2.0";"23.5";"";"";"";"";"";"";
"14.07.2017 08:30";"25.4";"";"750.2";"";"88";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"2.0";"23.3";"";"";"";"";"";"";
"12.07.2017 08:30";"25.8";"";"753.0";"";"93";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"2.0";"24.6";"";"";"";"";"";"";
"11.07.2017 17:30";"29.2";"";"750.6";"";"70";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"23.1";"";"";"";"";"";"";
"11.07.2017 08:30";"26.6";"";"753.0";"";"90";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"2.0";"24.9";"";"";"";"";"";"";
"10.07.2017 17:30";"29.0";"";"751.3";"";"77";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"10.07.2017 08:30";"26.2";"";"753.4";"";"94";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"10.0";"25.1";"";"";"";"";"";"";
"08.07.2017 17:30";"28.2";"";"749.3";"";"95";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"27.4";"";"";"";"";"";"";
"07.07.2017 17:30";"29.2";"";"751.0";"";"97";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"28.7";"";"";"";"";"";"";
"07.07.2017 08:30";"27.2";"";"752.9";"";"95";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"2.0";"26.4";"";"";"";"";"";"";
"06.07.2017 08:30";"26.8";"";"752.2";"";"94";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"2.0";"25.7";"";"";"";"";"";"";
"05.07.2017 17:30";"28.8";"";"750.2";"";"86";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"26.3";"";"";"";"";"";"";
"05.07.2017 08:30";"26.4";"";"752.2";"";"92";"Wind blowing from the west";"5";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"2.0";"25.0";"";"";"";"";"";"";
"04.07.2017 17:30";"26.8";"";"753.3";"";"89";"Wind blowing from the west";"4";"";"";"70 – 80%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.8";"";"";"";"";"";"";
"04.07.2017 08:30";"25.6";"";"751.3";"";"98";"Wind blowing from the west";"3";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"2.0";"25.3";"";"";"";"";"";"";
"03.07.2017 17:30";"26.6";"";"749.5";"";"87";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"24.3";"";"";"";"";"";"";
"30.06.2017 08:30";"26.4";"";"748.6";"";"89";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"24.4";"";"";"";"";"";"";
"29.06.2017 08:30";"26.8";"";"749.8";"";"94";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"10.0";"25.7";"";"";"";"";"";"";
"28.06.2017 17:30";"26.8";"";"747.1";"";"94";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"25.7";"";"";"";"";"";"";
"28.06.2017 08:30";"28.2";"";"752.5";"";"83";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"2.0";"25.1";"";"";"";"";"";"";
"27.06.2017 17:30";"27.8";"";"748.3";"";"98";"";"";"";"";"";" ";"";"";"";"31.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"27.5";"";"";"";"";"";"";
"26.06.2017 08:30";"28.2";"";"748.7";"";"76";"Wind blowing from the west";"2";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"23.6";"";"";"";"";"";"";
"25.06.2017 08:30";"27.4";"";"748.0";"";"89";"Wind blowing from the west";"4";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"2.0";"25.4";"";"";"";"";"";"";
