# Weather station Damoh, India, WMO_ID=42674,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42674&lang=en
#
"Local time in Damoh";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"22.6";"726.1";"757.9";"";"90";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"25.8";"";"";"600-1000";"";"";"10.0";"20.8";"";"";"";"";"";"";
"31.12.2017 08:30";"11.2";"729.5";"762.7";"";"95";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"30.12.2017 17:30";"24.0";"727.1";"758.8";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"10.0";"21.0";"";"";"";"";"";"";
"30.12.2017 08:30";"10.6";"729.9";"763.2";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"30.12.2017 05:30";"10.6";"729.9";"763.2";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.5";"28.6";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"29.12.2017 17:30";"22.0";"727.8";"759.7";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"10.0";"19.8";"";"";"";"";"";"";
"29.12.2017 08:30";"10.0";"730.0";"763.4";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.2";"";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"28.12.2017 17:30";"24.0";"727.7";"759.4";"";"71";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"18.3";"";"";"";"";"";"";
"28.12.2017 08:30";"10.0";"730.1";"763.5";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.2";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"27.12.2017 17:30";"23.4";"728.2";"760.0";"";"58";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"27.12.2017 08:30";"11.0";"730.6";"763.9";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.6";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"26.12.2017 17:30";"22.8";"729.0";"760.9";"";"88";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"27.0";"";"";"600-1000";"";"";"10.0";"20.7";"";"";"";"";"";"";
"26.12.2017 08:30";"11.0";"730.9";"764.2";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.8";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"25.12.2017 17:30";"23.0";"728.5";"760.3";"";"64";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"10.0";"15.7";"";"";"";"";"";"";
"25.12.2017 08:30";"11.0";"729.8";"763.1";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.6";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"24.12.2017 17:30";"23.4";"726.8";"758.5";"";"80";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"10.0";"19.7";"";"";"";"";"";"";
"24.12.2017 08:30";"12.0";"729.4";"762.6";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.2";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"23.12.2017 17:30";"22.6";"727.5";"759.3";"";"65";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"27.4";"";"";"600-1000";"";"";"10.0";"15.6";"";"";"";"";"";"";
"23.12.2017 08:30";"12.0";"729.5";"762.7";"";"81";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"9.0";"";"";"";"600-1000";"";"";"4.0";"8.8";"";"";"";"";"";"";
"22.12.2017 17:30";"23.0";"729.6";"761.5";"";"83";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"26.0";"";"";"600-1000";"";"";"4.0";"19.9";"";"";"";"";"";"";
"22.12.2017 08:30";"12.4";"731.6";"764.8";"";"93";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.6";"";"";"";"";"";"";"0.2";"11.3";"";"";"";"";"";"";
"21.12.2017 17:30";"22.4";"730.4";"762.4";"";"81";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"26.2";"";"";"600-1000";"";"";"4.0";"18.9";"";"";"";"";"";"";
"21.12.2017 08:30";"10.6";"732.7";"766.2";"";"97";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.8";"";"";"";"";"";"";"0.2";"10.2";"";"";"";"";"";"";
"20.12.2017 17:30";"23.0";"730.3";"762.2";"";"83";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"26.5";"";"";"600-1000";"";"";"4.0";"19.9";"";"";"";"";"";"";
"20.12.2017 08:30";"13.2";"732.0";"765.1";"";"86";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"10.6";"";"";"";"600-1000";"";"";"10.0";"10.9";"";"";"";"";"";"";
"19.12.2017 17:30";"22.8";"729.6";"761.5";"";"78";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"27.8";"";"";"600-1000";"";"";"10.0";"18.8";"";"";"";"";"";"";
"19.12.2017 08:30";"12.4";"731.8";"765.0";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.6";"";"";"";"";"";"";"10.0";"7.0";"";"";"";"";"";"";
"18.12.2017 17:30";"22.0";"730.5";"762.5";"";"63";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"25.6";"";"";"";"";"";"10.0";"14.5";"";"";"";"";"";"";
"18.12.2017 08:30";"11.4";"733.2";"766.6";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"10.0";"7.7";"";"";"";"";"";"";
"17.12.2017 17:30";"22.0";"731.2";"763.3";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"10.0";"17.1";"";"";"";"";"";"";
