# Weather station Damoh, India, WMO_ID=42674,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42674&lang=en
#
"Local time in Damoh";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"17.12.2017 08:30";"13.8";"733.5";"766.6";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"16.12.2017 17:30";"23.0";"730.2";"762.1";"";"76";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"25.2";"";"";"600-1000";"";"";"10.0";"18.6";"";"";"";"";"";"";
"16.12.2017 08:30";"15.0";"732.1";"765.0";"";"79";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"13.5";"";"";"";"600-1000";"";"";"10.0";"11.3";"";"";"";"";"";"";
"15.12.2017 17:30";"23.2";"729.4";"761.3";"";"70";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"25.6";"";"";"600-1000";"";"";"10.0";"17.4";"";"";"";"";"";"";
"15.12.2017 08:30";"15.0";"730.7";"763.6";"";"83";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"10.0";"12.1";"";"";"";"";"";"";
"14.12.2017 17:30";"24.2";"728.6";"760.3";"";"85";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"10.0";"21.5";"";"";"";"";"";"";
"14.12.2017 08:30";"15.4";"729.9";"762.7";"";"89";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"13.8";"";"";"";"600-1000";"";"";"10.0";"13.6";"";"";"";"";"";"";
"13.12.2017 17:30";"24.8";"727.4";"759.0";"";"72";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"28.5";"";"";"600-1000";"";"";"10.0";"19.5";"";"";"";"";"";"";
"13.12.2017 08:30";"16.8";"729.2";"761.8";"";"84";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"14.2";"";"";"";"600-1000";"";"";"10.0";"14.0";"";"";"";"";"";"";
"12.12.2017 17:30";"24.0";"726.8";"758.5";"";"83";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"28.0";"";"";"600-1000";"";"";"10.0";"21.0";"";"";"";"";"";"";
"12.12.2017 08:30";"16.6";"728.8";"761.4";"";"77";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"13.5";"";"";"";"600-1000";"";"";"10.0";"12.6";"";"";"";"";"";"";
"11.12.2017 17:30";"24.6";"726.7";"758.3";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"10.0";"19.8";"";"";"";"";"";"";
"11.12.2017 08:30";"13.4";"728.8";"761.8";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"9.5";"";"";"";"";"";"";
"10.12.2017 17:30";"24.0";"726.8";"758.5";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"10.12.2017 08:30";"13.6";"729.2";"762.1";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.8";"";"";"";"";"";"";"10.0";"8.4";"";"";"";"";"";"";
"09.12.2017 17:30";"25.0";"726.6";"758.1";"";"62";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"10.0";"17.3";"";"";"";"";"";"";
"09.12.2017 08:30";"14.6";"728.8";"761.6";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"10.0";"10.4";"";"";"";"";"";"";
"08.12.2017 17:30";"25.2";"726.5";"758.0";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"10.0";"20.3";"";"";"";"";"";"";
"08.12.2017 08:30";"17.0";"729.0";"761.5";"";"80";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"15.0";"";"";"";"600-1000";"";"";"10.0";"13.5";"";"";"";"";"";"";
"07.12.2017 17:30";"24.4";"726.6";"758.2";"";"58";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"27.0";"";"";"600-1000";"";"";"10.0";"15.5";"";"";"";"";"";"";
"07.12.2017 08:30";"17.2";"728.1";"760.6";"";"78";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"14.6";"";"";"";"600-1000";"";"";"10.0";"13.3";"";"";"";"";"";"";
"06.12.2017 20:30";"22.6";"725.5";"757.3";"";"66";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"27.8";"";"";"600-1000";"";"";"10.0";"16.0";"";"";"";"";"";"";
"06.12.2017 17:30";"22.6";"725.5";"757.3";"";"66";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"27.8";"";"";"600-1000";"";"";"10.0";"16.0";"";"";"";"";"";"";
"06.12.2017 08:30";"17.4";"728.1";"760.6";"";"78";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"15.4";"";"";"";"600-1000";"";"";"10.0";"13.5";"";"";"";"";"";"";
"05.12.2017 17:30";"23.0";"726.1";"757.8";"";"68";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"27.6";"";"";"600-1000";"";"";"10.0";"16.8";"";"";"";"";"";"";
"05.12.2017 08:30";"14.0";"728.3";"761.2";"";"74";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"10.4";"";"";"";"600-1000";"";"";"10.0";"9.3";"";"";"";"";"";"";
"04.12.2017 17:30";"23.4";"726.1";"757.8";"";"80";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"28.0";"";"";"600-1000";"";"";"10.0";"19.7";"";"";"";"";"";"";
"04.12.2017 08:30";"12.6";"728.8";"761.8";"";"82";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"9.5";"";"";"";"600-1000";"";"";"10.0";"9.5";"";"";"";"";"";"";
"03.12.2017 17:30";"23.0";"727.3";"759.1";"";"67";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"27.5";"";"";"600-1000";"";"";"10.0";"16.5";"";"";"";"";"";"";
"03.12.2017 08:30";"12.4";"729.8";"762.9";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.8";"";"";"";"";"";"";"10.0";"7.9";"";"";"";"";"";"";
"02.12.2017 17:30";"22.8";"727.6";"759.4";"";"68";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"27.6";"";"";"600-1000";"";"";"10.0";"16.6";"";"";"";"";"";"";
"02.12.2017 08:30";"12.8";"730.0";"763.1";"";"79";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"10.6";"";"";"";"600-1000";"";"";"10.0";"9.3";"";"";"";"";"";"";
"01.12.2017 17:30";"25.0";"726.6";"758.2";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"10.0";"20.4";"";"";"";"";"";"";
"01.12.2017 08:30";"14.6";"729.4";"762.2";"";"66";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"8.3";"";"";"";"";"";"";
"30.11.2017 17:30";"25.4";"726.7";"758.2";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"10.0";"19.2";"";"";"";"";"";"";
"30.11.2017 08:30";"14.4";"729.4";"762.3";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"10.0";"8.5";"";"";"";"";"";"";
"29.11.2017 17:30";"26.0";"727.4";"758.9";"";"61";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"10.0";"17.8";"";"";"";"";"";"";
"29.11.2017 08:30";"14.0";"729.5";"762.4";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"10.0";"8.9";"";"";"";"";"";"";
"28.11.2017 17:30";"25.4";"726.2";"757.7";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"10.0";"17.8";"";"";"";"";"";"";
"28.11.2017 08:30";"14.0";"728.4";"761.3";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"10.0";"10.2";"";"";"";"";"";"";
"27.11.2017 17:30";"26.2";"726.2";"757.6";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"10.0";"19.7";"";"";"";"";"";"";
"27.11.2017 08:30";"14.2";"729.2";"762.1";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"10.0";"8.7";"";"";"";"";"";"";
"26.11.2017 17:30";"25.2";"728.0";"759.6";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"10.0";"16.1";"";"";"";"";"";"";
"26.11.2017 08:30";"13.2";"730.7";"763.8";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.2";"";"";"";"";"";"";"10.0";"7.0";"";"";"";"";"";"";
"25.11.2017 17:30";"24.0";"727.5";"759.2";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"25.11.2017 08:30";"13.6";"729.7";"762.7";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.6";"";"";"";"";"";"";"10.0";"8.0";"";"";"";"";"";"";
"24.11.2017 17:30";"25.0";"727.0";"758.6";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"18.7";"";"";"";"";"";"";
"24.11.2017 08:30";"13.2";"729.2";"762.2";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.5";"";"";"";"";"";"";"10.0";"8.0";"";"";"";"";"";"";
"23.11.2017 17:30";"24.2";"725.8";"757.4";"";"69";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"10.0";"18.2";"";"";"";"";"";"";
"23.11.2017 08:30";"15.8";"728.2";"760.9";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"10.0";"10.5";"";"";"";"";"";"";
"22.11.2017 17:30";"25.0";"725.8";"757.3";"";"62";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"28.0";"";"";"600-1000";"";"";"10.0";"17.3";"";"";"";"";"";"";
"22.11.2017 08:30";"18.8";"728.5";"760.8";"";"68";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"17.2";"";"";"";"600-1000";"";"";"10.0";"12.8";"";"";"";"";"";"";
"21.11.2017 17:30";"25.0";"726.8";"758.4";"";"57";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"28.0";"";"";"600-1000";"";"";"10.0";"15.8";"";"";"";"";"";"";
"21.11.2017 08:30";"18.2";"729.4";"761.8";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"20.11.2017 17:30";"25.8";"727.6";"759.1";"";"59";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"29.4";"";"";"600-1000";"";"";"10.0";"17.2";"";"";"";"";"";"";
"20.11.2017 08:30";"18.8";"730.0";"762.4";"";"75";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"16.8";"";"";"";"600-1000";"";"";"10.0";"14.3";"";"";"";"";"";"";
"19.11.2017 17:30";"25.4";"726.6";"758.1";"";"73";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"28.5";"";"";"600-1000";"";"";"10.0";"20.2";"";"";"";"";"";"";
"19.11.2017 08:30";"20.8";"728.4";"760.5";"";"75";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"19.5";"";"";"";"600-1000";"";"";"10.0";"16.2";"";"";"";"";"";"";
"18.11.2017 17:30";"28.0";"725.1";"756.3";"";"63";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"32.0";"";"";"600-1000";"";"";"10.0";"20.4";"";"";"";"";"";"";
"18.11.2017 08:30";"20.6";"727.4";"759.5";"";"76";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"18.6";"";"";"";"600-1000";"";"";"10.0";"16.3";"";"";"";"";"";"";
"17.11.2017 17:30";"28.0";"724.5";"755.6";"";"70";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"31.8";"";"";"600-1000";"";"";"10.0";"22.1";"";"";"";"";"";"";
"17.11.2017 08:30";"20.4";"727.3";"759.4";"";"78";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"17.6";"";"";"";"600-1000";"";"";"10.0";"16.4";"";"";"";"";"";"";
"16.11.2017 17:30";"28.0";"724.7";"755.8";"";"48";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"32.6";"";"";"600-1000";"";"";"10.0";"16.0";"";"";"";"";"";"";
"16.11.2017 08:30";"20.0";"727.3";"759.4";"";"78";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"18.0";"";"";"";"600-1000";"";"";"10.0";"16.0";"";"";"";"";"";"";
"15.11.2017 17:30";"28.4";"723.8";"754.9";"";"55";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"32.5";"";"";"600-1000";"";"";"10.0";"18.4";"";"";"";"";"";"";
"15.11.2017 08:30";"19.4";"726.6";"758.8";"";"69";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"16.5";"";"";"";"600-1000";"";"";"10.0";"13.5";"";"";"";"";"";"";
"14.11.2017 17:30";"28.2";"723.4";"754.5";"";"62";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"20.3";"";"";"";"";"";"";
"14.11.2017 08:30";"17.6";"726.4";"758.8";"";"75";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"10.0";"13.0";"";"";"";"";"";"";
"13.11.2017 17:30";"27.8";"724.4";"755.6";"";"60";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"19.2";"";"";"";"";"";"";
"13.11.2017 08:30";"17.0";"727.2";"759.7";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"10.0";"14.2";"";"";"";"";"";"";
"12.11.2017 17:30";"28.0";"724.7";"755.8";"";"60";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"19.4";"";"";"";"";"";"";
"12.11.2017 08:30";"16.4";"727.8";"760.4";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"10.0";"12.0";"";"";"";"";"";"";
"11.11.2017 17:30";"27.0";"726.2";"757.5";"";"47";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"11.11.2017 08:30";"17.2";"729.0";"761.5";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"10.0";"11.3";"";"";"";"";"";"";
"10.11.2017 17:30";"28.0";"725.9";"757.1";"";"48";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"16.0";"";"";"";"";"";"";
"10.11.2017 11:30";"18.0";"728.1";"760.5";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.5";"33.0";"";"";"";"";"";"";"11.4";"";"";"";"";"";"";
"10.11.2017 08:30";"18.0";"728.1";"760.5";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"09.11.2017 17:30";"28.8";"725.3";"756.4";"";"39";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"13.4";"";"";"";"";"";"";
"09.11.2017 08:30";"18.0";"728.2";"760.6";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"08.11.2017 17:30";"28.4";"726.1";"757.3";"";"55";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"18.4";"";"";"";"";"";"";
"08.11.2017 08:30";"19.0";"729.2";"761.5";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"10.0";"14.5";"";"";"";"";"";"";
"07.11.2017 17:30";"29.4";"726.3";"757.4";"";"44";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"10.0";"15.9";"";"";"";"";"";"";
"07.11.2017 08:30";"20.6";"729.0";"761.1";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"16.3";"";"";"";"";"";"";
"06.11.2017 17:30";"30.0";"726.6";"757.6";"";"61";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"33.6";"";"";"";"";"";"10.0";"21.6";"";"";"";"";"";"";
"06.11.2017 08:30";"21.0";"729.4";"761.5";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"05.11.2017 17:30";"29.8";"726.5";"757.5";"";"58";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"33.5";"";"";"";"";"";"10.0";"20.8";"";"";"";"";"";"";
"05.11.2017 08:30";"20.4";"729.4";"761.6";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.5";"";"";"";"";"";"";"10.0";"16.4";"";"";"";"";"";"";
"04.11.2017 17:30";"29.6";"726.3";"757.3";"";"51";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"33.5";"";"";"";"";"";"10.0";"18.4";"";"";"";"";"";"";
"04.11.2017 08:30";"20.6";"728.8";"760.9";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"10.0";"17.2";"";"";"";"";"";"";
"03.11.2017 17:30";"29.8";"725.2";"756.2";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.6";"";"";"";"";"";"10.0";"18.3";"";"";"";"";"";"";
"03.11.2017 08:30";"19.4";"728.1";"760.3";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"02.11.2017 17:30";"29.6";"725.4";"756.4";"";"58";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"33.5";"";"";"";"";"";"10.0";"20.6";"";"";"";"";"";"";
"02.11.2017 08:30";"19.6";"728.9";"761.1";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"10.0";"14.5";"";"";"";"";"";"";
"01.11.2017 17:30";"29.4";"726.6";"757.7";"";"38";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"33.4";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"01.11.2017 08:30";"20.6";"729.3";"761.5";"";"75";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"10.0";"15.9";"";"";"";"";"";"";
"31.10.2017 17:30";"29.0";"725.9";"757.0";"";"58";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"33.5";"";"";"";"";"";"10.0";"19.9";"";"";"";"";"";"";
"31.10.2017 08:30";"19.8";"728.2";"760.4";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"30.10.2017 17:30";"29.8";"726.2";"757.2";"";"37";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"10.0";"13.4";"";"";"";"";"";"";
