# Weather station Rewa, India, WMO_ID=42574,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42574&lang=en
#
"Local time in Rewa";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"21.0";"";"";"";"49";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.0";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"31.12.2017 08:30";"11.0";"";"";"";"88";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"10.0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.05";"9.0";"";"";"";"";"";"";
"30.12.2017 08:30";"9.0";"";"";"";"95";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.4";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.05";"8.2";"";"";"";"";"";"";
"30.12.2017 05:30";"9.0";"";"";"";"95";"Calm, no wind";"0";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.4";"";"";"Sky obscured by fog and/or other meteorological phenomena.";"";"";"";"less than 0.05";"8.2";"";"";"";"";"";"";
"29.12.2017 17:30";"22.4";"";"";"";"41";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.2";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"29.12.2017 08:30";"10.0";"";"";"";"87";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.4";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"28.12.2017 17:30";"22.2";"";"";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"28.12.2017 08:30";"10.4";"";"";"";"85";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.0";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"27.12.2017 17:30";"22.0";"";"";"";"43";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.6";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"27.12.2017 08:30";"11.0";"";"";"";"76";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.2";"";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
