# Weather station Rewa, India, WMO_ID=42574,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42574&lang=en
#
"Local time in Rewa";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.12.2017 17:30";"21.6";"";"";"";"46";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.4";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"26.12.2017 08:30";"10.0";"";"";"";"75";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.2";"";"";"";"";"";"";"4.0";"5.7";"";"";"";"";"";"";
"25.12.2017 17:30";"21.0";"";"";"";"33";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.0";"";"";"";"";"";"4.0";"4.1";"";"";"";"";"";"";
"25.12.2017 08:30";"11.0";"";"";"";"76";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.4";"";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"24.12.2017 17:30";"21.4";"";"";"";"33";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"4.2";"";"";"";"";"";"";
"24.12.2017 08:30";"12.0";"";"";"";"76";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.9";"";"";"";"";"";"";
"23.12.2017 17:30";"22.4";"";"";"";"30";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.0";"";"";"";"";"";"";
"23.12.2017 08:30";"10.0";"";"";"";"75";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.7";"";"";"";"";"";"";
"22.12.2017 17:30";"20.6";"";"";"";"35";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"4.6";"";"";"";"";"";"";
"22.12.2017 08:30";"12.0";"";"";"";"81";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.4";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"21.12.2017 17:30";"21.0";"";"";"";"35";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.0";"";"";"";"";"";"4.0";"4.7";"";"";"";"";"";"";
"21.12.2017 08:30";"11.0";"";"";"";"88";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.2";"";"";"";"";"";"";"2.0";"9.0";"";"";"";"";"";"";
"20.12.2017 17:30";"23.0";"";"";"";"38";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"7.8";"";"";"";"";"";"";
"20.12.2017 08:30";"14.4";"";"";"";"74";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.8";"";"";"";"";"";"";
"19.12.2017 17:30";"21.6";"";"";"";"32";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"24.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"4.1";"";"";"";"";"";"";
"19.12.2017 08:30";"13.0";"";"";"";"66";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"6.8";"";"";"";"";"";"";
"18.12.2017 17:30";"20.6";"";"";"";"34";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"23.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.3";"";"";"";"";"";"";
"18.12.2017 08:30";"10.0";"";"";"";"75";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.4";"";"";"";"";"";"";"4.0";"5.7";"";"";"";"";"";"";
"17.12.2017 17:30";"21.4";"";"";"";"33";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.2";"";"";"";"";"";"4.0";"4.2";"";"";"";"";"";"";
"17.12.2017 08:30";"15.0";"";"";"";"68";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.4";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"16.12.2017 17:30";"24.0";"";"";"";"30";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.4";"";"";"";"";"";"4.0";"5.5";"";"";"";"";"";"";
"16.12.2017 08:30";"14.0";"";"";"";"76";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.4";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"15.12.2017 17:30";"23.4";"";"";"";"32";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.5";"";"";"";"";"";"4.0";"5.7";"";"";"";"";"";"";
"15.12.2017 08:30";"14.0";"";"";"";"78";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.2";"";"";"";"";"";"";
"14.12.2017 17:30";"24.0";"";"";"";"33";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.7";"";"";"";"";"";"";
"14.12.2017 08:30";"16.0";"";"";"";"79";"Calm, no wind";"0";"";"";"50%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.4";"";"";"";"";"";"";
"13.12.2017 17:30";"23.6";"";"";"";"28";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.6";"";"";"";"";"";"4.0";"4.2";"";"";"";"";"";"";
"13.12.2017 08:30";"17.0";"";"";"";"70";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.5";"";"";"";"";"";"";
"12.12.2017 17:30";"24.8";"";"";"";"29";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.7";"";"";"";"";"";"";
"12.12.2017 08:30";"16.0";"";"";"";"69";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.0";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"11.12.2017 17:30";"23.0";"";"";"";"31";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.4";"";"";"";"";"";"4.0";"5.0";"";"";"";"";"";"";
"11.12.2017 08:30";"14.0";"";"";"";"78";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.5";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"10.12.2017 17:30";"24.0";"";"";"";"39";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.6";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"10.12.2017 08:30";"13.0";"";"";"";"77";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.0";"";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"09.12.2017 17:30";"25.0";"";"";"";"34";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.4";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"09.12.2017 08:30";"15.0";"";"";"";"72";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.2";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"08.12.2017 08:30";"18.0";"";"";"";"62";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.6";"";"";"";"";"";"";
"07.12.2017 08:30";"16.0";"";"";"";"75";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.6";"";"";"";"";"";"";
"06.12.2017 20:30";"24.0";"";"";"";"39";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.3";"";"";"";"";"";"";
"06.12.2017 17:30";"24.0";"";"";"";"39";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.3";"";"";"";"";"";"";
"06.12.2017 08:30";"17.0";"";"";"";"70";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.5";"";"";"";"";"";"";
"05.12.2017 17:30";"21.4";"";"";"";"34";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.8";"";"";"";"";"";"";
"05.12.2017 08:30";"14.0";"";"";"";"67";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.4";"";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"04.12.2017 17:30";"21.0";"";"";"";"35";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.6";"";"";"";"";"";"4.0";"4.7";"";"";"";"";"";"";
"04.12.2017 08:30";"13.0";"";"";"";"60";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.5";"";"";"";"";"";"";"4.0";"5.3";"";"";"";"";"";"";
"03.12.2017 17:30";"22.6";"";"";"";"36";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.6";"";"";"";"";"";"4.0";"6.7";"";"";"";"";"";"";
"03.12.2017 08:30";"12.6";"";"";"";"75";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.0";"";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"02.12.2017 17:30";"23.8";"";"";"";"40";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.5";"";"";"";"";"";"";
"02.12.2017 08:30";"12.4";"";"";"";"61";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.2";"";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"01.12.2017 17:30";"22.0";"";"";"";"36";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.8";"";"";"";"";"";"4.0";"6.3";"";"";"";"";"";"";
"01.12.2017 08:30";"14.0";"";"";"";"57";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.2";"";"";"";"";"";"";"4.0";"5.6";"";"";"";"";"";"";
"30.11.2017 17:30";"23.6";"";"";"";"41";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.4";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"30.11.2017 08:30";"12.4";"";"";"";"61";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.4";"";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"29.11.2017 17:30";"25.0";"";"";"";"41";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.0";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"29.11.2017 08:30";"13.2";"";"";"";"65";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.5";"";"";"";"";"";"";"4.0";"6.6";"";"";"";"";"";"";
"28.11.2017 17:30";"23.0";"";"";"";"37";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.6";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"28.11.2017 08:30";"14.0";"";"";"";"62";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.2";"";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"27.11.2017 17:30";"23.6";"";"";"";"37";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"26.8";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"27.11.2017 08:30";"13.0";"";"";"";"66";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.5";"";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"26.11.2017 17:30";"23.4";"";"";"";"38";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.4";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"26.11.2017 08:30";"11.0";"";"";"";"69";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"8.4";"";"";"";"";"";"";"4.0";"5.4";"";"";"";"";"";"";
"25.11.2017 17:30";"23.2";"";"";"";"44";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.2";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"25.11.2017 08:30";"11.0";"";"";"";"64";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.6";"";"";"";"";"";"";"4.0";"4.3";"";"";"";"";"";"";
"24.11.2017 17:30";"23.0";"";"";"";"47";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.2";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
