# Weather station Shajapur, India, WMO_ID=42665,selection from 30.08.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42665&lang=en
#
"Local time in Shajapur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.12.2017 17:30";"24.0";"722.6";"760.6";"";"30";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"4.0";"5.5";"";"";"";"";"";"";
"25.12.2017 08:30";"10.6";"723.5";"763.4";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.2";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"24.12.2017 17:30";"25.0";"720.4";"758.2";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"24.12.2017 08:30";"9.6";"723.1";"763.1";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.7";"";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"23.12.2017 17:30";"23.4";"721.4";"759.4";"";"45";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"26.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.8";"";"";"";"";"";"";
"23.12.2017 08:30";"10.0";"723.4";"763.4";"";"90";"Calm, no wind";"0";"";"";"60%.";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"8.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"8.4";"";"";"";"";"";"";
"22.12.2017 17:30";"23.4";"723.7";"761.9";"";"38";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"25.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.4";"";"";"";"";"";"";
"22.12.2017 08:30";"10.6";"726.1";"766.2";"";"92";"Calm, no wind";"0";"";"";"20–30%.";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"9.4";"";"";"";"";"";"";
"21.12.2017 17:30";"23.4";"724.6";"762.8";"";"44";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"25.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.4";"";"";"";"";"";"";
"21.12.2017 08:30";"11.0";"726.0";"766.0";"";"90";"Calm, no wind";"0";"";"";"60%.";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"9.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"9.4";"";"";"";"";"";"";
"20.12.2017 17:30";"22.0";"725.0";"763.4";"";"50";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"22.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"11.2";"";"";"";"";"";"";
"20.12.2017 08:30";"13.6";"726.0";"765.6";"";"71";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"12.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus or opacus in two or more layers, or Altocumulus opacus in a single layer, not progressively invading the sky, or Altocumulus with Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"8.4";"";"";"";"";"";"";
"19.12.2017 17:30";"23.6";"725.5";"763.7";"";"37";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"27.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"8.2";"";"";"";"";"";"";
"19.12.2017 08:30";"11.6";"725.5";"765.4";"";"81";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"7.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"8.4";"";"";"";"";"";"";
"18.12.2017 17:30";"22.6";"726.0";"764.4";"";"44";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"25.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"9.7";"";"";"";"";"";"";
"18.12.2017 08:30";"8.0";"726.9";"767.4";"";"86";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"7.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"5.8";"";"";"";"";"";"";
"17.12.2017 17:30";"22.2";"725.8";"764.2";"";"26";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"24.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"1.5";"";"";"";"";"";"";
"17.12.2017 08:30";"12.6";"727.1";"766.9";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.1";"";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"16.12.2017 17:30";"21.4";"724.3";"762.7";"";"44";"Wind blowing from the north-east";"2";"";"";"40%.";" ";"";"";"";"22.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.5";"";"";"";"";"";"";
"16.12.2017 08:30";"13.6";"725.5";"765.1";"";"77";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"13.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.7";"";"";"";"";"";"";
"15.12.2017 17:30";"24.6";"722.9";"760.9";"";"61";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"26.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.5";"";"";"";"";"";"";
"15.12.2017 08:30";"14.0";"724.0";"763.5";"";"89";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"13.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"12.2";"";"";"";"";"";"";
"14.12.2017 17:30";"23.6";"722.1";"760.1";"";"63";"Wind blowing from the north-east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"25.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.0";"";"";"";"";"";"";
"14.12.2017 08:30";"13.8";"723.5";"763.0";"";"91";"Wind blowing from the north-east";"1";"";"";"40%.";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"13.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"12.3";"";"";"";"";"";"";
"13.12.2017 17:30";"24.6";"721.2";"759.1";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.3";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"13.12.2017 08:30";"14.0";"723.0";"762.4";"";"83";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"13.1";"";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"12.12.2017 17:30";"24.4";"720.9";"758.8";"";"53";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"27.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.3";"";"";"";"";"";"";
"12.12.2017 08:30";"16.6";"722.2";"761.2";"";"84";"Calm, no wind";"0";"";"";"no clouds";"State of sky on the whole unchanged. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Drizzle.";"16.0";"";"";"";"";"";"";"2.0";"13.8";"";"";"";"";"";"";
"11.12.2017 17:30";"26.6";"719.7";"757.2";"";"47";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.2";"";"";"";"";"";"";
"11.12.2017 08:30";"13.6";"721.9";"761.3";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"10.12.2017 08:30";"18.0";"725.1";"764.1";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.8";"";"";"";"";"";"";"4.0";"4.7";"";"";"";"";"";"";
"09.12.2017 17:30";"26.0";"720.6";"758.2";"";"45";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.1";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"09.12.2017 08:30";"15.0";"722.6";"761.8";"";"85";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"13.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.5";"";"";"";"";"";"";
"08.12.2017 17:30";"24.0";"721.0";"758.9";"";"56";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"25.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.6";"";"";"";"";"";"";
"08.12.2017 08:30";"16.0";"722.9";"762.0";"";"90";"Wind blowing from the north-east";"1";"";"";"60%.";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"14.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"14.3";"";"";"";"";"";"";
"07.12.2017 17:30";"20.6";"720.7";"759.1";"";"68";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"21.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"14.5";"";"";"";"";"";"";
"07.12.2017 08:30";"15.0";"721.3";"760.5";"";"93";"Wind blowing from the north-east";"1";"";"";"40%.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"14.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"13.9";"";"";"";"";"";"";
"06.12.2017 20:30";"17.6";"719.7";"758.4";"";"75";"Wind blowing from the north-east";"2";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"18.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"13.0";"";"";"";"";"";"";
"06.12.2017 17:30";"17.6";"719.7";"758.4";"";"75";"Wind blowing from the north-east";"2";"";"";"100%.";"Drizzle, not freezing, intermittent, slight at time of observation. ";"Rain.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"18.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"13.0";"";"";"";"";"";"";
"06.12.2017 08:30";"16.4";"720.9";"759.9";"";"72";"Wind blowing from the north-east";"2";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"15.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"Cirrocumulus alone, or Cirrocumulus accompanied by Cirrus or Cirrostratus or both, but Cirrocumulus is predominant.";"2.0";"11.2";"";"";"";"";"";"";
"05.12.2017 17:30";"20.2";"718.7";"757.0";"";"73";"Calm, no wind";"0";"";"";"100%.";"Rain, not freezing, intermittent, slight at time of observation. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"23.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"";"4.0";"15.1";"";"";"";"";"";"";
"05.12.2017 08:30";"17.6";"721.2";"760.0";"";"58";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"17.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"9.2";"";"";"";"";"";"";
"04.12.2017 17:30";"24.2";"719.2";"757.0";"";"48";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"28.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"12.4";"";"";"";"";"";"";
"04.12.2017 08:30";"13.0";"722.8";"762.3";"";"77";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"12.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.1";"";"";"";"";"";"";
"03.12.2017 17:30";"23.6";"720.9";"758.9";"";"45";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"27.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.1";"";"";"";"";"";"";
"03.12.2017 08:30";"13.6";"723.0";"762.4";"";"61";"Wind blowing from the east";"1";"";"";"70 – 80%.";" ";"";"";"11.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"6.1";"";"";"";"";"";"";
"02.12.2017 17:30";"25.0";"721.3";"759.1";"";"39";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"27.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.1";"";"";"";"";"";"";
"02.12.2017 08:30";"15.0";"721.5";"760.7";"";"58";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"13.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"6.8";"";"";"";"";"";"";
"01.12.2017 17:30";"25.4";"720.5";"758.2";"";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.1";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"01.12.2017 08:30";"13.4";"722.4";"761.8";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.3";"";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"30.11.2017 17:30";"26.6";"720.6";"758.2";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"30.11.2017 08:30";"13.0";"722.8";"762.3";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"29.11.2017 08:30";"13.0";"721.8";"761.3";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"28.11.2017 17:30";"28.0";"720.2";"757.6";"";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.7";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"28.11.2017 08:30";"12.6";"722.0";"761.5";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"27.11.2017 17:30";"27.0";"720.7";"758.2";"";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"4.0";"5.9";"";"";"";"";"";"";
"27.11.2017 08:30";"13.6";"723.0";"762.5";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"26.11.2017 17:30";"26.6";"722.6";"760.3";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.1";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"26.11.2017 08:30";"11.8";"724.0";"763.8";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.4";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"25.11.2017 17:30";"26.4";"721.3";"758.9";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"25.11.2017 08:30";"10.4";"723.0";"762.9";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.4";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"24.11.2017 17:30";"25.0";"720.6";"758.4";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"24.11.2017 08:30";"13.0";"719.1";"758.4";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.1";"";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"23.11.2017 17:30";"25.0";"720.0";"757.7";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"23.11.2017 08:30";"12.6";"720.6";"760.1";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"22.11.2017 17:30";"25.6";"719.9";"757.6";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"22.11.2017 08:30";"17.0";"721.7";"760.6";"";"61";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"21.11.2017 17:30";"23.0";"721.1";"759.2";"";"52";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"";"25.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"12.5";"";"";"";"";"";"";
"21.11.2017 08:30";"16.0";"723.6";"762.7";"";"75";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"14.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.6";"";"";"";"";"";"";
"20.11.2017 17:30";"25.4";"721.6";"759.4";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.7";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"20.11.2017 08:30";"17.6";"723.8";"762.7";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"19.11.2017 17:30";"26.4";"720.9";"758.5";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
