# Weather station Shajapur, India, WMO_ID=42665,selection from 30.08.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42665&lang=en
#
"Local time in Shajapur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.12.2017 17:30";"25.2";"719.0";"756.7";"";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"6.4";"";"";"";"";"";"";
"30.12.2017 08:30";"10.8";"722.9";"762.7";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.9";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"30.12.2017 05:30";"10.8";"722.9";"762.7";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.9";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"29.12.2017 17:30";"25.0";"721.8";"759.6";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"29.12.2017 08:30";"8.0";"723.0";"763.3";"";"97";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.5";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"28.12.2017 17:30";"24.2";"720.9";"758.8";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"28.12.2017 08:30";"7.6";"723.3";"763.6";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.7";"";"";"";"";"";"";"4.0";"5.4";"";"";"";"";"";"";
"27.12.2017 17:30";"24.0";"722.0";"760.0";"";"34";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"26.7";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
"27.12.2017 08:30";"7.6";"723.8";"764.2";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.6";"";"";"";"";"";"";"4.0";"5.4";"";"";"";"";"";"";
"26.12.2017 17:30";"23.4";"722.8";"760.9";"";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"6.3";"";"";"";"";"";"";
"26.12.2017 08:30";"8.0";"724.7";"765.1";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.8";"";"";"";"";"";"";"4.0";"5.8";"";"";"";"";"";"";
