# Weather station Mandla, India, WMO_ID=42776,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42776&lang=en
#
"Local time in Mandla";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"23.0";"719.0";"756.7";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"16.5";"";"";"";"";"";"";
"31.12.2017 08:30";"10.0";"723.0";"762.7";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.0";"";"";"";"";"";"";"10.0";"7.9";"";"";"";"";"";"";
"30.12.2017 17:30";"22.0";"720.6";"758.5";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"15.3";"";"";"";"";"";"";
"30.12.2017 08:30";"9.0";"723.7";"763.6";"";"87";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.0";"";"";"";"";"";"";"10.0";"6.9";"";"";"";"";"";"";
"29.12.2017 17:30";"22.0";"720.6";"758.5";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"11.2";"";"";"";"";"";"";
"29.12.2017 08:30";"8.0";"723.8";"763.8";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.0";"";"";"";"";"";"";"10.0";"5.8";"";"";"";"";"";"";
"28.12.2017 17:30";"22.0";"720.6";"758.5";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"11.2";"";"";"";"";"";"";
"28.12.2017 08:30";"8.0";"724.6";"764.7";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"3.0";"";"";"";"";"";"";"10.0";"5.8";"";"";"";"";"";"";
"27.12.2017 17:30";"23.0";"721.3";"759.1";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"27.12.2017 08:30";"8.0";"722.4";"762.4";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.0";"";"";"";"";"";"";"10.0";"5.8";"";"";"";"";"";"";
"26.12.2017 17:30";"22.0";"722.0";"760.0";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"10.0";"8.9";"";"";"";"";"";"";
"26.12.2017 08:30";"9.0";"725.3";"765.3";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.0";"";"";"";"";"";"";"10.0";"4.5";"";"";"";"";"";"";
"25.12.2017 17:30";"25.0";"721.2";"758.7";"";"28";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"5.4";"";"";"";"";"";"";
"25.12.2017 08:30";"10.0";"723.8";"763.5";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.0";"";"";"";"";"";"";"10.0";"5.7";"";"";"";"";"";"";
"24.12.2017 17:30";"26.0";"720.5";"757.9";"";"24";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"4.1";"";"";"";"";"";"";
"24.12.2017 08:30";"11.0";"723.9";"763.5";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.0";"";"";"";"";"";"";"10.0";"5.7";"";"";"";"";"";"";
"23.12.2017 17:30";"25.0";"720.4";"757.9";"";"28";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"5.4";"";"";"";"";"";"";
"23.12.2017 08:30";"12.0";"723.6";"763.0";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"10.0";"7.9";"";"";"";"";"";"";
"22.12.2017 17:30";"22.0";"722.6";"760.6";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"10.0";"11.2";"";"";"";"";"";"";
"22.12.2017 08:30";"12.0";"725.8";"765.4";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"10.0";"10.1";"";"";"";"";"";"";
"21.12.2017 17:30";"24.0";"726.3";"764.2";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"21.12.2017 08:30";"11.0";"726.6";"766.3";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"10.0";"9.0";"";"";"";"";"";"";
