# Weather station Sagar, India, WMO_ID=42671,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42671&lang=en
#
"Local time in Sagar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"28.12.2017 11:30";"22.4";"716.2";"762.7";"0.5";"38";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.3";"";"";"";"";"";"";
"28.12.2017 08:30";"17.4";"715.7";"763.0";"1.5";"45";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"10.0";"5.2";"";"";"";"";"";"";
"28.12.2017 05:30";"12.6";"714.2";"762.2";"0.2";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.3";"";"";"";"";"";"";
"28.12.2017 02:30";"14.4";"714.0";"761.6";"-1.2";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.6";"";"";"";"";"";"";
"27.12.2017 23:30";"15.6";"715.2";"762.7";"-0.4";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.7";"";"";"";"";"";"";
"27.12.2017 20:30";"16.8";"715.6";"763.0";"1.0";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.8";"";"";"";"";"";"";
"27.12.2017 17:30";"21.0";"714.6";"761.2";"0.3";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"10.0";"8.2";"";"";"";"";"";"";
"27.12.2017 14:30";"25.2";"714.3";"760.1";"-2.2";"31";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.0";"";"";"";"";"";"";
"27.12.2017 11:30";"23.6";"716.5";"762.9";"0.3";"29";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.3";"";"";"";"";"";"";
"27.12.2017 08:30";"16.8";"716.2";"763.6";"1.3";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.1";"";"";"";"";"";"";"10.0";"6.8";"";"";"";"";"";"";
"27.12.2017 05:30";"11.8";"714.9";"763.1";"0.1";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"27.12.2017 02:30";"13.2";"714.8";"762.7";"-1.1";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.9";"";"";"";"";"";"";
"26.12.2017 23:30";"14.4";"715.9";"763.6";"-0.1";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.0";"";"";"";"";"";"";
"26.12.2017 20:30";"15.6";"716.0";"763.6";"1.0";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"26.12.2017 17:30";"20.0";"715.0";"761.8";"0.0";"47";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"25.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"8.3";"";"";"";"";"";"";
"26.12.2017 14:30";"24.2";"715.0";"761.1";"-2.1";"34";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.5";"";"";"";"";"";"";
"26.12.2017 11:30";"22.4";"717.1";"763.6";"0.4";"35";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.3";"";"";"";"";"";"";
"26.12.2017 08:30";"14.4";"716.7";"764.5";"1.4";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.2";"";"";"";"";"";"";"10.0";"5.6";"";"";"";"";"";"";
"26.12.2017 05:30";"11.4";"715.3";"763.5";"-0.6";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.2";"";"";"";"";"";"";
"26.12.2017 02:30";"11.8";"715.9";"764.1";"-0.3";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.7";"";"";"";"";"";"";
"25.12.2017 23:30";"12.6";"716.2";"764.3";"0.2";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.3";"";"";"";"";"";"";
"25.12.2017 20:30";"14.8";"716.0";"763.7";"1.2";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"25.12.2017 17:30";"21.2";"714.8";"761.2";"0.4";"39";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"10.0";"6.6";"";"";"";"";"";"";
"25.12.2017 14:30";"25.4";"714.4";"760.2";"-1.9";"31";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.8";"";"";"";"";"";"";
"25.12.2017 11:30";"23.8";"716.3";"762.6";"0.3";"36";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.9";"";"";"";"";"";"";
"25.12.2017 08:30";"17.4";"716.0";"763.3";"1.9";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"10.0";"3.0";"";"";"";"";"";"";
"25.12.2017 05:30";"13.6";"714.1";"761.8";"0.3";"57";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"25.12.2017 02:30";"15.2";"713.8";"761.3";"-0.2";"57";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.6";"";"";"";"";"";"";
"24.12.2017 23:30";"12.6";"716.2";"764.3";"2.4";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.3";"";"";"";"";"";"";
"24.12.2017 20:30";"18.0";"713.8";"760.9";"0.6";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.5";"";"";"";"";"";"";
"24.12.2017 17:30";"21.4";"713.2";"759.5";"0.2";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"10.0";"8.8";"";"";"";"";"";"";
"24.12.2017 14:30";"26.2";"713.0";"758.6";"-2.6";"28";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.4";"";"";"";"";"";"";
"24.12.2017 11:30";"23.0";"715.6";"762.0";"0.5";"34";"Wind blowing from the south-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"6.2";"";"";"";"";"";"";
"24.12.2017 08:30";"17.6";"715.1";"762.4";"1.6";"40";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"12.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.8";"";"";"";"";"";"";
"24.12.2017 05:30";"13.8";"713.5";"761.2";"-0.6";"51";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"3.8";"";"";"";"";"";"";
"24.12.2017 02:30";"14.8";"714.1";"761.7";"-0.3";"53";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.2";"";"";"";"";"";"";
"23.12.2017 23:30";"15.8";"714.4";"761.9";"0.0";"47";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.5";"";"";"";"";"";"";
"23.12.2017 20:30";"16.4";"714.4";"761.8";"0.8";"55";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.2";"";"";"";"";"";"";
"23.12.2017 17:30";"21.2";"713.6";"760.0";"-0.3";"36";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"26.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"5.5";"";"";"";"";"";"";
"23.12.2017 14:30";"24.8";"713.9";"759.9";"-1.5";"30";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"5.8";"";"";"";"";"";"";
"23.12.2017 11:30";"23.0";"715.4";"761.8";"0.1";"34";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"6.2";"";"";"";"";"";"";
"23.12.2017 08:30";"13.6";"715.3";"763.3";"0.0";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"10.0";"9.5";"";"";"";"";"";"";
"23.12.2017 05:30";"13.0";"715.3";"763.3";"-0.8";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"23.12.2017 02:30";"13.6";"716.1";"764.0";"-0.3";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"22.12.2017 23:30";"15.0";"716.4";"764.2";"-0.1";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"22.12.2017 20:30";"16.2";"716.5";"764.0";"0.7";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"22.12.2017 17:30";"20.0";"715.8";"762.7";"0.0";"51";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"23.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"9.6";"";"";"";"";"";"";
"22.12.2017 14:30";"22.4";"715.8";"762.3";"-1.9";"42";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"8.8";"";"";"";"";"";"";
"22.12.2017 11:30";"21.0";"717.7";"764.5";"0.0";"55";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"22.12.2017 08:30";"12.4";"717.7";"765.9";"4.3";"96";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.2";"";"";"";"";"";"";"2.0";"11.7";"";"";"";"";"";"";
"22.12.2017 05:30";"11.6";"713.4";"764.8";"-3.1";"93";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"10.5";"";"";"";"";"";"";
"22.12.2017 02:30";"13.2";"716.5";"764.5";"-0.4";"91";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"11.8";"";"";"";"";"";"";
"21.12.2017 23:30";"14.4";"716.9";"764.8";"-0.6";"90";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"21.12.2017 20:30";"16.0";"717.5";"765.1";"0.7";"76";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"11.8";"";"";"";"";"";"";
"21.12.2017 17:30";"21.0";"716.8";"763.6";"-0.1";"57";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"25.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"12.2";"";"";"";"";"";"";
"21.12.2017 14:30";"24.0";"716.9";"763.3";"-1.7";"48";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"21.12.2017 11:30";"22.0";"718.6";"765.4";"0.2";"52";"Wind blowing from the north-east";"1";"";"";"40%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.8";"";"";"";"";"";"";
"21.12.2017 08:30";"14.0";"718.4";"766.5";"1.8";"85";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"11.5";"";"";"";"";"";"";
"21.12.2017 05:30";"12.6";"716.6";"764.8";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"20.12.2017 23:30";"14.4";"717.5";"765.4";"-0.4";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"20.12.2017 20:30";"15.6";"717.9";"765.7";"1.1";"72";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.6";"";"";"";"";"";"";
"20.12.2017 17:30";"20.6";"716.8";"763.6";"0.3";"51";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"25.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"10.0";"";"";"";"";"";"";
"20.12.2017 14:30";"23.6";"716.5";"762.9";"-2.1";"47";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"11.7";"";"";"";"";"";"";
"20.12.2017 11:30";"20.6";"718.6";"765.6";"0.3";"54";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"10.8";"";"";"";"";"";"";
"20.12.2017 08:30";"15.0";"718.3";"766.2";"1.7";"66";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"10.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"8.6";"";"";"";"";"";"";
"20.12.2017 05:30";"12.4";"716.6";"764.8";"0.1";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"20.12.2017 02:30";"13.2";"716.5";"764.5";"-0.9";"70";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"19.12.2017 23:30";"14.4";"717.4";"765.3";"-0.3";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"19.12.2017 20:30";"16.8";"717.7";"765.2";"1.9";"56";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"7.8";"";"";"";"";"";"";
