# Weather station Sagar, India, WMO_ID=42671,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42671&lang=en
#
"Local time in Sagar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 23:30";"15.0";"712.9";"760.5";"-0.2";"59";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.9";"";"";"";"";"";"";
"31.12.2017 20:30";"16.0";"713.1";"760.4";"0.8";"58";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"31.12.2017 17:30";"20.0";"712.3";"759.1";"-0.5";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.1";"";"";"";"";"";"10.0";"9.2";"";"";"";"";"";"";
"31.12.2017 14:30";"23.4";"712.8";"758.8";"-2.3";"39";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.8";"";"";"";"";"";"";
"31.12.2017 11:30";"21.4";"715.1";"761.7";"-0.3";"43";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.3";"";"";"";"";"";"";
"31.12.2017 08:30";"14.4";"715.4";"763.1";"1.3";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.1";"";"";"";"";"";"";"10.0";"10.0";"";"";"";"";"";"";
"31.12.2017 05:30";"13.0";"714.1";"762.1";"0.0";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"31.12.2017 02:30";"14.4";"714.1";"761.8";"-0.4";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"30.12.2017 23:30";"15.4";"714.5";"762.0";"0.1";"66";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"30.12.2017 20:30";"16.6";"714.4";"761.8";"0.6";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"30.12.2017 17:30";"21.6";"713.8";"760.2";"-0.3";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.6";"";"";"";"";"";"10.0";"10.4";"";"";"";"";"";"";
"30.12.2017 14:30";"24.8";"714.1";"760.1";"-1.8";"38";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.4";"";"";"";"";"";"";
"30.12.2017 11:30";"22.6";"715.9";"762.4";"0.2";"41";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.6";"";"";"";"";"";"";
"30.12.2017 08:30";"16.4";"715.7";"763.1";"1.3";"59";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"11.3";"";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"30.12.2017 05:30";"13.0";"714.4";"762.4";"0.1";"74";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"30.12.2017 02:30";"14.6";"714.3";"761.9";"-0.8";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"29.12.2017 23:30";"15.6";"715.1";"762.7";"0.1";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.7";"";"";"";"";"";"";
"29.12.2017 20:30";"16.8";"715.0";"762.4";"1.0";"54";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"7.3";"";"";"";"";"";"";
"29.12.2017 17:30";"21.0";"714.0";"760.6";"-0.4";"45";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"27.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"8.7";"";"";"";"";"";"";
"29.12.2017 14:30";"25.2";"714.4";"760.3";"-1.8";"30";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.4";"";"";"";"";"";"";
"29.12.2017 11:30";"22.6";"716.2";"762.6";"0.3";"37";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.1";"";"";"";"";"";"";
"29.12.2017 08:30";"17.0";"715.9";"763.3";"1.5";"51";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"11.3";"";"";"";"";"";"";"10.0";"6.6";"";"";"";"";"";"";
"29.12.2017 05:30";"13.4";"714.4";"762.1";"0.6";"54";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.3";"";"";"";"";"";"";
"29.12.2017 02:30";"13.8";"713.8";"761.5";"-1.2";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"2.7";"";"";"";"";"";"";
"28.12.2017 23:30";"15.0";"715.0";"762.7";"0.0";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"2.2";"";"";"";"";"";"";
"28.12.2017 20:30";"16.6";"715.0";"762.4";"0.9";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.5";"";"";"";"";"";"";
"28.12.2017 17:30";"21.4";"714.1";"760.5";"0.3";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.1";"";"";"";"";"";"10.0";"7.8";"";"";"";"";"";"";
"28.12.2017 14:30";"26.0";"713.8";"759.6";"-2.4";"32";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.2";"";"";"";"";"";"";
