# Weather station Sundargarh, India, WMO_ID=42792,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42792&lang=en
#
"Local time in Sundargarh";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"23.0";"742.0";"762.9";"";"67";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"31.12.2017 08:30";"12.0";"740.7";"762.4";"";"76";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"30.12.2017 17:30";"25.0";"741.9";"762.7";"";"61";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"30.12.2017 08:30";"13.0";"740.6";"762.2";"";"57";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"7.5";"";"";"";"";"";"";"4.0";"4.5";"";"";"";"";"";"";
"29.12.2017 17:30";"24.0";"741.9";"762.7";"";"68";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"29.12.2017 08:30";"14.0";"740.6";"762.1";"";"57";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"8.0";"";"";"";"";"";"";"4.0";"5.6";"";"";"";"";"";"";
"28.12.2017 17:30";"23.0";"742.1";"763.0";"";"67";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"28.12.2017 08:30";"15.0";"740.6";"762.1";"";"68";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"27.12.2017 08:30";"14.0";"740.6";"762.1";"";"57";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"4.0";"5.6";"";"";"";"";"";"";
"26.12.2017 17:30";"21.0";"741.8";"762.9";"";"73";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"26.12.2017 08:30";"12.4";"740.5";"762.2";"";"67";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"8.0";"";"";"";"";"";"";"4.0";"6.3";"";"";"";"";"";"";
"25.12.2017 17:30";"22.0";"741.9";"762.9";"";"66";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"25.12.2017 08:30";"15.0";"740.6";"762.1";"";"68";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"24.12.2017 17:30";"23.2";"741.9";"762.8";"";"65";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"24.12.2017 08:30";"14.0";"740.6";"762.1";"";"57";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"4.0";"5.6";"";"";"";"";"";"";
"23.12.2017 17:30";"26.0";"741.3";"762.0";"";"69";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"23.12.2017 08:30";"16.0";"741.6";"763.0";"";"60";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"22.12.2017 17:30";"25.0";"741.3";"762.1";"";"76";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"22.12.2017 08:30";"15.0";"741.5";"763.0";"";"68";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"21.12.2017 17:30";"24.0";"741.3";"762.1";"";"68";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"21.12.2017 08:30";"14.0";"741.6";"763.2";"";"67";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"20.12.2017 17:30";"23.2";"741.3";"762.2";"";"65";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"20.12.2017 08:30";"13.0";"741.7";"763.3";"";"57";"Wind blowing from the east";"1";"";"";"60%.";" ";"";"";"9.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"4.5";"";"";"";"";"";"";
"19.12.2017 17:30";"23.0";"741.3";"762.2";"";"55";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"19.12.2017 08:30";"14.3";"741.7";"763.2";"";"65";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"18.12.2017 17:30";"24.0";"741.3";"762.1";"";"68";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"18.12.2017 08:30";"14.0";"741.6";"763.2";"";"67";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"17.12.2017 17:30";"25.0";"739.9";"760.6";"";"76";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"17.12.2017 08:30";"15.2";"741.5";"763.0";"";"67";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"16.12.2017 17:30";"26.5";"739.9";"760.5";"";"58";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"29.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"17.6";"";"";"";"";"";"";
"16.12.2017 08:30";"16.0";"741.6";"763.0";"";"60";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"15.12.2017 17:30";"25.0";"739.9";"760.6";"";"76";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"15.12.2017 08:30";"15.0";"741.5";"763.0";"";"68";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"14.12.2017 17:30";"25.4";"739.1";"759.8";"";"73";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"14.12.2017 08:30";"15.2";"741.5";"763.0";"";"67";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"13.12.2017 17:30";"26.0";"739.9";"760.5";"";"62";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"12.12.2017 17:30";"26.8";"739.9";"760.5";"";"57";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"11.12.2017 17:30";"26.0";"739.9";"760.5";"";"62";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.1";"";"";"";"";"";"";
"11.12.2017 08:30";"18.0";"741.6";"762.9";"";"62";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"10.12.2017 17:30";"25.4";"739.9";"760.6";"";"73";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"10.12.2017 08:30";"17.0";"742.3";"763.7";"";"61";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"09.12.2017 17:30";"26.0";"739.9";"760.5";"";"62";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.1";"";"";"";"";"";"";
"09.12.2017 08:30";"16.0";"741.6";"763.0";"";"60";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"12.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"8.1";"";"";"";"";"";"";
"08.12.2017 17:30";"25.0";"739.9";"760.6";"";"76";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"28.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"20.4";"";"";"";"";"";"";
"08.12.2017 08:30";"15.0";"741.5";"763.0";"";"68";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"11.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"9.2";"";"";"";"";"";"";
"07.12.2017 17:30";"25.4";"739.9";"760.6";"";"73";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"07.12.2017 08:30";"14.8";"741.6";"763.1";"";"70";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"06.12.2017 17:30";"25.0";"739.9";"760.6";"";"76";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"06.12.2017 08:30";"14.4";"741.6";"763.1";"";"63";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"05.12.2017 17:30";"26.0";"739.9";"760.5";"";"62";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
