# Weather station Sundargarh, India, WMO_ID=42792,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42792&lang=en
#
"Local time in Sundargarh";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"05.12.2017 08:30";"15.0";"737.9";"759.3";"";"68";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"04.12.2017 17:30";"27.0";"739.9";"760.5";"";"63";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"04.12.2017 08:30";"17.4";"741.6";"762.9";"";"58";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"03.12.2017 17:30";"26.4";"739.9";"760.5";"";"60";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"17.9";"";"";"";"";"";"";
"03.12.2017 08:30";"18.0";"741.5";"762.8";"";"81";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"13.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"14.6";"";"";"";"";"";"";
"02.12.2017 17:30";"25.0";"739.9";"760.6";"";"37";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"02.12.2017 08:30";"17.0";"741.6";"762.9";"";"61";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"01.12.2017 17:30";"26.0";"739.9";"760.5";"";"62";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"01.12.2017 08:30";"16.0";"741.6";"763.0";"";"60";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"30.11.2017 17:30";"25.0";"739.9";"760.6";"";"68";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"30.11.2017 08:30";"15.4";"741.5";"763.0";"";"55";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"6.4";"";"";"";"";"";"";
"29.11.2017 17:30";"24.0";"739.8";"760.6";"";"75";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"29.11.2017 08:30";"16.4";"741.6";"763.0";"";"57";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"28.11.2017 08:30";"16.0";"741.6";"763.0";"";"60";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"27.11.2017 17:30";"26.0";"739.9";"760.5";"";"62";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"27.11.2017 08:30";"19.0";"741.5";"762.7";"";"81";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"26.11.2017 17:30";"27.0";"739.8";"760.4";"";"63";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"26.11.2017 08:30";"17.0";"741.7";"763.0";"";"80";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"25.11.2017 17:30";"26.4";"739.9";"760.5";"";"60";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"25.11.2017 08:30";"18.0";"741.5";"762.8";"";"81";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"24.11.2017 17:30";"26.0";"739.9";"760.5";"";"62";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"24.11.2017 08:30";"19.0";"741.5";"762.7";"";"81";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"23.11.2017 17:30";"27.0";"739.8";"760.4";"";"63";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"23.11.2017 08:30";"20.0";"739.8";"760.9";"";"81";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"22.11.2017 17:30";"29.0";"739.9";"760.3";"";"64";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"22.11.2017 08:30";"28.0";"739.8";"760.3";"";"57";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"21.11.2017 17:30";"28.4";"740.4";"760.9";"";"55";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"21.11.2017 08:30";"21.0";"739.9";"760.9";"";"73";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"20.11.2017 17:30";"29.0";"739.9";"760.3";"";"64";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"30.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.6";"";"";"";"";"";"";
"20.11.2017 08:30";"22.0";"739.9";"760.8";"";"74";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"17.1";"";"";"";"";"";"";
"19.11.2017 17:30";"28.0";"739.8";"760.3";"";"57";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"19.11.2017 08:30";"21.0";"739.9";"760.9";"";"73";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"18.11.2017 17:30";"28.4";"739.8";"760.3";"";"55";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"29.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.4";"";"";"";"";"";"";
"18.11.2017 08:30";"20.0";"739.8";"760.9";"";"81";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"16.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"16.7";"";"";"";"";"";"";
"17.11.2017 17:30";"29.0";"739.1";"759.5";"";"64";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"30.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"21.6";"";"";"";"";"";"";
"17.11.2017 08:30";"19.0";"739.8";"760.9";"";"81";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"15.5";"";"";"";"600-1000";"";"";"4.0";"15.6";"";"";"";"";"";"";
"16.11.2017 17:30";"28.0";"739.8";"760.3";"";"57";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"29.5";"";"";"600-1000";"";"";"4.0";"18.7";"";"";"";"";"";"";
"16.11.2017 08:30";"19.4";"739.8";"760.9";"";"84";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"16.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"16.7";"";"";"";"";"";"";
"15.11.2017 17:30";"27.0";"739.8";"760.4";"";"63";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.3";"";"";"";"";"";"";
"15.11.2017 08:30";"19.4";"739.8";"760.9";"";"69";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"15.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"13.5";"";"";"";"";"";"";
"14.11.2017 17:30";"28.0";"739.8";"760.3";"";"57";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"29.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.7";"";"";"";"";"";"";
"14.11.2017 08:30";"20.0";"739.8";"760.9";"";"81";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"15.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"16.7";"";"";"";"";"";"";
"13.11.2017 17:30";"27.0";"739.8";"760.4";"";"63";"Wind blowing from the east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"19.3";"";"";"";"";"";"";
"13.11.2017 08:30";"29.0";"740.4";"760.9";"";"44";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"16.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"15.6";"";"";"";"";"";"";
"12.11.2017 17:30";"26.0";"739.4";"760.0";"";"69";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"12.11.2017 08:30";"18.2";"739.9";"761.1";"";"79";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"15.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"14.4";"";"";"";"";"";"";
"11.11.2017 17:30";"26.4";"739.4";"760.0";"";"66";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"11.11.2017 08:30";"18.0";"739.9";"761.1";"";"81";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"10.11.2017 17:30";"26.0";"739.4";"760.0";"";"69";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"19.9";"";"";"";"";"";"";
"09.11.2017 17:30";"29.0";"739.9";"760.3";"";"64";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"09.11.2017 08:30";"19.0";"739.8";"760.9";"";"81";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"08.11.2017 17:30";"28.0";"739.7";"760.2";"";"55";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.2";"";"";"";"";"";"";
"08.11.2017 08:30";"20.0";"739.7";"760.8";"";"63";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"17.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"12.7";"";"";"";"";"";"";
"07.11.2017 17:30";"29.0";"739.9";"760.3";"";"64";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"07.11.2017 08:30";"19.0";"739.8";"760.9";"";"91";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"06.11.2017 17:30";"28.4";"737.2";"757.6";"";"55";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"06.11.2017 08:30";"21.0";"739.7";"760.7";"";"82";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"05.11.2017 17:30";"28.0";"737.2";"757.6";"";"57";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"05.11.2017 08:30";"20.0";"739.7";"760.8";"";"87";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"17.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"17.7";"";"";"";"";"";"";
"04.11.2017 17:30";"27.0";"737.1";"757.6";"";"56";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"28.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"17.5";"";"";"";"";"";"";
"04.11.2017 08:30";"19.0";"739.8";"760.9";"";"91";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"16.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"17.4";"";"";"";"";"";"";
"03.11.2017 17:30";"26.0";"737.3";"757.9";"";"49";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"03.11.2017 08:30";"19.4";"739.8";"760.9";"";"96";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"4.0";"18.8";"";"";"";"";"";"";
"02.11.2017 17:30";"27.0";"737.1";"757.6";"";"56";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"02.11.2017 08:30";"20.0";"739.7";"760.8";"";"87";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"01.11.2017 17:30";"27.2";"737.1";"757.6";"";"42";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"01.11.2017 08:30";"21.0";"739.7";"760.7";"";"82";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"31.10.2017 17:30";"27.4";"737.1";"757.6";"";"54";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"31.10.2017 08:30";"21.4";"739.7";"760.7";"";"79";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"18.5";"";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"30.10.2017 17:30";"27.0";"737.1";"757.6";"";"56";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"30.10.2017 08:30";"21.0";"739.7";"760.7";"";"82";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"29.10.2017 17:30";"28.0";"737.2";"757.6";"";"57";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"29.10.2017 08:30";"22.4";"734.2";"754.9";"";"71";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"19.5";"";"";"";"";"";"";"4.0";"16.9";"";"";"";"";"";"";
"28.10.2017 17:30";"28.6";"737.2";"757.6";"";"54";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"18.3";"";"";"";"";"";"";
"28.10.2017 08:30";"22.8";"734.2";"754.9";"";"68";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"27.10.2017 17:30";"28.2";"737.2";"757.6";"";"56";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
