# Weather station Bilaspur, India, WMO_ID=42782,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42782&lang=en
#
"Local time in Bilaspur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"29.12.2017 11:30";"25.8";"";"";"";"42";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"29.12.2017 08:30";"15.4";"";"";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"28.12.2017 17:30";"22.8";"";"";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"28.12.2017 14:30";"27.6";"";"";"";"37";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"28.12.2017 11:30";"25.6";"";"";"";"43";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"28.12.2017 08:30";"16.2";"";"";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.9";"";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"27.12.2017 17:30";"23.4";"";"";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"27.12.2017 14:30";"27.4";"";"";"";"19";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"2.0";"";"";"";"";"";"";
"27.12.2017 11:30";"25.6";"";"";"";"22";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"2.6";"";"";"";"";"";"";
"27.12.2017 08:30";"16.4";"";"";"";"57";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"10.8";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"26.12.2017 17:30";"23.0";"";"";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"26.12.2017 14:30";"27.0";"";"";"";"31";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"26.12.2017 11:30";"23.2";"";"";"";"29";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.1";"";"";"";"";"";"";
"26.12.2017 08:30";"15.4";"";"";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.1";"";"";"";"";"";"";"4.0";"6.4";"";"";"";"";"";"";
"25.12.2017 17:30";"25.0";"";"";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"25.12.2017 14:30";"28.8";"";"";"";"29";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.0";"";"";"";"";"";"";
"25.12.2017 11:30";"26.8";"";"";"";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"25.12.2017 08:30";"15.8";"";"";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"24.12.2017 17:30";"24.6";"";"";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"24.12.2017 11:30";"25.0";"";"";"";"34";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"24.12.2017 08:30";"16.4";"";"";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"23.12.2017 17:30";"24.0";"";"";"";"21";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"0.0";"";"";"";"";"";"";
"23.12.2017 14:30";"30.0";"";"";"";"21";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.2";"";"";"";"";"";"";
"23.12.2017 11:30";"26.0";"";"";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"23.12.2017 08:30";"17.2";"";"";"";"69";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"11.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.5";"";"";"";"";"";"";
"22.12.2017 17:30";"23.8";"";"";"";"58";"Calm, no wind";"0";"";"";"40%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"15.1";"";"";"";"";"";"";
"22.12.2017 14:30";"27.0";"";"";"";"37";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"11.2";"";"";"";"";"";"";
"22.12.2017 11:30";"23.4";"";"";"";"51";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"12.6";"";"";"";"";"";"";
"22.12.2017 08:30";"16.0";"";"";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.3";"";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"21.12.2017 17:30";"25.0";"";"";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"21.12.2017 14:30";"27.6";"";"";"";"35";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"21.12.2017 11:30";"25.0";"";"";"";"41";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"21.12.2017 08:30";"17.0";"";"";"";"67";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"12.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.7";"";"";"";"";"";"";
"20.12.2017 17:30";"23.0";"";"";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"20.12.2017 14:30";"27.8";"";"";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"20.12.2017 11:30";"25.0";"";"";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"20.12.2017 08:30";"17.0";"";"";"";"61";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"12.9";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"20.12.2017 05:30";"13.0";"739.5";"764.1";"";"66";"Wind blowing from the north-east";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"19.12.2017 17:30";"24.0";"";"";"";"52";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"28.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.4";"";"";"";"";"";"";
"19.12.2017 14:30";"27.8";"";"";"";"28";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"19.12.2017 11:30";"25.6";"";"";"";"26";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"4.6";"";"";"";"";"";"";
"19.12.2017 08:30";"16.6";"";"";"";"53";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"10.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"7.0";"";"";"";"";"";"";
"18.12.2017 17:30";"24.0";"";"";"";"41";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"27.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.8";"";"";"";"";"";"";
"18.12.2017 14:30";"26.0";"";"";"";"19";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"0.4";"";"";"";"";"";"";
"18.12.2017 11:30";"23.0";"";"";"";"26";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"2.4";"";"";"";"";"";"";
"18.12.2017 08:30";"15.6";"";"";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"17.12.2017 17:30";"26.0";"";"";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"17.12.2017 14:30";"27.6";"";"";"";"38";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"17.12.2017 11:30";"23.0";"";"";"";"26";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"2.4";"";"";"";"";"";"";
"17.12.2017 08:30";"19.0";"";"";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"16.12.2017 17:30";"26.0";"";"";"";"57";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"31.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.7";"";"";"";"";"";"";
"16.12.2017 14:30";"30.0";"";"";"";"36";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"16.12.2017 11:30";"28.4";"";"";"";"43";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"16.12.2017 08:30";"19.8";"";"";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"15.12.2017 17:30";"25.8";"";"";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"15.12.2017 14:30";"31.2";"";"";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"15.12.2017 11:30";"28.8";"";"";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"15.12.2017 08:30";"18.8";"";"";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"14.12.2017 17:30";"25.8";"";"";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"14.12.2017 14:30";"30.0";"";"";"";"41";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"14.12.2017 11:30";"28.2";"";"";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.7";"";"";"";"";"";"";
"14.12.2017 08:30";"19.2";"";"";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"13.12.2017 17:30";"25.0";"";"";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"13.12.2017 14:30";"29.6";"";"";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"13.12.2017 11:30";"28.2";"";"";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.7";"";"";"";"";"";"";
"13.12.2017 08:30";"17.8";"";"";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"12.12.2017 17:30";"25.0";"";"";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"12.12.2017 14:30";"30.6";"";"";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"12.12.2017 11:30";"27.6";"";"";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"12.12.2017 08:30";"18.8";"";"";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.9";"";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"11.12.2017 17:30";"24.2";"";"";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.7";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"11.12.2017 14:30";"29.6";"";"";"";"34";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"11.12.2017 11:30";"26.2";"";"";"";"50";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"11.12.2017 08:30";"18.0";"";"";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"10.12.2017 17:30";"25.0";"";"";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"10.12.2017 14:30";"28.6";"";"";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"10.12.2017 11:30";"25.8";"";"";"";"37";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"10.12.2017 08:30";"18.0";"";"";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"09.12.2017 17:30";"25.2";"";"";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"12.4";"";"";"";"";"";"";
"09.12.2017 14:30";"28.8";"";"";"";"30";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.5";"";"";"";"";"";"";
"09.12.2017 11:30";"26.4";"";"";"";"34";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"09.12.2017 08:30";"18.0";"";"";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"08.12.2017 17:30";"27.0";"";"";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"08.12.2017 14:30";"29.8";"";"";"";"37";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"08.12.2017 11:30";"27.0";"";"";"";"41";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"08.12.2017 08:30";"20.0";"";"";"";"64";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"16.1";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"07.12.2017 17:30";"26.8";"";"";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"07.12.2017 11:30";"27.0";"";"";"";"41";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"07.12.2017 08:30";"18.8";"";"";"";"65";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"06.12.2017 20:30";"24.0";"";"";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"06.12.2017 17:30";"24.0";"";"";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"06.12.2017 14:30";"28.8";"";"";"";"39";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.4";"";"";"";"";"";"";
"06.12.2017 11:30";"27.0";"";"";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"06.12.2017 08:30";"17.4";"";"";"";"75";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"12.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.8";"";"";"";"";"";"";
"05.12.2017 17:30";"23.6";"";"";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.1";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"05.12.2017 14:30";"27.4";"";"";"";"35";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"05.12.2017 11:30";"26.2";"";"";"";"41";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"05.12.2017 08:30";"15.8";"";"";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.9";"";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"04.12.2017 17:30";"22.2";"";"";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"04.12.2017 14:30";"27.6";"";"";"";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"04.12.2017 11:30";"26.8";"";"";"";"37";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"04.12.2017 08:30";"15.6";"";"";"";"73";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"11.4";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"03.12.2017 17:30";"23.6";"";"";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"03.12.2017 14:30";"28.8";"";"";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"03.12.2017 11:30";"26.4";"";"";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"03.12.2017 08:30";"15.8";"";"";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"02.12.2017 17:30";"23.0";"";"";"";"52";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"28.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.5";"";"";"";"";"";"";
"02.12.2017 14:30";"27.6";"";"";"";"28";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"02.12.2017 11:30";"26.2";"";"";"";"32";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
