# Weather station Bilaspur, India, WMO_ID=42782,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42782&lang=en
#
"Local time in Bilaspur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"24.0";"";"";"";"52";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"29.0";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"31.12.2017 14:30";"28.4";"";"";"";"36";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"31.12.2017 11:30";"26.0";"";"";"";"43";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"31.12.2017 08:30";"15.6";"";"";"";"73";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.1";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"30.12.2017 17:30";"23.8";"";"";"";"57";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"29.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.8";"";"";"";"";"";"";
"30.12.2017 14:30";"28.2";"";"";"";"38";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"30.12.2017 11:30";"26.0";"";"";"";"47";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"30.12.2017 08:30";"14.8";"";"";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"29.12.2017 17:30";"23.6";"";"";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.7";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"29.12.2017 14:30";"28.8";"";"";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
