# Weather station Durg, India, WMO_ID=42876,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42876&lang=en
#
"Local time in Durg";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"27.6";"";"";"";"33";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"31.12.2017 08:30";"12.6";"";"";"";"80";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"9.4";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"30.12.2017 08:30";"12.2";"";"";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.4";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"29.12.2017 08:30";"10.4";"";"";"";"88";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"7.8";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"28.12.2017 17:30";"24.2";"";"";"";"40";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"28.12.2017 08:30";"11.2";"";"";"";"83";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"7.4";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"27.12.2017 17:30";"24.8";"";"";"";"36";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"8.5";"";"";"";"";"";"";
"27.12.2017 08:30";"10.6";"";"";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.2";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"26.12.2017 17:30";"24.2";"";"";"";"40";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"26.12.2017 08:30";"13.0";"";"";"";"77";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"9.4";"";"";"";"";"";"";"4.0";"9.1";"";"";"";"";"";"";
"25.12.2017 17:30";"26.8";"";"";"";"45";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"25.12.2017 08:30";"14.6";"";"";"";"82";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"24.12.2017 17:30";"27.4";"";"";"";"43";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"24.12.2017 08:30";"15.8";"";"";"";"87";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"11.4";"";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"23.12.2017 17:30";"27.8";"";"";"";"44";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"30.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.6";"";"";"";"";"";"";
"23.12.2017 08:30";"15.4";"";"";"";"73";"Wind blowing from the north-west";"1";"";"";"20–30%.";" ";"";"";"11.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"10.5";"";"";"";"";"";"";
"22.12.2017 17:30";"26.2";"";"";"";"52";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"29.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.7";"";"";"";"";"";"";
"22.12.2017 08:30";"15.6";"";"";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"2.0";"12.3";"";"";"";"";"";"";
