# Weather station Durg, India, WMO_ID=42876,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42876&lang=en
#
"Local time in Durg";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"21.12.2017 17:30";"27.2";"";"";"";"46";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"29.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.6";"";"";"";"";"";"";
"21.12.2017 08:30";"15.0";"";"";"";"83";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"11.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"12.1";"";"";"";"";"";"";
"20.12.2017 17:30";"26.2";"";"";"";"46";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"20.12.2017 08:30";"13.2";"";"";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.4";"";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"19.12.2017 17:30";"24.6";"";"";"";"40";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"19.12.2017 08:30";"14.8";"";"";"";"72";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"10.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.8";"";"";"";"";"";"";
"18.12.2017 17:30";"27.6";"";"";"";"81";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"31.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.0";"";"";"";"";"";"";
"18.12.2017 08:30";"15.6";"";"";"";"83";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"17.12.2017 17:30";"27.4";"";"";"";"44";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"17.12.2017 08:30";"16.4";"";"";"";"87";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"16.12.2017 17:30";"27.6";"";"";"";"44";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"16.12.2017 08:30";"17.4";"";"";"";"80";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.2";"";"";"";"";"";"";"2.0";"13.9";"";"";"";"";"";"";
"15.12.2017 17:30";"27.4";"";"";"";"35";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"15.12.2017 08:30";"18.2";"";"";"";"84";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.2";"";"";"";"";"";"";"2.0";"15.5";"";"";"";"";"";"";
"14.12.2017 17:30";"29.6";"";"";"";"33";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"14.12.2017 08:30";"16.8";"";"";"";"86";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"13.12.2017 17:30";"28.8";"";"";"";"48";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"13.12.2017 08:30";"16.4";"";"";"";"87";"Wind blowing from the north";"1";"";"";"no clouds";"State of sky on the whole unchanged. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.2";"";"";"";"";"";"";"2.0";"14.3";"";"";"";"";"";"";
"12.12.2017 17:30";"25.8";"";"";"";"52";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"12.12.2017 08:30";"15.0";"";"";"";"83";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"11.12.2017 17:30";"27.6";"";"";"";"49";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"11.12.2017 08:30";"15.2";"";"";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.6";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"10.12.2017 17:30";"24.4";"";"";"";"41";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"10.12.2017 08:30";"17.2";"";"";"";"61";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"09.12.2017 17:30";"27.6";"";"";"";"44";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"09.12.2017 08:30";"17.4";"";"";"";"80";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.6";"";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"08.12.2017 17:30";"28.2";"";"";"";"39";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"30.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.0";"";"";"";"";"";"";
"08.12.2017 08:30";"17.8";"";"";"";"77";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"14.5";"";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"07.12.2017 17:30";"27.0";"";"";"";"41";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"07.12.2017 08:30";"17.4";"";"";"";"80";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.4";"";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"06.12.2017 20:30";"27.2";"";"";"";"44";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.8";"";"";"";"";"";"";
"06.12.2017 17:30";"27.2";"";"";"";"44";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.8";"";"";"";"";"";"";
"06.12.2017 08:30";"17.6";"";"";"";"78";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"12.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"13.7";"";"";"";"";"";"";
"05.12.2017 17:30";"25.4";"";"";"";"37";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"05.12.2017 08:30";"15.8";"";"";"";"81";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.3";"";"";"";"";"";"";"2.0";"12.5";"";"";"";"";"";"";
"04.12.2017 17:30";"25.2";"";"";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"04.12.2017 08:30";"15.4";"";"";"";"75";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"2.0";"10.9";"";"";"";"";"";"";
"03.12.2017 17:30";"24.4";"";"";"";"41";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"03.12.2017 08:30";"15.2";"";"";"";"70";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.0";"";"";"";"";"";"";"2.0";"9.8";"";"";"";"";"";"";
"02.12.2017 17:30";"25.4";"";"";"";"41";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"02.12.2017 08:30";"16.2";"";"";"";"70";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"2.0";"10.6";"";"";"";"";"";"";
"01.12.2017 17:30";"24.8";"";"";"";"43";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"29.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"11.5";"";"";"";"";"";"";
"01.12.2017 08:30";"16.6";"";"";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.3";"";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"30.11.2017 17:30";"27.2";"";"";"";"40";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"30.11.2017 08:30";"16.2";"";"";"";"79";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"11.8";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"29.11.2017 17:30";"26.6";"";"";"";"48";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"4.0";"14.7";"";"";"";"";"";"";
"29.11.2017 08:30";"15.8";"";"";"";"75";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"2.0";"11.4";"";"";"";"";"";"";
"28.11.2017 17:30";"26.4";"";"";"";"42";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"28.11.2017 08:30";"16.0";"";"";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.8";"";"";"";"";"";"";"2.0";"12.4";"";"";"";"";"";"";
"27.11.2017 17:30";"25.0";"";"";"";"57";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"27.11.2017 08:30";"16.2";"";"";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"2.0";"13.0";"";"";"";"";"";"";
"26.11.2017 17:30";"24.4";"";"";"";"41";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"26.11.2017 08:30";"14.4";"";"";"";"40";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"2.0";"0.8";"";"";"";"";"";"";
"25.11.2017 17:30";"26.4";"";"";"";"49";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"25.11.2017 08:30";"16.6";"";"";"";"68";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"2.0";"10.6";"";"";"";"";"";"";
"24.11.2017 17:30";"25.2";"";"";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"24.11.2017 08:30";"18.4";"";"";"";"71";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"23.11.2017 17:30";"26.0";"";"";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"4.0";"19.2";"";"";"";"";"";"";
"23.11.2017 08:30";"20.4";"";"";"";"73";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"2.0";"15.4";"";"";"";"";"";"";
"22.11.2017 17:30";"24.6";"";"";"";"55";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"29.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.9";"";"";"";"";"";"";
"22.11.2017 08:30";"21.2";"";"";"";"65";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"16.9";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"21.11.2017 17:30";"29.0";"";"";"";"49";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"32.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.3";"";"";"";"";"";"";
"21.11.2017 08:30";"21.4";"";"";"";"75";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"17.8";"";"";"";"";"";"";"4.0";"16.8";"";"";"";"";"";"";
"20.11.2017 17:30";"29.2";"";"";"";"52";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"31.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.3";"";"";"";"";"";"";
"20.11.2017 08:30";"24.0";"";"";"";"77";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"19.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.7";"";"";"";"";"";"";
"19.11.2017 17:30";"28.6";"";"";"";"57";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"31.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.2";"";"";"";"";"";"";
"19.11.2017 08:30";"23.2";"";"";"";"84";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"18.4";"";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"18.11.2017 17:30";"28.4";"";"";"";"58";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"30.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.4";"";"";"";"";"";"";
"18.11.2017 08:30";"23.6";"";"";"";"81";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"19.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.2";"";"";"";"";"";"";
"17.11.2017 17:30";"27.4";"";"";"";"58";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"29.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.3";"";"";"";"";"";"";
"17.11.2017 08:30";"23.6";"";"";"";"81";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"20.9";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.2";"";"";"";"";"";"";
"16.11.2017 17:30";"25.2";"";"";"";"70";"Wind blowing from the north";"2";"";"";"60%.";" ";"";"";"";"28.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.3";"";"";"";"";"";"";
"16.11.2017 08:30";"22.4";"";"";"";"83";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"19.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.3";"";"";"";"";"";"";
"15.11.2017 17:30";"24.4";"";"";"";"68";"Wind blowing from the north-east";"3";"";"";"60%.";" ";"";"";"";"29.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.1";"";"";"";"";"";"";
"14.11.2017 17:30";"28.4";"";"";"";"50";"Wind blowing from the south";"2";"";"";"60%.";" ";"";"";"";"31.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.9";"";"";"";"";"";"";
"14.11.2017 08:30";"20.4";"";"";"";"73";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"15.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.4";"";"";"";"";"";"";
"13.11.2017 17:30";"28.6";"";"";"";"35";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"13.11.2017 08:30";"19.4";"";"";"";"72";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"2.0";"14.2";"";"";"";"";"";"";
"12.11.2017 17:30";"28.6";"";"";"";"37";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"12.11.2017 08:30";"20.0";"";"";"";"74";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.4";"";"";"";"";"";"";"2.0";"15.3";"";"";"";"";"";"";
"11.11.2017 17:30";"27.6";"";"";"";"41";"Wind blowing from the north";"1";"";"";"20–30%.";" ";"";"";"";"29.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.0";"";"";"";"";"";"";
"11.11.2017 08:30";"19.8";"";"";"";"76";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"10.11.2017 17:30";"28.6";"";"";"";"37";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"10.11.2017 11:30";"20.6";"";"";"";"71";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.0";"";"";"";"";"";"";"";"15.2";"";"";"";"";"";"";
"10.11.2017 08:30";"20.6";"";"";"";"71";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.0";"";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"09.11.2017 17:30";"29.4";"";"";"";"39";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"09.11.2017 08:30";"21.6";"";"";"";"72";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"16.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"16.3";"";"";"";"";"";"";
