# Weather station Mana, India, WMO_ID=42872,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42872&lang=en
#
"Local time in Mana";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"28.12.2017 08:30";"16.8";"735.4";"763.5";"2.4";"50";"Wind blowing from the east-northeast";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.9";"";"";"";"";"";"";"1.0";"6.2";"";"";"";"";"";"";
"28.12.2017 05:30";"14.8";"733.0";"761.2";"0.0";"50";"Wind blowing from the north-northeast";"3";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"4.5";"";"";"";"";"";"";
"28.12.2017 02:30";"14.8";"733.0";"761.2";"-0.7";"56";"Wind blowing from the west-northwest";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"6.1";"";"";"";"";"";"";
"27.12.2017 23:30";"16.4";"733.7";"761.8";"";"49";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"5.7";"";"";"";"";"";"";
"27.12.2017 17:30";"24.6";"733.1";"760.3";"";"22";"Wind blowing from the north-east";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"28.3";"";"";"";"";"";"4.0";"1.3";"";"";"";"";"";"";
"27.12.2017 08:30";"17.2";"735.8";"763.9";"1.4";"42";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.6";"";"";"";"";"";"";"4.0";"4.0";"";"";"";"";"";"";
"27.12.2017 05:30";"12.4";"734.4";"762.9";"0.5";"72";"Wind blowing from the north-east";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"7.5";"";"";"";"";"";"";
"27.12.2017 02:30";"15.0";"733.9";"762.1";"-0.5";"51";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"4.8";"";"";"";"";"";"";
"26.12.2017 23:30";"16.6";"734.4";"762.5";"";"46";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.9";"";"";"";"";"";"";
"26.12.2017 17:30";"24.6";"733.2";"760.4";"";"22";"Wind blowing from the north-northeast";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"27.9";"";"";"";"";"";"4.0";"1.3";"";"";"";"";"";"";
