# Weather station Rajnandgaon, India, WMO_ID=42948,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42948&lang=en
#
"Local time in Rajnandgaon";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"21.8";"";"758.5";"";"45";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"26.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"9.3";"";"";"";"";"";"";
"31.12.2017 08:30";"12.0";"733.4";"763.0";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.0";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"30.12.2017 17:30";"27.9";"732.6";"760.6";"";"25";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"6.2";"";"";"";"";"";"";
"30.12.2017 08:30";"14.0";"735.1";"764.5";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"29.12.2017 08:30";"13.2";"735.6";"765.1";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"28.12.2017 17:30";"25.7";"734.5";"762.7";"";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.8";"";"";"";"";"";"4.0";"5.2";"";"";"";"";"";"";
"28.12.2017 08:30";"13.2";"736.4";"766.0";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.8";"";"";"";"";"";"";"4.0";"5.4";"";"";"";"";"";"";
"27.12.2017 08:30";"14.0";"736.2";"765.7";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.8";"";"";"";"";"";"";"4.0";"5.4";"";"";"";"";"";"";
"26.12.2017 17:30";"26.8";"734.0";"762.1";"";"22";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"4.0";"3.6";"";"";"";"";"";"";
"26.12.2017 08:30";"12.2";"735.3";"764.9";"";"77";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
