# Weather station Santiniketan, India, WMO_ID=42708,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42708&lang=en
#
"Local time in Santiniketan";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"21.4";"753.4";"758.6";"-0.3";"70";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"27.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.7";"";"";"";"";"";"";
"31.12.2017 14:30";"26.8";"753.7";"758.8";"-3.1";"43";"Wind blowing from the north-northwest";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.2";"";"";"";"";"";"";
"31.12.2017 11:30";"24.8";"756.8";"761.9";"-1.0";"57";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"31.12.2017 08:30";"15.6";"757.8";"763.1";"";"85";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"11.4";"";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"30.12.2017 17:30";"21.6";"755.0";"760.2";"-0.2";"65";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"27.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"14.8";"";"";"";"";"";"";
"30.12.2017 14:30";"27.0";"755.2";"760.3";"-2.6";"43";"Wind blowing from the north";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2000-2500";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.5";"";"";"";"";"";"";
"30.12.2017 11:30";"24.6";"757.8";"762.9";"-1.1";"58";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"15.7";"";"";"";"";"";"";
"30.12.2017 08:30";"15.2";"758.9";"764.2";"";"79";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"10.1";"";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"29.12.2017 17:30";"21.2";"756.0";"761.2";"-0.2";"67";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"26.9";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"29.12.2017 14:30";"26.6";"756.2";"761.3";"-1.8";"39";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.6";"";"";"";"";"";"";
