# Weather station Pilani, India, WMO_ID=42174,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42174&lang=en
#
"Local time in Pilani";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.12.2017 17:30";"20.6";"736.4";"762.6";"";"60";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"24.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.5";"";"";"";"";"";"";
"26.12.2017 08:30";"18.4";"739.0";"765.5";"";"46";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"5.9";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"6.6";"";"";"";"";"";"";
"25.12.2017 17:30";"23.4";"736.5";"762.5";"";"41";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"24.2";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"25.12.2017 08:30";"10.4";"737.9";"765.1";"";"60";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"3.0";"";"";"";"";"";"";
"24.12.2017 17:30";"22.6";"734.3";"760.3";"";"33";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"27.1";"";"";"";"";"";"4.0";"5.5";"";"";"";"";"";"";
"24.12.2017 08:30";"10.8";"736.1";"763.2";"";"66";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"6.8";"";"";"";"";"";"";"4.0";"4.6";"";"";"";"";"";"";
"23.12.2017 17:30";"20.8";"734.6";"760.7";"";"51";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"23.12.2017 08:30";"9.6";"736.4";"763.7";"";"77";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"6.6";"";"";"";"";"";"";"4.0";"5.7";"";"";"";"";"";"";
"22.12.2017 17:30";"24.6";"738.9";"764.9";"";"31";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"25.7";"";"";"";"";"";"4.0";"6.5";"";"";"";"";"";"";
"22.12.2017 08:30";"10.6";"739.3";"766.6";"";"92";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"8.4";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"21.12.2017 17:30";"24.6";"739.1";"765.1";"";"44";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"21.12.2017 08:30";"11.2";"741.2";"768.5";"";"76";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"8.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.0";"";"";"";"";"";"";
"20.12.2017 17:30";"23.6";"739.3";"765.4";"";"50";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"25.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.4";"";"";"";"";"";"";
"20.12.2017 08:30";"10.4";"740.6";"767.9";"";"78";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"7.8";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.6";"";"";"";"";"";"";
"19.12.2017 17:30";"23.6";"739.3";"765.4";"";"50";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"25.2";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.4";"";"";"";"";"";"";
"19.12.2017 08:30";"8.8";"740.0";"767.5";"";"74";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"6.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"4.3";"";"";"";"";"";"";
"18.12.2017 17:30";"23.4";"738.7";"764.8";"";"34";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"26.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.8";"";"";"";"";"";"";
"18.12.2017 08:30";"9.8";"740.9";"768.3";"";"62";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"5.8";"";"";"";"";"";"";"4.0";"2.8";"";"";"";"";"";"";
"17.12.2017 17:30";"21.8";"739.2";"765.4";"";"39";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"24.7";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"17.12.2017 08:30";"8.8";"741.9";"769.5";"";"68";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"4.5";"";"";"";"";"";"";"4.0";"3.2";"";"";"";"";"";"";
"16.12.2017 17:30";"15.8";"739.2";"766.0";"";"56";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"19.7";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"16.12.2017 08:30";"4.0";"733.3";"761.0";"";"100";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"2.4";"";"";"";"";"";"";"less than 0.05";"4.0";"";"";"";"";"";"";
"15.12.2017 08:30";"7.4";"740.0";"767.6";"";"100";"Wind blowing from the north-east";"1";"";"";"no clouds";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"4.8";"";"";"";"";"";"";"less than 0.05";"7.4";"";"";"";"";"";"";
"14.12.2017 17:30";"16.2";"738.2";"764.9";"";"64";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"18.4";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"14.12.2017 08:30";"9.4";"739.5";"766.9";"";"95";"Wind blowing from the east-northeast";"1";"";"";"50%.";" ";"";"";"7.5";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"8.6";"";"";"";"";"";"";
"13.12.2017 17:30";"13.8";"736.2";"763.1";"";"91";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"15.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.3";"";"";"";"";"";"";
"13.12.2017 08:30";"8.8";"738.3";"765.7";"";"100";"Wind blowing from the west";"1";"";"";"no clouds";"Fog or ice fog, sky invisible, no appreciable change during the preceding hour. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"5.6";"";"";"";"";"";"";"less than 0.05";"8.8";"";"";"";"";"";"";
"12.12.2017 17:30";"15.8";"734.6";"761.2";"";"83";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"18.1";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"12.12.2017 08:30";"13.2";"736.4";"763.3";"";"96";"Wind blowing from the south-west";"1";"";"";"60%.";" ";"";"";"11.7";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.5";"";"";"";"";"";"";
"11.12.2017 17:30";"18.4";"732.5";"758.8";"";"70";"Wind blowing from the south-southwest";"1";"";"";"60%.";" ";"";"";"";"24.7";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.7";"";"";"";"";"";"";
"11.12.2017 08:30";"15.4";"734.0";"760.6";"";"63";"Wind blowing from the east-northeast";"1";"";"";"50%.";" ";"";"";"12.9";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.3";"";"";"";"";"";"";
"10.12.2017 17:30";"25.8";"734.3";"760.0";"";"46";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"10.12.2017 08:30";"12.6";"736.2";"763.2";"";"68";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"7.9";"";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"09.12.2017 17:30";"25.4";"734.3";"760.0";"";"44";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"28.1";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"09.12.2017 08:30";"12.2";"736.6";"763.6";"";"50";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"6.8";"";"";"";"";"";"";"4.0";"2.0";"";"";"";"";"";"";
"08.12.2017 17:30";"21.4";"734.7";"760.8";"";"46";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.1";"";"";"";"";"";"4.0";"9.3";"";"";"";"";"";"";
"08.12.2017 08:30";"10.8";"737.2";"764.4";"";"56";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"5.9";"";"";"";"";"";"";"4.0";"2.4";"";"";"";"";"";"";
"07.12.2017 17:30";"21.4";"735.6";"761.7";"";"37";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"24.2";"";"";"";"";"";"4.0";"5.9";"";"";"";"";"";"";
"07.12.2017 08:30";"12.4";"737.1";"764.1";"";"54";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"9.1";"";"";"";"";"";"";"4.0";"3.4";"";"";"";"";"";"";
"06.12.2017 20:30";"21.6";"734.7";"760.8";"";"43";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"22.7";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.3";"";"";"";"";"";"";
"06.12.2017 17:30";"21.6";"734.7";"760.8";"";"43";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"22.7";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.3";"";"";"";"";"";"";
"06.12.2017 08:30";"16.0";"736.7";"763.4";"";"66";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"10.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.7";"";"";"";"";"";"";
"05.12.2017 08:30";"15.8";"736.4";"763.1";"";"67";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"12.8";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.7";"";"";"";"";"";"";
"04.12.2017 17:30";"21.8";"733.9";"759.9";"";"44";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"23.5";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.1";"";"";"";"";"";"";
"04.12.2017 08:30";"11.6";"736.4";"763.5";"";"85";"Wind blowing from the south";"1";"";"";"50%.";" ";"";"";"9.1";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.2";"";"";"";"";"";"";
"03.12.2017 17:30";"21.8";"735.3";"761.4";"";"43";"Wind blowing from the north";"1";"";"";"50%.";" ";"";"";"";"26.0";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.6";"";"";"";"";"";"";
"03.12.2017 08:30";"13.6";"737.0";"763.9";"";"69";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"10.8";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.0";"";"";"";"";"";"";
"02.12.2017 17:30";"25.6";"734.5";"760.2";"";"38";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"02.12.2017 08:30";"13.8";"737.7";"764.6";"";"61";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"4.0";"6.3";"";"";"";"";"";"";
"01.12.2017 17:30";"23.8";"734.6";"760.5";"";"42";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.1";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"01.12.2017 08:30";"11.8";"737.0";"764.1";"";"76";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"30.11.2017 17:30";"24.6";"734.6";"760.4";"";"35";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"27.9";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"30.11.2017 08:30";"15.4";"736.9";"763.6";"";"65";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"9.9";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"29.11.2017 17:30";"26.4";"733.8";"759.4";"";"31";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"29.11.2017 08:30";"14.6";"736.3";"763.1";"";"64";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"10.3";"";"";"";"";"";"";"4.0";"7.8";"";"";"";"";"";"";
"28.11.2017 17:30";"27.2";"733.0";"758.5";"";"35";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"28.11.2017 08:30";"15.2";"734.9";"761.6";"";"49";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"10.3";"";"";"";"";"";"";"4.0";"4.5";"";"";"";"";"";"";
"27.11.2017 17:30";"24.8";"733.7";"759.5";"";"38";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"27.11.2017 08:30";"13.2";"736.3";"763.2";"";"56";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"4.0";"4.5";"";"";"";"";"";"";
"26.11.2017 17:30";"28.2";"735.7";"761.2";"";"26";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"26.11.2017 08:30";"11.8";"738.0";"765.1";"";"67";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"8.5";"";"";"";"";"";"";"4.0";"5.8";"";"";"";"";"";"";
"25.11.2017 17:30";"27.6";"735.3";"760.9";"";"33";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"25.11.2017 08:30";"13.2";"737.0";"763.9";"";"56";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"8.1";"";"";"";"";"";"";"4.0";"4.5";"";"";"";"";"";"";
"24.11.2017 17:30";"26.6";"734.7";"760.3";"";"41";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"24.11.2017 08:30";"11.8";"736.6";"763.7";"";"58";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"7.7";"";"";"";"";"";"";"4.0";"3.8";"";"";"";"";"";"";
"23.11.2017 17:30";"23.2";"734.2";"760.1";"";"39";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"28.1";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"23.11.2017 08:30";"11.2";"736.1";"763.2";"";"64";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"7.5";"";"";"";"";"";"";"4.0";"4.6";"";"";"";"";"";"";
"22.11.2017 17:30";"23.2";"734.4";"760.3";"";"33";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"4.0";"5.9";"";"";"";"";"";"";
"22.11.2017 08:30";"11.6";"736.2";"763.3";"";"65";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"7.8";"";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"21.11.2017 17:30";"22.8";"734.6";"760.6";"";"37";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"21.11.2017 08:30";"12.2";"737.0";"764.0";"";"63";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"8.3";"";"";"";"";"";"";"4.0";"5.3";"";"";"";"";"";"";
"20.11.2017 17:30";"22.6";"736.3";"762.4";"";"41";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"25.1";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"20.11.2017 08:30";"12.2";"738.6";"765.7";"";"74";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"7.8";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"19.11.2017 17:30";"21.2";"736.0";"762.2";"";"57";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"23.5";"";"";"";"";"";"4.0";"12.4";"";"";"";"";"";"";
"19.11.2017 08:30";"13.4";"738.0";"765.0";"";"77";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"10.1";"";"";"";"";"";"";"2.0";"9.5";"";"";"";"";"";"";
"18.11.2017 17:30";"24.1";"735.9";"761.8";"";"61";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"";"24.1";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.1";"";"";"";"";"";"";
"18.11.2017 08:30";"14.2";"736.9";"763.7";"";"96";"Wind blowing from the east";"1";"";"";"60%.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.5";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"13.5";"";"";"";"";"";"";
"17.11.2017 17:30";"20.6";"734.6";"760.8";"";"78";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"22.3";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.7";"";"";"";"";"";"";
"17.11.2017 08:30";"16.2";"736.6";"763.2";"";"94";"Wind blowing from the south-east";"1";"";"";"60%.";" ";"";"";"14.3";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"60%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.2";"";"";"";"";"";"";
"16.11.2017 17:30";"21.4";"734.0";"760.1";"";"64";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"24.9";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.2";"";"";"";"";"";"";
"16.11.2017 08:30";"17.2";"736.1";"762.6";"";"90";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"16.0";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.5";"";"";"";"";"";"";
"15.11.2017 17:30";"24.4";"732.3";"758.0";"";"58";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"25.1";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"15.11.2017 08:30";"16.8";"734.7";"761.2";"";"79";"Wind blowing from the north-northeast";"1";"";"";"10%  or less, but not 0";" ";"";"";"15.7";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.2";"";"";"";"";"";"";
"14.11.2017 17:30";"26.2";"731.0";"756.5";"";"46";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"29.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.7";"";"";"";"";"";"";
"14.11.2017 08:30";"17.8";"733.3";"759.7";"";"58";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"14.1";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"13.11.2017 17:30";"27.2";"730.3";"755.7";"";"51";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
