# Weather station Pilani, India, WMO_ID=42174,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42174&lang=en
#
"Local time in Pilani";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"20.6";"734.4";"760.6";"";"56";"Wind blowing from the west";"1";"";"";"20–30%.";" ";"";"";"";"22.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.6";"";"";"";"";"";"";
"31.12.2017 08:30";"8.6";"736.9";"764.3";"";"73";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"3.5";"";"";"";"";"";"";"4.0";"4.0";"";"";"";"";"";"";
"30.12.2017 17:30";"21.6";"735.9";"762.0";"";"50";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"22.7";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"30.12.2017 08:30";"9.6";"736.8";"764.1";"";"69";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"4.2";"";"";"";"";"";"";"4.0";"4.2";"";"";"";"";"";"";
"29.12.2017 17:30";"21.6";"736.3";"762.4";"";"47";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"23.6";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"29.12.2017 08:30";"9.6";"737.6";"764.9";"";"82";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"6.8";"";"";"";"";"";"";"4.0";"6.6";"";"";"";"";"";"";
"28.12.2017 17:30";"23.6";"736.0";"761.9";"";"45";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"28.12.2017 08:30";"10.8";"737.2";"764.4";"";"78";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"7.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.0";"";"";"";"";"";"";
"27.12.2017 17:30";"25.6";"735.7";"761.5";"";"33";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"";"26.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.1";"";"";"";"";"";"";
"27.12.2017 08:30";"8.2";"737.4";"764.8";"";"86";"Wind blowing from the south";"1";"";"";"20–30%.";" ";"";"";"6.1";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.0";"";"";"";"";"";"";
