# Weather station Sikar, India, WMO_ID=42249,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42249&lang=en
#
"Local time in Sikar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"19.12.2017 17:30";"21.2";"726.5";"763.6";"";"50";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"24.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"10.2";"";"";"";"";"";"";
"19.12.2017 08:30";"12.6";"727.5";"765.8";"";"49";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"9.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"2.0";"";"";"";"";"";"";
"18.12.2017 17:30";"21.8";"726.0";"763.0";"";"24";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"24.2";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"0.1";"";"";"";"";"";"";
"18.12.2017 08:30";"9.6";"728.2";"766.9";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.5";"";"";"";"";"";"";"4.0";"0.8";"";"";"";"";"";"";
"17.12.2017 17:30";"20.0";"725.9";"763.1";"";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.0";"";"";"";"";"";"4.0";"0.3";"";"";"";"";"";"";
"17.12.2017 08:30";"7.0";"729.5";"768.7";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.5";"";"";"";"";"";"";"4.0";"2.1";"";"";"";"";"";"";
"16.12.2017 17:30";"16.4";"726.9";"764.6";"";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"19.5";"";"";"";"";"";"4.0";"2.2";"";"";"";"";"";"";
"16.12.2017 08:30";"6.8";"727.7";"766.8";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.5";"";"";"";"";"";"";"2.0";"5.0";"";"";"";"";"";"";
"15.12.2017 08:30";"8.8";"726.9";"765.7";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.5";"";"";"";"";"";"";"2.0";"4.2";"";"";"";"";"";"";
"14.12.2017 17:30";"18.0";"724.6";"762.0";"";"33";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"22.0";"";"";"";"";"";"4.0";"1.3";"";"";"";"";"";"";
"14.12.2017 08:30";"9.2";"725.6";"764.3";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.5";"";"";"";"";"";"";"2.0";"4.2";"";"";"";"";"";"";
"13.12.2017 17:30";"17.8";"723.8";"761.2";"";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"22.0";"";"";"";"";"";"4.0";"3.8";"";"";"";"";"";"";
"13.12.2017 08:30";"8.6";"724.3";"763.0";"";"92";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"6.5";"";"";"";"";"";"";"1.0";"7.3";"";"";"";"";"";"";
"12.12.2017 17:30";"16.4";"722.5";"760.0";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"19.0";"";"";"";"";"";"2.0";"9.6";"";"";"";"";"";"";
"12.12.2017 08:30";"11.2";"723.2";"761.5";"";"88";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"10.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"9.2";"";"";"";"";"";"";
"11.12.2017 17:30";"15.0";"720.6";"758.2";"";"85";"Wind blowing from the east";"1";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"12.5";"";"";"";"";"";"";
"11.12.2017 08:30";"16.8";"722.9";"760.4";"";"50";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"14.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"6.2";"";"";"";"";"";"";
"10.12.2017 08:30";"16.4";"724.4";"762.0";"";"44";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"9.5";"";"";"";"";"";"";"4.0";"4.0";"";"";"";"";"";"";
"09.12.2017 17:30";"24.0";"722.0";"758.5";"";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"3.6";"";"";"";"";"";"";
"09.12.2017 08:30";"11.0";"725.5";"763.9";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.5";"";"";"";"";"";"";"2.0";"0.1";"";"";"";"";"";"";
"08.12.2017 17:30";"22.0";"722.5";"759.3";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.5";"";"";"";"";"";"4.0";"5.7";"";"";"";"";"";"";
"08.12.2017 08:30";"10.0";"725.3";"763.8";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"4.5";"";"";"";"";"";"";"2.0";"0.5";"";"";"";"";"";"";
"07.12.2017 17:30";"21.0";"722.7";"759.6";"";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.5";"";"";"";"";"";"4.0";"0.8";"";"";"";"";"";"";
"07.12.2017 08:30";"14.6";"724.0";"761.8";"";"41";"Wind blowing from the north";"1";"";"";"70 – 80%.";" ";"";"";"11.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"1.3";"";"";"";"";"";"";
"06.12.2017 08:30";"12.0";"723.6";"761.8";"";"58";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"11.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"3.8";"";"";"";"";"";"";
"05.12.2017 08:30";"16.2";"723.4";"761.0";"";"52";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"12.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"6.2";"";"";"";"";"";"";
"04.12.2017 08:30";"11.4";"724.2";"762.5";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.5";"";"";"";"";"";"";"2.0";"6.3";"";"";"";"";"";"";
"03.12.2017 17:30";"23.0";"723.1";"759.8";"";"27";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"26.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"3.1";"";"";"";"";"";"";
"03.12.2017 08:30";"15.4";"724.8";"762.6";"";"44";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"10.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"3.1";"";"";"";"";"";"";
"02.12.2017 17:30";"23.2";"723.4";"760.1";"";"28";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"3.5";"";"";"";"";"";"";
"02.12.2017 08:30";"15.4";"725.5";"763.3";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"4.0";"3.1";"";"";"";"";"";"";
"01.12.2017 17:30";"23.0";"722.2";"758.8";"";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"4.0";"3.1";"";"";"";"";"";"";
"01.12.2017 08:30";"11.2";"724.2";"762.5";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"4.0";"4.1";"";"";"";"";"";"";
"30.11.2017 17:30";"23.6";"722.2";"758.8";"";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"3.5";"";"";"";"";"";"";
"30.11.2017 08:30";"12.4";"724.3";"762.4";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.5";"";"";"";"";"";"";"2.0";"3.5";"";"";"";"";"";"";
"29.11.2017 08:30";"13.2";"724.2";"762.2";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.0";"";"";"";"";"";"";"4.0";"1.6";"";"";"";"";"";"";
"28.11.2017 17:30";"24.0";"721.5";"758.0";"";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"6.7";"";"";"";"";"";"";
"28.11.2017 08:30";"13.4";"723.9";"761.9";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"6.0";"";"";"";"";"";"";"4.0";"1.3";"";"";"";"";"";"";
"27.11.2017 17:30";"22.0";"723.0";"759.8";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"4.1";"";"";"";"";"";"";
"27.11.2017 08:30";"12.6";"724.7";"762.8";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.0";"";"";"";"";"";"";"4.0";"3.2";"";"";"";"";"";"";
"26.11.2017 08:30";"11.6";"726.0";"764.3";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"5.5";"";"";"";"";"";"";"4.0";"0.5";"";"";"";"";"";"";
"25.11.2017 17:30";"21.0";"723.3";"760.3";"";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"2.5";"";"";"";"";"";"";
