# Weather station Sikar, India, WMO_ID=42249,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42249&lang=en
#
"Local time in Sikar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"15.07.2017 17:30";"34.8";"711.4";"746.1";"";"50";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"36.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"23.0";"";"";"";"";"";"";
"14.07.2017 17:30";"32.8";"712.5";"747.5";"";"62";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"35.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"14.07.2017 08:30";"29.2";"714.3";"749.8";"";"76";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"26.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.6";"";"";"";"";"";"";
"13.07.2017 17:30";"13.3";"710.1";"747.4";"";"";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"34.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"";"";"";"";"";"";"";
"13.07.2017 08:30";"27.0";"715.7";"751.5";"";"84";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.1";"";"";"";"";"";"";
"12.07.2017 08:30";"26.8";"715.7";"751.5";"";"78";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"26.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.7";"";"";"";"";"";"";
"11.07.2017 17:30";"34.6";"712.6";"747.4";"";"41";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"35.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.5";"";"";"";"";"";"";
"11.07.2017 08:30";"28.2";"715.6";"751.3";"";"62";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"28.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.3";"";"";"";"";"";"";
"09.07.2017 17:30";"36.0";"713.3";"747.9";"";"39";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"37.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.9";"";"";"";"";"";"";
"09.07.2017 08:30";"30.0";"716.7";"752.2";"";"59";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"21.1";"";"";"";"";"";"";
"08.07.2017 08:30";"29.8";"716.3";"751.8";"";"60";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"21.1";"";"";"";"";"";"";
"07.07.2017 17:30";"35.0";"713.5";"748.3";"";"46";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"36.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.9";"";"";"";"";"";"";
"07.07.2017 08:30";"29.0";"715.5";"751.1";"";"64";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"21.6";"";"";"";"";"";"";
"06.07.2017 17:30";"33.8";"712.5";"747.3";"";"45";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"06.07.2017 08:30";"28.2";"714.2";"749.8";"";"66";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"4.0";"21.3";"";"";"";"";"";"";
"05.07.2017 17:30";"33.0";"712.6";"747.5";"";"50";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"34.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"21.2";"";"";"";"";"";"";
"05.07.2017 08:30";"31.0";"714.5";"749.8";"";"61";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"27.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.5";"";"";"";"";"";"";
"04.07.2017 17:30";"33.0";"711.0";"745.9";"";"55";"Wind blowing from the south";"1";"";"";"40%.";" ";"";"";"";"34.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.9";"";"";"";"";"";"";
"04.07.2017 08:30";"27.2";"714.0";"749.7";"";"88";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.1";"";"";"";"";"";"";
"03.07.2017 17:30";"33.0";"711.0";"745.9";"";"61";"Wind blowing from the west-northwest";"1";"";"";"70 – 80%.";" ";"";"";"";"35.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.5";"";"";"";"";"";"";
"03.07.2017 08:30";"28.0";"713.3";"748.9";"";"78";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"26.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.9";"";"";"";"";"";"";
"02.07.2017 17:30";"27.6";"711.1";"746.6";"";"87";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.3";"";"";"";"";"";"";
"02.07.2017 08:30";"27.4";"711.8";"747.4";"";"87";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"27.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"25.0";"";"";"";"";"";"";
"01.07.2017 08:30";"27.4";"711.5";"747.1";"";"84";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"27.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.4";"";"";"";"";"";"";
"30.06.2017 17:30";"32.8";"711.1";"746.0";"";"50";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"34.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.9";"";"";"";"";"";"";
"30.06.2017 08:30";"27.2";"712.6";"748.2";"";"86";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.6";"";"";"";"";"";"";
"29.06.2017 17:30";"30.0";"711.8";"747.1";"";"73";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"33.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.6";"";"";"";"";"";"";
"29.06.2017 08:30";"27.0";"714.3";"750.0";"";"80";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"26.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"28.06.2017 17:30";"27.6";"712.4";"748.0";"";"88";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"25.4";"";"";"";"";"";"";
"28.06.2017 08:30";"27.4";"714.0";"749.7";"";"75";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"24.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"27.06.2017 17:30";"28.8";"711.4";"746.8";"";"69";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"40.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"";"4.0";"22.6";"";"";"";"";"";"";
"27.06.2017 08:30";"32.8";"713.8";"748.8";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"29.0";"";"";"";"";"";"";"4.0";"23.3";"";"";"";"";"";"";
"26.06.2017 17:30";"38.4";"711.3";"745.6";"";"38";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"41.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.9";"";"";"";"";"";"";
"26.06.2017 08:30";"34.4";"713.8";"748.6";"";"50";"Wind blowing from the north-west";"1";"";"";"50%.";" ";"";"";"31.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.5";"";"";"";"";"";"";
"25.06.2017 08:30";"31.6";"713.3";"748.4";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"29.0";"";"";"";"";"";"";"4.0";"23.5";"";"";"";"";"";"";
"24.06.2017 17:30";"37.2";"710.4";"744.8";"";"34";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"39.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.7";"";"";"";"";"";"";
"24.06.2017 08:30";"30.0";"714.3";"749.7";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"4.0";"22.7";"";"";"";"";"";"";
"23.06.2017 17:30";"29.0";"713.1";"748.5";"";"72";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.5";"";"";"";"";"";"";
"23.06.2017 08:30";"30.2";"715.2";"750.6";"";"57";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"26.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.8";"";"";"";"";"";"";
"22.06.2017 17:30";"34.0";"714.0";"748.9";"";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.5";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"21.06.2017 17:30";"33.6";"712.9";"747.8";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"21.06.2017 08:30";"25.0";"713.8";"749.8";"";"76";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"20.06.2017 17:30";"36.2";"711.1";"745.6";"";"37";"Wind blowing from the south-west";"1";"";"";"50%.";" ";"";"";"";"37.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.4";"";"";"";"";"";"";
"20.06.2017 08:30";"31.2";"714.3";"749.5";"";"54";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"31.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.7";"";"";"";"";"";"";
"19.06.2017 17:30";"38.0";"710.2";"744.4";"";"38";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"4.0";"21.3";"";"";"";"";"";"";
"18.06.2017 17:30";"35.4";"712.4";"747.0";"";"45";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"37.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.9";"";"";"";"";"";"";
"18.06.2017 08:30";"30.4";"714.4";"749.7";"";"64";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"4.0";"22.8";"";"";"";"";"";"";
"17.06.2017 17:30";"37.2";"712.4";"746.8";"";"39";"Wind blowing from the south-west";"1";"";"";"70 – 80%.";" ";"";"";"";"39.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.1";"";"";"";"";"";"";
"17.06.2017 08:30";"31.2";"714.8";"750.1";"";"56";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"29.5";"";"";"";"";"";"";"4.0";"21.3";"";"";"";"";"";"";
"16.06.2017 17:30";"39.2";"712.1";"746.3";"";"28";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"40.0";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
"16.06.2017 08:30";"30.0";"715.4";"750.8";"";"53";"Wind blowing from the east-southeast";"2";"";"";"no clouds";" ";"";"";"26.5";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"15.06.2017 08:30";"32.2";"716.8";"752.0";"";"51";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"26.5";"";"";"";"";"";"";"4.0";"20.9";"";"";"";"";"";"";
"14.06.2017 17:30";"39.6";"712.6";"746.8";"";"35";"Wind blowing from the west";"1";"";"";"50%.";" ";"";"";"";"40.6";"Cumulus and Stratocumulus other than Stratocumulus cumulogenitus, with bases at different levels.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.3";"";"";"";"";"";"";
"14.06.2017 08:30";"32.6";"716.1";"751.3";"";"51";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"31.5";"";"";"";"";"";"";"4.0";"21.3";"";"";"";"";"";"";
"13.06.2017 17:30";"38.0";"712.4";"746.8";"";"37";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"13.06.2017 08:30";"29.0";"715.7";"751.3";"";"59";"Wind blowing from the east";"2";"";"";"70 – 80%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.3";"";"";"";"";"";"";
"12.06.2017 08:30";"32.2";"715.5";"750.7";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"4.0";"18.7";"";"";"";"";"";"";
"11.06.2017 17:30";"37.0";"712.7";"747.2";"";"34";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"38.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.7";"";"";"";"";"";"";
"11.06.2017 08:30";"28.0";"715.9";"751.6";"";"57";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"25.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.7";"";"";"";"";"";"";
"10.06.2017 17:30";"39.0";"713.5";"747.8";"";"29";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"39.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.1";"";"";"";"";"";"";
"10.06.2017 08:30";"31.6";"715.1";"750.3";"";"59";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"28.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"22.6";"";"";"";"";"";"";
"09.06.2017 17:30";"37.0";"713.9";"748.4";"";"34";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"";"37.5";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.9";"";"";"";"";"";"";
"09.06.2017 08:30";"27.0";"716.4";"752.2";"";"70";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"26.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"1000-1500";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.0";"Trace of precipitation";"9";"";"";"";"";
"07.06.2017 17:30";"38.0";"713.2";"747.6";"";"31";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"39.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"18.0";"";"";"";"";"";"";
"06.06.2017 08:30";"32.0";"";"749.9";"";"58";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"31.0";"";"";"";"";"";"";"4.0";"22.7";"";"";"";"";"";"";
"05.06.2017 17:30";"40.0";"";"745.9";"";"46";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"41.5";"";"";"";"";"";"4.0";"26.4";"";"";"";"";"";"";
"05.06.2017 08:30";"34.0";"";"749.8";"";"51";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"4.0";"22.4";"";"";"";"";"";"";
"04.06.2017 17:30";"41.6";"";"746.3";"";"";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"42.5";"";"";"";"";"";"4.0";"";"";"";"";"";"";"";
"04.06.2017 08:30";"34.0";"";"750.1";"";"62";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"33.0";"";"";"";"";"";"";"4.0";"25.6";"";"";"";"";"";"";
"03.06.2017 08:30";"34.0";"";"750.5";"";"65";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"29.0";"";"";"";"";"";"";"4.0";"26.4";"";"";"";"";"";"";
"02.06.2017 17:30";"37.0";"";"747.1";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"39.5";"";"";"";"";"";"4.0";"26.4";"";"";"";"";"";"";
"02.06.2017 08:30";"29.8";"";"751.2";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"4.0";"26.4";"";"";"";"";"";"";
"01.06.2017 17:30";"32.0";"";"748.3";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"4.0";"24.2";"";"";"";"";"";"";
"01.06.2017 08:30";"25.6";"";"750.8";"";"93";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"24.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"24.3";"";"";"";"";"";"";
"31.05.2017 17:30";"30.2";"";"747.1";"";"80";"Wind blowing from the east-southeast";"1";"";"";"40%.";" ";"";"";"";"34.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"26.3";"";"";"";"";"";"";
"31.05.2017 08:30";"31.4";"";"747.8";"";"66";"Wind blowing from the east-southeast";"1";"";"";"40%.";" ";"";"";"30.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"24.3";"";"";"";"";"";"";
"30.05.2017 08:30";"31.0";"715.5";"750.8";"";"51";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"29.0";"";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"29.05.2017 08:30";"26.0";"714.2";"750.1";"";"84";"Wind blowing from the east-southeast";"1";"";"";"50%.";" ";"";"";"23.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"28.05.2017 17:30";"42.4";"711.0";"744.8";"";"37";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"44.5";"";"";"";"";"";"4.0";"24.9";"";"";"";"";"";"";
"28.05.2017 08:30";"33.0";"714.3";"749.3";"";"48";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"29.0";"";"";"";"";"";"";"4.0";"20.7";"";"";"";"";"";"";
"27.05.2017 08:30";"34.0";"714.4";"749.3";"";"45";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"29.0";"";"";"";"";"";"";"4.0";"20.6";"";"";"";"";"";"";
"24.05.2017 08:30";"32.0";"";"";"";"51";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"23.05.2017 17:30";"38.0";"";"";"";"43";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"39.0";"";"";"";"";"";"4.0";"23.4";"";"";"";"";"";"";
"23.05.2017 08:30";"30.0";"718.8";"754.4";"";"52";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"20.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"19.2";"";"";"";"";"";"";
"22.05.2017 17:30";"32.0";"716.0";"751.2";"";"60";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"39.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.2";"";"";"";"";"";"";
"22.05.2017 08:30";"25.0";"717.8";"754.0";"";"85";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"Patches (often lenticular) of Altocumulus translucidus, continually changing and occurring at one or more levels.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"21.05.2017 08:30";"31.2";"717.5";"752.9";"";"53";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"20.05.2017 17:30";"39.0";"715.3";"749.7";"";"43";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"43.0";"";"";"";"";"";"4.0";"24.4";"";"";"";"";"";"";
"20.05.2017 08:30";"30.0";"717.7";"753.2";"";"54";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"28.0";"";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"19.05.2017 17:30";"35.0";"714.5";"749.3";"";"54";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"";"40.0";"";"";"";"";"";"4.0";"24.4";"";"";"";"";"";"";
"19.05.2017 08:30";"30.0";"717.9";"753.5";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
