# Weather station Udaipur-Dabok, India, WMO_ID=42542,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42542&lang=en
#
"Local time in Udaipur-Dabok";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"30.12.2017 02:30";"11.6";"718.1";"763.3";"-0.5";"73";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"29.12.2017 23:30";"13.6";"718.6";"763.3";"";"57";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"29.12.2017 17:30";"23.4";"716.9";"760.0";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.6";"";"";"";"";"";"4.0";"7.3";"";"";"";"";"";"";
"29.12.2017 11:30";"21.8";"719.5";"763.5";"0.8";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"29.12.2017 08:30";"10.2";"718.7";"764.0";"1.5";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.2";"";"";"";"";"";"";"4.0";"6.6";"";"";"";"";"";"";
"29.12.2017 05:30";"8.6";"717.2";"762.9";"-0.5";"84";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"6.1";"";"";"";"";"";"";
"29.12.2017 02:30";"11.2";"717.7";"762.7";"-0.4";"86";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.9";"";"";"";"";"";"";
"28.12.2017 23:30";"12.0";"718.1";"763.0";"";"84";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"9.4";"";"";"";"";"";"";
"28.12.2017 17:30";"23.8";"716.6";"759.7";"";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.6";"";"";"";"";"";"4.0";"5.3";"";"";"";"";"";"";
"28.12.2017 11:30";"22.0";"719.3";"762.9";"0.4";"41";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.2";"";"";"";"";"";"";
"28.12.2017 08:30";"10.8";"718.9";"764.2";"1.9";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"7.6";"";"";"";"";"";"";"4.0";"5.5";"";"";"";"";"";"";
"28.12.2017 05:30";"8.2";"717.0";"762.4";"-0.7";"87";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"6.1";"";"";"";"";"";"";
"28.12.2017 02:30";"11.6";"717.7";"762.7";"-0.6";"81";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.5";"";"";"";"";"";"";
"27.12.2017 23:30";"12.4";"718.3";"763.1";"";"78";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"8.6";"";"";"";"";"";"";
"27.12.2017 17:30";"23.4";"717.1";"760.2";"";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.0";"";"";"";"";"";"4.0";"3.4";"";"";"";"";"";"";
"27.12.2017 11:30";"21.8";"719.8";"763.4";"0.6";"33";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"4.8";"";"";"";"";"";"";
"27.12.2017 08:30";"10.2";"719.2";"764.5";"1.4";"65";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.6";"";"";"";"";"";"";"4.0";"3.8";"";"";"";"";"";"";
"27.12.2017 05:30";"8.0";"717.8";"763.6";"-0.9";"82";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"5.0";"";"";"";"";"";"";
"27.12.2017 02:30";"11.4";"718.7";"763.9";"-0.8";"73";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"6.6";"";"";"";"";"";"";
"26.12.2017 23:30";"12.6";"719.5";"764.5";"";"78";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"8.8";"";"";"";"";"";"";
"26.12.2017 17:30";"23.2";"718.0";"761.2";"";"27";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"26.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"3.0";"";"";"";"";"";"";
"26.12.2017 11:30";"23.6";"720.6";"765.6";"0.7";"22";"variable wind direction";"1";"";"";"60%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"0.4";"";"";"";"";"";"";
"26.12.2017 08:30";"10.0";"719.9";"765.4";"0.8";"64";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.8";"";"";"";"";"";"";"4.0";"3.5";"";"";"";"";"";"";
"26.12.2017 05:30";"8.0";"719.1";"764.9";"0.2";"82";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"5.0";"";"";"";"";"";"";
"26.12.2017 02:30";"10.4";"718.9";"764.2";"-0.6";"74";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"5.9";"";"";"";"";"";"";
"25.12.2017 23:30";"12.0";"719.5";"764.7";"";"71";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"6.9";"";"";"";"";"";"";
"25.12.2017 17:30";"23.4";"718.2";"761.4";"";"24";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.8";"";"";"";"";"";"4.0";"1.4";"";"";"";"";"";"";
"25.12.2017 11:30";"23.6";"720.1";"763.4";"0.5";"25";"Wind blowing from the east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"2.5";"";"";"";"";"";"";
"25.12.2017 08:30";"13.0";"719.6";"764.4";"1.7";"58";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.8";"";"";"";"";"";"";"4.0";"4.8";"";"";"";"";"";"";
"25.12.2017 05:30";"8.8";"717.9";"763.4";"0.4";"77";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"5.0";"";"";"";"";"";"";
"25.12.2017 02:30";"12.4";"717.5";"762.4";"-0.5";"74";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"24.12.2017 23:30";"13.0";"718.0";"762.4";"";"74";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"24.12.2017 17:30";"23.2";"715.6";"758.7";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"26.2";"";"";"";"";"";"4.0";"6.5";"";"";"";"";"";"";
"24.12.2017 11:30";"21.4";"718.4";"762.0";"2.1";"39";"variable wind direction";"2";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"4.0";"6.9";"";"";"";"";"";"";
"24.12.2017 08:30";"8.6";"716.3";"761.8";"0.0";"87";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"6.6";"";"";"";"";"";"";
"24.12.2017 05:30";"8.6";"716.3";"761.8";"";"87";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"6.6";"";"";"";"";"";"";
"24.12.2017 02:30";"12.6";"718.4";"763.4";"-0.5";"78";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.8";"";"";"";"";"";"";
"23.12.2017 23:30";"13.4";"718.9";"763.6";"";"72";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.5";"";"";"";"";"";"";
"23.12.2017 17:30";"23.2";"716.5";"759.6";"";"33";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.4";"";"";"";"";"";"4.0";"5.9";"";"";"";"";"";"";
"23.12.2017 11:30";"20.0";"719.2";"763.0";"1.2";"45";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.8";"";"";"";"";"";"";
"23.12.2017 08:30";"11.4";"718.0";"763.2";"0.0";"77";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.5";"";"";"";"";"";"";
"23.12.2017 05:30";"11.0";"718.0";"763.3";"";"86";"Calm, no wind";"0";"";"";"60%.";"Mist. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"8.7";"";"";"";"";"";"";
"23.12.2017 02:30";"14.0";"719.0";"763.6";"-0.9";"75";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.6";"";"";"";"";"";"";
"22.12.2017 23:30";"14.6";"719.9";"764.5";"";"75";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.2";"";"";"";"";"";"";
"22.12.2017 17:30";"23.0";"719.2";"762.7";"";"40";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"25.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.7";"";"";"";"";"";"";
"22.12.2017 11:30";"21.2";"721.4";"765.1";"0.1";"35";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.0";"";"";"";"";"";"";
"22.12.2017 08:30";"11.0";"721.3";"766.8";"1.2";"70";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"8.8";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.7";"";"";"";"";"";"";
"22.12.2017 05:30";"10.0";"720.1";"765.6";"-0.4";"69";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"4.5";"";"";"";"";"";"";
"22.12.2017 02:30";"12.6";"720.5";"765.6";"-0.6";"61";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.3";"";"";"";"";"";"";
"21.12.2017 23:30";"14.2";"721.1";"765.9";"";"56";"Calm, no wind";"0";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.4";"";"";"";"";"";"";
"21.12.2017 17:30";"25.0";"720.2";"763.3";"";"28";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"27.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.0";"";"";"";"";"";"";
"21.12.2017 11:30";"24.0";"722.8";"766.1";"0.4";"29";"Wind blowing from the north-east";"2";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"5.0";"";"";"";"";"";"";
"21.12.2017 08:30";"12.4";"722.4";"767.5";"1.7";"69";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"8.8";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"6.9";"";"";"";"";"";"";
"21.12.2017 05:30";"12.2";"720.7";"751.6";"-0.4";"63";"Wind blowing from the north-west";"1";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"5.3";"";"";"";"";"";"";
"21.12.2017 02:30";"14.4";"721.1";"765.8";"-0.7";"75";"Calm, no wind";"0";"";"";"50%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.0";"";"";"";"";"";"";
"20.12.2017 23:30";"16.0";"721.8";"766.5";"";"71";"Calm, no wind";"0";"";"";"50%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.6";"";"";"";"";"";"";
"20.12.2017 17:30";"21.2";"720.5";"764.2";"";"47";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"24.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.4";"";"";"";"";"";"";
"20.12.2017 11:30";"20.8";"723.0";"766.9";"1.1";"33";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";"Haze. ";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"3.8";"";"";"";"";"";"";
"20.12.2017 08:30";"16.0";"721.9";"766.6";"1.5";"42";"Calm, no wind";"0";"";"";"100%.";"Haze. ";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"12.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"3.1";"";"";"";"";"";"";
"20.12.2017 05:30";"15.8";"720.4";"765.1";"-0.6";"37";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"1.0";"";"";"";"";"";"";
"20.12.2017 02:30";"12.4";"721.0";"766.2";"-0.9";"76";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.2";"";"";"";"";"";"";
"19.12.2017 23:30";"13.6";"721.9";"766.9";"";"71";"Calm, no wind";"0";"";"";"60%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"8.3";"";"";"";"";"";"";
"19.12.2017 17:30";"22.4";"719.8";"763.2";"";"39";"Calm, no wind";"0";"";"";"90  or more, but not 100%";" ";"";"";"";"25.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.8";"";"";"";"";"";"";
"19.12.2017 11:30";"20.4";"721.9";"765.8";"-0.2";"29";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"1.8";"";"";"";"";"";"";
