# Weather station Ajmer, India, WMO_ID=42343,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42343&lang=en
#
"Local time in Ajmer";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 23:30";"13.6";"717.8";"760.9";"0.3";"61";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"6.1";"";"";"";"";"";"";
"31.12.2017 20:30";"15.2";"717.5";"760.4";"1.1";"53";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"5.6";"";"";"";"";"";"";
"31.12.2017 17:30";"24.0";"716.4";"757.9";"-3.1";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.4";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"31.12.2017 14:30";"24.2";"719.5";"761.2";"-1.1";"22";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"1.2";"";"";"";"";"";"";
"31.12.2017 11:30";"22.0";"720.6";"762.7";"1.1";"24";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"0.3";"";"";"";"";"";"";
"31.12.2017 08:30";"11.4";"719.5";"763.1";"0.7";"66";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"9.8";"";"";"";"";"";"";"1.0";"5.3";"";"";"";"";"";"";
"31.12.2017 05:30";"11.4";"718.8";"762.4";"";"66";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"5.3";"";"";"";"";"";"";
"30.12.2017 23:30";"13.8";"719.8";"763.0";"";"59";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"5.8";"";"";"";"";"";"";
"30.12.2017 17:30";"22.2";"718.3";"760.2";"-1.4";"35";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"25.5";"";"";"";"";"";"2.0";"6.0";"";"";"";"";"";"";
"30.12.2017 14:30";"24.0";"719.7";"761.4";"-2.0";"29";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"4.9";"";"";"";"";"";"";
"30.12.2017 11:30";"21.0";"721.7";"764.0";"0.7";"32";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"";"";"";"";"";"";"2.0";"3.5";"";"";"";"";"";"";
