# Weather station Chittorgarh, India, WMO_ID=42546,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42546&lang=en
#
"Local time in Chittorgarh";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 08:30";"8.5";"726.5";"763.0";"";"97";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.5";"";"";"";"";"";"";"1.0";"8.0";"";"";"";"";"";"";
"30.12.2017 17:30";"22.8";"724.8";"759.4";"";"43";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"23.1";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"30.12.2017 08:30";"8.0";"727.4";"764.0";"";"99";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.2";"";"";"";"";"";"";"2.0";"7.8";"";"";"";"";"";"";
"29.12.2017 17:30";"23.6";"725.2";"759.7";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.4";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"29.12.2017 08:30";"8.4";"727.1";"763.6";"";"100";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.0";"";"";"";"";"";"";"2.0";"8.4";"";"";"";"";"";"";
"28.12.2017 17:30";"24.0";"724.9";"759.4";"";"45";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"24.6";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"28.12.2017 08:30";"8.8";"727.1";"763.6";"";"100";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.2";"";"";"";"";"";"";"2.0";"8.8";"";"";"";"";"";"";
"27.12.2017 17:30";"24.0";"725.3";"759.8";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.2";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"27.12.2017 08:30";"7.6";"727.8";"764.5";"";"100";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"5.5";"";"";"";"";"";"";"2.0";"7.6";"";"";"";"";"";"";
"26.12.2017 17:30";"23.8";"726.3";"760.9";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.3";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"26.12.2017 08:30";"7.8";"728.5";"765.2";"";"100";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"5.3";"";"";"";"";"";"";"2.0";"7.8";"";"";"";"";"";"";
"25.12.2017 17:30";"22.4";"726.3";"761.0";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"23.1";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"25.12.2017 08:30";"8.4";"727.7";"764.3";"";"95";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"6.0";"";"";"";"";"";"";"2.0";"7.6";"";"";"";"";"";"";
"24.12.2017 17:30";"23.4";"724.0";"758.5";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.0";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"24.12.2017 08:30";"9.4";"726.2";"762.6";"";"95";"Wind blowing from the south-southwest";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Fog or ice fog or thick haze.";"6.0";"";"";"";"";"";"";"4.0";"8.6";"";"";"";"";"";"";
"23.12.2017 17:30";"23.8";"724.8";"759.3";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.5";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"23.12.2017 08:30";"10.4";"727.1";"763.4";"";"92";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"8.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"60%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"9.2";"";"";"";"";"";"";
"22.12.2017 17:30";"23.4";"727.6";"762.3";"";"51";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"23.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.6";"";"";"";"";"";"";
"22.12.2017 08:30";"10.0";"729.8";"766.3";"";"97";"Wind blowing from the north";"1";"";"";"no clouds";"Haze. ";"Fog or ice fog or thick haze.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"7.7";"";"";"";"";"";"";"2.0";"9.6";"";"";"";"";"";"";
"21.12.2017 17:30";"24.0";"728.4";"763.0";"";"47";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"24.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"12.1";"";"";"";"";"";"";
