# Weather station Majbat, India, WMO_ID=42413,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42413&lang=en
#
"Local time in Majbat";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"19.2";"749.2";"759.8";"";"78";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"";"";"";"26.2";"";"";"";"";"";"2.0";"15.2";"";"";"";"";"";"";
"31.12.2017 08:30";"15.0";"754.3";"765.1";"";"87";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"";"";"10.8";"";"";"";"";"";"";"0.5";"12.8";"";"";"";"";"";"";
"30.12.2017 17:30";"20.2";"748.9";"759.4";"";"71";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"";"";"";"27.6";"";"";"";"";"";"2.0";"14.8";"";"";"";"";"";"";
"30.12.2017 08:30";"15.2";"753.3";"764.1";"";"87";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"";"";"11.0";"";"";"";"";"";"";"0.5";"13.0";"";"";"";"";"";"";
"29.12.2017 17:30";"20.4";"748.8";"759.3";"";"69";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"";"";"";"27.8";"";"";"";"";"";"2.0";"14.6";"";"";"";"";"";"";
"29.12.2017 08:30";"17.0";"753.2";"763.9";"";"86";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"";"";"11.6";"";"";"";"";"";"";"0.5";"14.6";"";"";"";"";"";"";
"28.12.2017 17:30";"20.6";"748.7";"759.2";"";"72";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"";"26.8";"";"";"";"";"";"2.0";"15.4";"";"";"";"";"";"";
"28.12.2017 08:30";"17.2";"752.9";"763.6";"";"84";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog at a distance at the time of observation, but not at the station during the preceding hour, the fog or ice fog extending to a level above that of the observer. ";"";"";"12.6";"";"";"";"";"";"";"0.5";"14.4";"";"";"";"";"";"";
"27.12.2017 17:30";"21.4";"748.3";"758.8";"";"70";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"";"";"";"27.3";"";"";"";"";"";"2.0";"15.7";"";"";"";"";"";"";
"26.12.2017 17:30";"21.0";"747.8";"758.3";"";"70";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"";"";"";"27.7";"";"";"";"";"";"2.0";"15.3";"";"";"";"";"";"";
