# Weather station Amreli, India, WMO_ID=42834,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42834&lang=en
#
"Local time in Amreli";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 08:30";"15.0";"748.2";"758.5";"";"68";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"30.12.2017 17:30";"27.8";"748.2";"758.0";"";"36";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"11.5";"";"";"";"";"";"";
"30.12.2017 08:30";"14.0";"752.3";"762.7";"";"71";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"11.4";"";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"29.12.2017 17:30";"29.2";"748.7";"758.5";"";"28";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.7";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"29.12.2017 08:30";"15.4";"750.9";"761.2";"";"65";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"11.8";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"28.12.2017 17:30";"29.0";"748.7";"758.5";"";"35";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"10.0";"11.8";"";"";"";"";"";"";
"28.12.2017 08:30";"12.6";"751.3";"761.7";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"10.0";"7.3";"";"";"";"";"";"";
"27.12.2017 17:30";"28.4";"749.5";"759.3";"";"35";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"27.12.2017 08:30";"13.4";"751.4";"761.8";"";"65";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"9.6";"";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"26.12.2017 17:30";"28.4";"749.9";"759.7";"";"34";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"10.0";"10.9";"";"";"";"";"";"";
"26.12.2017 08:30";"16.0";"752.4";"762.7";"";"60";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"25.12.2017 08:30";"12.4";"752.1";"762.5";"";"66";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"4.0";"6.1";"";"";"";"";"";"";
"24.12.2017 08:30";"18.4";"751.3";"761.5";"";"34";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"10.2";"";"";"";"";"";"";"4.0";"2.3";"";"";"";"";"";"";
"23.12.2017 17:30";"28.6";"749.4";"759.2";"";"28";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"10.0";"8.1";"";"";"";"";"";"";
"23.12.2017 08:30";"19.0";"751.4";"761.6";"";"58";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"17.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"10.5";"";"";"";"";"";"";
