# Weather station Amreli, India, WMO_ID=42834,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42834&lang=en
#
"Local time in Amreli";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"22.12.2017 17:30";"27.6";"751.2";"761.1";"";"35";"Wind blowing from the north";"2";"";"";"100%.";" ";"";"";"";"30.5";"";"";"2500 or more, or no clouds.";"";"";"10.0";"10.7";"";"";"";"";"";"";
"22.12.2017 08:30";"18.8";"753.3";"763.5";"";"56";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"9.8";"";"";"";"";"";"";
"21.12.2017 17:30";"25.0";"752.1";"762.1";"";"17";"Wind blowing from the north-east";"2";"";"";"100%.";" ";"";"";"";"26.8";"";"";"2500 or more, or no clouds.";"";"";"10.0";"-1.9";"";"";"";"";"";"";
"21.12.2017 08:30";"16.8";"754.4";"764.7";"";"53";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"14.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"7.2";"";"";"";"";"";"";
"20.12.2017 17:30";"26.8";"751.8";"761.7";"";"31";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"8.4";"";"";"";"";"";"";
"20.12.2017 08:30";"16.8";"753.5";"763.8";"";"63";"Wind blowing from the east";"2";"";"";"100%.";" ";"";"";"16.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"9.6";"";"";"";"";"";"";
"19.12.2017 08:30";"18.8";"753.3";"763.5";"";"48";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"17.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"7.4";"";"";"";"";"";"";
"18.12.2017 17:30";"27.6";"752.7";"762.6";"";"38";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"";"30.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"12.1";"";"";"";"";"";"";
"18.12.2017 08:30";"18.4";"753.6";"763.8";"";"64";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"17.12.2017 17:30";"28.8";"751.4";"761.2";"";"34";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"10.0";"11.5";"";"";"";"";"";"";
"17.12.2017 08:30";"18.2";"752.3";"762.5";"";"61";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"16.6";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"16.12.2017 17:30";"26.6";"751.0";"760.9";"";"39";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"28.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"11.6";"";"";"";"";"";"";
"15.12.2017 17:30";"27.0";"750.7";"760.6";"";"27";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"10.0";"6.5";"";"";"";"";"";"";
"15.12.2017 08:30";"14.4";"752.5";"762.9";"";"62";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"9.3";"";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"14.12.2017 17:30";"26.0";"750.7";"760.6";"";"24";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"27.9";"";"";"";"";"";"10.0";"4.1";"";"";"";"";"";"";
"14.12.2017 08:30";"13.6";"752.4";"762.8";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.2";"";"";"";"";"";"";"4.0";"5.6";"";"";"";"";"";"";
"13.12.2017 17:30";"26.2";"750.0";"759.9";"";"25";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"4.4";"";"";"";"";"";"";
"13.12.2017 08:30";"15.8";"752.1";"762.4";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.8";"";"";"";"";"";"";"4.0";"5.9";"";"";"";"";"";"";
"12.12.2017 17:30";"26.0";"749.6";"759.5";"";"36";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"10.0";"9.8";"";"";"";"";"";"";
"12.12.2017 08:30";"16.4";"751.3";"761.6";"";"66";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"11.12.2017 17:30";"26.6";"748.9";"758.8";"";"47";"Wind blowing from the north-west";"3";"";"";"50%.";" ";"";"";"";"29.2";"";"";"2500 or more, or no clouds.";"";"";"10.0";"14.2";"";"";"";"";"";"";
"11.12.2017 08:30";"20.6";"750.7";"760.8";"";"76";"Wind blowing from the west";"1";"";"";"70 – 80%.";" ";"";"";"18.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"16.3";"";"";"";"";"";"";
"10.12.2017 17:30";"30.0";"748.0";"757.8";"";"37";"Wind blowing from the south-east";"2";"";"";"50%.";" ";"";"";"";"31.6";"";"";"2500 or more, or no clouds.";"";"";"10.0";"13.7";"";"";"";"";"";"";
"10.12.2017 08:30";"20.8";"749.7";"759.8";"";"77";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"14.1";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"16.5";"";"";"";"";"";"";
"07.12.2017 08:30";"18.2";"750.1";"760.3";"";"73";"Wind blowing from the north-east";"2";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"13.3";"";"";"";"";"";"";
"06.12.2017 20:30";"19.8";"748.0";"758.1";"";"71";"Wind blowing from the north-east";"3";"";"";"100%.";" ";"";"";"";"20.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"14.3";"";"";"";"";"";"";
"06.12.2017 17:30";"19.8";"748.0";"758.1";"";"71";"Wind blowing from the north-east";"3";"";"";"100%.";" ";"";"";"";"20.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"14.3";"";"";"";"";"";"";
"06.12.2017 08:30";"18.8";"748.7";"758.8";"";"60";"Wind blowing from the north";"3";"";"";"100%.";" ";"";"";"16.4";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"10.7";"";"";"";"";"";"";
"05.12.2017 17:30";"19.0";"746.8";"756.9";"";"86";"Wind blowing from the north-east";"5";"";"";"100%.";" ";"";"";"";"21.6";"";"";"2500 or more, or no clouds.";"";"";"4.0";"16.6";"";"";"";"";"";"";
"05.12.2017 08:30";"20.4";"747.8";"757.9";"";"91";"Wind blowing from the north-west";"4";"";"";"100%.";" ";"";"";"17.7";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"18.8";"";"";"";"";"";"";
"04.12.2017 17:30";"24.0";"746.9";"756.8";"";"50";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"25.3";"";"";"2500 or more, or no clouds.";"";"";"10.0";"13.0";"";"";"";"";"";"";
"04.12.2017 08:30";"20.0";"748.8";"758.9";"";"54";"Wind blowing from the north-east";"2";"";"";"100%.";" ";"";"";"20.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"10.3";"";"";"";"";"";"";
"03.12.2017 17:30";"27.0";"747.7";"757.6";"";"39";"Wind blowing from the north-east";"3";"";"";"70 – 80%.";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"11.7";"";"";"";"";"";"";
"03.12.2017 08:30";"21.2";"749.8";"759.9";"";"45";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"02.12.2017 17:30";"28.8";"747.6";"757.4";"";"29";"Wind blowing from the north-east";"3";"";"";"50%.";" ";"";"";"";"31.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"9.0";"";"";"";"";"";"";
"02.12.2017 08:30";"21.4";"750.5";"760.6";"";"41";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"17.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"7.5";"";"";"";"";"";"";
"01.12.2017 17:30";"30.0";"747.3";"757.0";"";"26";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"8.2";"";"";"";"";"";"";
"01.12.2017 08:30";"20.4";"749.4";"759.5";"";"51";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"30.11.2017 17:30";"29.8";"748.0";"757.8";"";"25";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.1";"";"";"";"";"";"10.0";"7.9";"";"";"";"";"";"";
"30.11.2017 08:30";"16.8";"750.7";"760.9";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"29.11.2017 17:30";"30.0";"748.8";"758.6";"";"29";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"10.0";"9.9";"";"";"";"";"";"";
"29.11.2017 08:30";"17.4";"750.9";"761.1";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"28.11.2017 17:30";"30.2";"747.5";"757.2";"";"26";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"33.4";"";"";"";"";"";"10.0";"8.6";"";"";"";"";"";"";
"28.11.2017 08:30";"19.4";"749.9";"760.0";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"27.11.2017 17:30";"31.0";"748.2";"757.9";"";"26";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"33.6";"";"";"";"";"";"10.0";"9.5";"";"";"";"";"";"";
"27.11.2017 08:30";"16.0";"751.4";"761.7";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"26.11.2017 17:30";"30.2";"749.6";"759.4";"";"28";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"32.4";"";"";"";"";"";"10.0";"9.7";"";"";"";"";"";"";
"26.11.2017 08:30";"17.8";"752.4";"762.6";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"7.1";"";"";"";"";"";"";
"25.11.2017 17:30";"30.0";"749.3";"759.1";"";"21";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"10.0";"5.2";"";"";"";"";"";"";
"25.11.2017 08:30";"20.2";"751.4";"761.5";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"24.11.2017 17:30";"30.6";"748.9";"758.6";"";"22";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"6.4";"";"";"";"";"";"";
"24.11.2017 08:30";"18.2";"751.0";"761.2";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.7";"";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"23.11.2017 17:30";"29.6";"747.5";"757.3";"";"28";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"32.4";"";"";"";"";"";"10.0";"9.3";"";"";"";"";"";"";
"23.11.2017 08:30";"19.6";"749.3";"759.4";"";"54";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"22.11.2017 17:30";"30.4";"747.6";"757.3";"";"23";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"32.6";"";"";"";"";"";"10.0";"7.2";"";"";"";"";"";"";
"22.11.2017 08:30";"20.8";"749.7";"759.8";"";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"4.0";"6.6";"";"";"";"";"";"";
"21.11.2017 17:30";"30.2";"748.0";"757.7";"";"28";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"9.7";"";"";"";"";"";"";
"21.11.2017 08:30";"21.4";"750.6";"760.7";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.3";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"20.11.2017 17:30";"29.0";"749.2";"759.0";"";"29";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"30.7";"";"";"";"";"";"10.0";"9.3";"";"";"";"";"";"";
"20.11.2017 08:30";"21.8";"751.7";"761.8";"";"46";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"19.11.2017 17:30";"29.8";"748.4";"758.2";"";"24";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"10.0";"7.0";"";"";"";"";"";"";
"19.11.2017 08:30";"19.8";"750.7";"760.8";"";"48";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"13.1";"";"";"";"";"";"";"4.0";"8.3";"";"";"";"";"";"";
"18.11.2017 17:30";"28.4";"748.4";"758.2";"";"31";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"10.0";"9.7";"";"";"";"";"";"";
"18.11.2017 08:30";"18.2";"750.4";"760.6";"";"47";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"6.6";"";"";"";"";"";"";
"17.11.2017 17:30";"29.4";"747.2";"757.0";"";"28";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"17.11.2017 08:30";"17.6";"750.0";"760.2";"";"56";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"16.11.2017 17:30";"27.6";"747.2";"757.0";"";"29";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"8.1";"";"";"";"";"";"";
"16.11.2017 08:30";"21.6";"749.1";"759.2";"";"38";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"4.0";"6.8";"";"";"";"";"";"";
"15.11.2017 17:30";"30.0";"746.3";"756.0";"";"21";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"31.9";"";"";"";"";"";"10.0";"5.2";"";"";"";"";"";"";
"15.11.2017 08:30";"21.0";"748.8";"758.9";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"14.11.2017 17:30";"30.4";"745.3";"755.0";"";"28";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"10.0";"";"";"";"";"";"";
"14.11.2017 08:30";"21.8";"748.0";"758.0";"";"59";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"17.6";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"13.11.2017 17:30";"31.0";"744.9";"754.6";"";"22";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.8";"";"";"";"";"";"10.0";"7.1";"";"";"";"";"";"";
"13.11.2017 08:30";"19.8";"748.3";"758.4";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"12.11.2017 17:30";"30.2";"746.5";"756.2";"";"25";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"32.9";"";"";"";"";"";"10.0";"8.0";"";"";"";"";"";"";
"12.11.2017 08:30";"22.2";"749.6";"759.6";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"11.11.2017 17:30";"31.0";"748.2";"757.9";"";"22";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.2";"";"";"";"";"";"10.0";"7.1";"";"";"";"";"";"";
"11.11.2017 08:30";"23.6";"750.6";"760.6";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"10.11.2017 17:30";"31.8";"748.0";"757.7";"";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.8";"";"";"";"";"";"10.0";"12.2";"";"";"";"";"";"";
"10.11.2017 11:30";"23.2";"749.7";"759.7";"";"52";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"17.7";"";"";"";"";"";"";"";"12.8";"";"";"";"";"";"";
"10.11.2017 08:30";"23.2";"749.7";"759.7";"";"52";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"17.7";"";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"09.11.2017 17:30";"32.4";"747.2";"756.9";"";"32";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.8";"";"";"";"";"";"10.0";"13.6";"";"";"";"";"";"";
"09.11.2017 08:30";"24.2";"749.7";"759.7";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.4";"";"";"";"";"";"";"4.0";"12.4";"";"";"";"";"";"";
"08.11.2017 17:30";"31.8";"747.9";"757.6";"";"29";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"34.4";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"08.11.2017 08:30";"23.0";"750.5";"760.5";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.8";"";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"07.11.2017 17:30";"32.0";"748.0";"757.7";"";"25";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"10.0";"9.5";"";"";"";"";"";"";
"07.11.2017 08:30";"23.4";"750.3";"760.3";"";"49";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"16.3";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"06.11.2017 17:30";"32.6";"748.0";"757.7";"";"37";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"34.2";"";"";"";"";"";"10.0";"16.1";"";"";"";"";"";"";
"06.11.2017 08:30";"22.6";"750.3";"760.3";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"05.11.2017 17:30";"31.0";"748.2";"757.9";"";"32";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"33.4";"";"";"";"";"";"10.0";"12.4";"";"";"";"";"";"";
"05.11.2017 08:30";"22.0";"751.2";"761.3";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"04.11.2017 08:30";"22.6";"750.9";"760.9";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"03.11.2017 17:30";"29.4";"747.4";"757.2";"";"36";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.7";"";"";"";"";"";"10.0";"12.9";"";"";"";"";"";"";
"03.11.2017 08:30";"20.6";"750.8";"760.9";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"02.11.2017 17:30";"31.6";"747.9";"757.6";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.7";"";"";"";"";"";"10.0";"17.9";"";"";"";"";"";"";
"01.11.2017 17:30";"33.0";"748.4";"758.1";"";"28";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"35.2";"";"";"";"";"";"10.0";"12.2";"";"";"";"";"";"";
"01.11.2017 08:30";"23.2";"750.3";"760.3";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.8";"";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"31.10.2017 17:30";"33.2";"747.8";"757.5";"";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.8";"";"";"";"";"";"10.0";"11.0";"";"";"";"";"";"";
"31.10.2017 08:30";"23.8";"750.6";"760.6";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.3";"";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"30.10.2017 17:30";"33.6";"748.7";"758.3";"";"23";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"10.0";"9.7";"";"";"";"";"";"";
"29.10.2017 08:30";"22.8";"750.6";"760.6";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"28.10.2017 17:30";"30.0";"748.1";"757.9";"";"30";"Wind blowing from the north-east";"2";"";"";"no clouds";" ";"";"";"";"35.5";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"28.10.2017 08:30";"25.4";"750.7";"760.6";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"27.10.2017 17:30";"33.8";"747.7";"757.3";"";"25";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"36.7";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"27.10.2017 08:30";"24.8";"750.3";"760.3";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.3";"";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"26.10.2017 17:30";"34.2";"748.3";"757.9";"";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"10.0";"12.6";"";"";"";"";"";"";
"26.10.2017 08:30";"26.2";"750.5";"760.4";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.8";"";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"25.10.2017 17:30";"33.8";"741.6";"751.2";"";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.8";"";"";"";"";"";"10.0";"12.4";"";"";"";"";"";"";
"25.10.2017 08:30";"25.6";"749.5";"759.4";"";"81";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"20.6";"";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"24.10.2017 17:30";"32.8";"748.2";"757.9";"";"26";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"35.2";"";"";"";"";"";"10.0";"10.8";"";"";"";"";"";"";
"24.10.2017 08:30";"23.6";"746.9";"756.9";"";"83";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"19.8";"";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"23.10.2017 17:30";"34.0";"747.0";"756.6";"";"28";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"";"35.4";"";"";"";"";"";"10.0";"12.8";"";"";"";"";"";"";
