# Weather station Surendranagar, India, WMO_ID=42740,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42740&lang=en
#
"Local time in Surendranagar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"26.0";"752.9";"759.3";"";"36";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.1";"";"";"";"";"";"10.0";"9.8";"";"";"";"";"";"";
"31.12.2017 08:30";"19.0";"757.6";"764.2";"";"51";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"8.7";"";"";"";"";"";"";
"30.12.2017 17:30";"27.0";"753.9";"760.3";"";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.3";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"30.12.2017 08:30";"14.8";"756.9";"763.6";"";"70";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"29.12.2017 17:30";"27.8";"754.1";"760.5";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.3";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"29.12.2017 08:30";"16.8";"756.2";"762.8";"";"64";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"28.12.2017 17:30";"27.8";"754.0";"760.4";"";"33";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"30.3";"";"";"";"";"";"10.0";"10.0";"";"";"";"";"";"";
"28.12.2017 08:30";"16.8";"756.5";"763.1";"";"64";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"14.7";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"27.12.2017 17:30";"27.4";"754.4";"760.8";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"10.0";"10.4";"";"";"";"";"";"";
"27.12.2017 08:30";"16.6";"757.0";"763.6";"";"57";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"4.0";"7.9";"";"";"";"";"";"";
"26.12.2017 17:30";"27.6";"755.0";"761.4";"";"45";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"10.0";"14.7";"";"";"";"";"";"";
"26.12.2017 08:30";"17.2";"757.6";"764.2";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"25.12.2017 17:30";"27.6";"755.3";"761.7";"";"29";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"10.0";"8.1";"";"";"";"";"";"";
