# Weather station Surendranagar, India, WMO_ID=42740,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42740&lang=en
#
"Local time in Surendranagar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"25.12.2017 08:30";"16.4";"757.3";"763.9";"";"66";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"24.12.2017 17:30";"26.4";"753.9";"760.3";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"10.4";"";"";"";"";"";"";
"24.12.2017 08:30";"15.0";"756.0";"762.7";"";"77";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"13.2";"";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"23.12.2017 17:30";"27.6";"754.2";"760.6";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"10.0";"14.7";"";"";"";"";"";"";
"23.12.2017 08:30";"17.8";"756.8";"763.4";"";"71";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"16.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.4";"";"";"";"";"";"";
"22.12.2017 17:30";"25.0";"757.4";"763.8";"";"38";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"26.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"9.8";"";"";"";"";"";"";
"22.12.2017 08:30";"17.0";"759.5";"766.1";"";"68";"Wind blowing from the north-west";"1";"";"";"40%.";" ";"";"";"15.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.1";"";"";"";"";"";"";
"21.12.2017 17:30";"25.6";"757.7";"764.1";"";"38";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"27.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"10.2";"";"";"";"";"";"";
"21.12.2017 08:30";"17.2";"759.8";"766.4";"";"68";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"16.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"11.3";"";"";"";"";"";"";
"20.12.2017 17:30";"25.6";"757.4";"763.8";"";"48";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"27.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.8";"";"";"";"";"";"";
"20.12.2017 08:30";"18.6";"759.1";"765.7";"";"59";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"17.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.4";"";"";"";"";"";"";
"19.12.2017 17:30";"25.8";"756.9";"763.3";"";"38";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"27.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.5";"";"";"";"";"";"";
"19.12.2017 08:30";"19.0";"759.0";"765.6";"";"48";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"16.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"7.7";"";"";"";"";"";"";
"18.12.2017 17:30";"27.8";"757.8";"764.2";"";"40";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"30.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.1";"";"";"";"";"";"";
"18.12.2017 08:30";"18.0";"759.1";"765.7";"";"71";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"17.12.2017 17:30";"26.8";"757.2";"763.6";"";"45";"Wind blowing from the east";"1";"";"";"20–30%.";" ";"";"";"";"28.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.7";"";"";"";"";"";"";
"17.12.2017 08:30";"16.6";"759.4";"766.1";"";"66";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"16.12.2017 17:30";"26.0";"756.4";"762.8";"";"40";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"27.3";"";"";"";"";"";"10.0";"11.2";"";"";"";"";"";"";
"16.12.2017 08:30";"16.0";"759.0";"765.7";"";"71";"Wind blowing from the north-west";"2";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"15.12.2017 17:30";"25.2";"756.2";"762.6";"";"49";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"";"26.8";"";"";"";"";"";"10.0";"13.7";"";"";"";"";"";"";
"15.12.2017 08:30";"14.2";"757.9";"764.6";"";"81";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"12.0";"";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"14.12.2017 17:30";"25.6";"755.7";"762.1";"";"38";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.3";"";"";"";"";"";"10.0";"10.2";"";"";"";"";"";"";
"14.12.2017 08:30";"14.8";"757.5";"764.2";"";"70";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"12.5";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"13.12.2017 17:30";"24.8";"755.2";"761.6";"";"37";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"10.0";"9.0";"";"";"";"";"";"";
"13.12.2017 08:30";"15.6";"756.9";"763.6";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.2";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"12.12.2017 17:30";"24.6";"754.6";"761.0";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.7";"";"";"";"";"";"10.0";"12.0";"";"";"";"";"";"";
"12.12.2017 08:30";"16.8";"756.8";"763.4";"";"78";"Wind blowing from the north-west";"1";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.5";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"11.12.2017 17:30";"24.8";"754.0";"760.4";"";"50";"Wind blowing from the north-west";"2";"";"";"20–30%.";" ";"";"";"";"27.3";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.6";"";"";"";"";"";"";
"11.12.2017 08:30";"20.4";"755.4";"761.9";"";"75";"Wind blowing from the north-west";"1";"";"";"60%.";" ";"";"";"19.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.7";"";"";"";"";"";"";
"10.12.2017 17:30";"26.2";"752.8";"759.2";"";"68";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";" ";"";"";"";"30.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.7";"";"";"";"";"";"";
"10.12.2017 08:30";"22.7";"754.7";"761.2";"";"78";"Wind blowing from the south-east";"2";"";"";"20–30%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"21.3";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"18.6";"";"";"";"";"";"";
"09.12.2017 17:30";"28.6";"752.3";"758.6";"";"61";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"29.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.4";"";"";"";"";"";"";
"09.12.2017 08:30";"20.8";"754.6";"761.1";"";"71";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"19.4";"";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"08.12.2017 17:30";"27.0";"752.8";"759.2";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"10.0";"18.9";"";"";"";"";"";"";
"08.12.2017 08:30";"18.6";"755.4";"762.0";"";"83";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"17.0";"";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"07.12.2017 17:30";"24.4";"753.4";"759.8";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"25.8";"";"";"";"";"";"10.0";"17.3";"";"";"";"";"";"";
"07.12.2017 08:30";"17.8";"755.7";"762.3";"";"86";"Wind blowing from the north-west";"2";"";"";"70 – 80%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"16.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.4";"";"";"";"";"";"";
"06.12.2017 20:30";"20.0";"753.1";"759.6";"";"78";"Wind blowing from the east";"1";"";"";"60%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"20.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.0";"";"";"";"";"";"";
"06.12.2017 17:30";"20.0";"753.1";"759.6";"";"78";"Wind blowing from the east";"1";"";"";"60%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"20.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.0";"";"";"";"";"";"";
"06.12.2017 08:30";"18.0";"755.2";"761.8";"";"90";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"16.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"16.3";"";"";"";"";"";"";
"05.12.2017 17:30";"18.2";"752.6";"759.2";"";"92";"Wind blowing from the south-east";"2";"";"";"70 – 80%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"";"20.7";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.9";"";"";"";"";"";"";
"05.12.2017 08:30";"20.2";"754.1";"760.6";"";"87";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"18.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.9";"";"";"";"";"";"";
"04.12.2017 17:30";"23.8";"751.9";"758.3";"";"60";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"24.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.5";"";"";"";"";"";"";
"04.12.2017 08:30";"19.6";"754.7";"761.2";"";"71";"Wind blowing from the north-west";"1";"";"";"70 – 80%.";" ";"";"";"18.5";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.1";"";"";"";"";"";"";
"03.12.2017 17:30";"26.4";"753.1";"759.5";"";"66";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"27.8";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.6";"";"";"";"";"";"";
"03.12.2017 08:30";"19.0";"755.3";"761.9";"";"77";"Calm, no wind";"0";"";"";"70 – 80%.";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"18.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"14.9";"";"";"";"";"";"";
"02.12.2017 17:30";"28.2";"753.1";"759.4";"";"62";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"30.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"20.3";"";"";"";"";"";"";
"02.12.2017 08:30";"18.6";"755.2";"761.8";"";"71";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"17.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"13.3";"";"";"";"";"";"";
"01.12.2017 17:30";"29.4";"752.2";"758.5";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"20.7";"";"";"";"";"";"";
"01.12.2017 08:30";"19.4";"754.9";"761.5";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"12.3";"";"";"";"";"";"";
"30.11.2017 17:30";"28.4";"753.2";"759.5";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"18.8";"";"";"";"";"";"";
"30.11.2017 08:30";"17.4";"755.9";"762.5";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"4.0";"12.4";"";"";"";"";"";"";
"29.11.2017 17:30";"28.6";"754.3";"760.6";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.7";"";"";"";"";"";"10.0";"20.8";"";"";"";"";"";"";
"29.11.2017 08:30";"18.6";"755.8";"762.4";"";"66";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"28.11.2017 17:30";"29.4";"752.8";"759.1";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.7";"";"";"";"";"";"10.0";"19.6";"";"";"";"";"";"";
"28.11.2017 08:30";"17.8";"754.9";"761.5";"";"79";"Calm, no wind";"0";"";"";"no clouds";"Haze. ";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"Cloud covering 1/2 or less of the sky throughout the appropriate period.";"15.5";"";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"27.11.2017 17:30";"28.8";"755.3";"761.7";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"18.2";"";"";"";"";"";"";
"27.11.2017 08:30";"18.0";"757.2";"763.8";"";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"26.11.2017 17:30";"29.0";"755.1";"761.4";"";"54";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"18.8";"";"";"";"";"";"";
"26.11.2017 08:30";"18.0";"757.6";"764.2";"";"67";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"25.11.2017 17:30";"28.8";"754.4";"760.7";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.3";"";"";"";"";"";"10.0";"20.0";"";"";"";"";"";"";
"25.11.2017 08:30";"17.6";"756.6";"763.2";"";"75";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"24.11.2017 17:30";"28.8";"754.3";"760.6";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"20.7";"";"";"";"";"";"";
"24.11.2017 08:30";"17.0";"756.0";"762.6";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"23.11.2017 17:30";"29.6";"752.6";"758.9";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"19.2";"";"";"";"";"";"";
"23.11.2017 08:30";"18.8";"754.5";"761.1";"";"65";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"15.9";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"22.11.2017 17:30";"29.6";"752.8";"759.1";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"19.2";"";"";"";"";"";"";
"22.11.2017 08:30";"19.0";"755.4";"762.0";"";"70";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"17.1";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"21.11.2017 17:30";"28.8";"753.4";"759.7";"";"54";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"18.6";"";"";"";"";"";"";
"21.11.2017 08:30";"18.6";"755.7";"762.3";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"20.11.2017 17:30";"28.0";"754.2";"760.6";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.3";"";"";"";"";"";"10.0";"16.8";"";"";"";"";"";"";
"20.11.2017 08:30";"18.4";"757.0";"763.6";"";"66";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"19.11.2017 17:30";"27.6";"753.7";"760.1";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.3";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"19.11.2017 08:30";"18.4";"756.0";"762.6";"";"71";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"18.11.2017 17:30";"27.8";"753.2";"759.6";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"13.7";"";"";"";"";"";"";
"18.11.2017 08:30";"18.2";"755.2";"761.8";"";"62";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"17.11.2017 17:30";"28.0";"752.5";"758.8";"";"43";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.3";"";"";"";"";"";"10.0";"14.4";"";"";"";"";"";"";
"17.11.2017 08:30";"18.0";"754.9";"761.5";"";"69";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"16.11.2017 17:30";"28.0";"752.1";"758.4";"";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.7";"";"";"";"";"";"10.0";"13.6";"";"";"";"";"";"";
"16.11.2017 08:30";"19.4";"754.7";"761.2";"";"60";"Wind blowing from the north";"1";"";"";"no clouds";" ";"";"";"17.4";"";"";"";"";"";"";"4.0";"11.4";"";"";"";"";"";"";
"15.11.2017 17:30";"29.0";"751.5";"757.8";"";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"8.2";"";"";"";"";"";"";
"15.11.2017 08:30";"20.0";"753.6";"760.1";"";"61";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"18.2";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"14.11.2017 17:30";"29.4";"750.1";"756.4";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"14.11.2017 08:30";"21.6";"752.7";"759.2";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"13.11.2017 17:30";"30.2";"749.8";"756.1";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"10.0";"13.1";"";"";"";"";"";"";
"13.11.2017 08:30";"20.0";"753.4";"759.9";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"12.11.2017 17:30";"30.8";"751.5";"757.8";"";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.3";"";"";"";"";"";"10.0";"11.1";"";"";"";"";"";"";
