# Weather station New Kandla, India, WMO_ID=42639,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42639&lang=en
#
"Local time in New Kandla";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"20.12.2017 08:30";"17.0";"763.3";"765.4";"";"57";"Wind blowing from the north-west";"2";"";"";"100%.";" ";"";"";"16.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"8.4";"";"";"";"";"";"";
"19.12.2017 17:30";"26.0";"761.4";"763.4";"";"50";"Wind blowing from the north-northwest";"2";"";"";"100%.";" ";"";"";"";"27.6";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"";"10.0";"14.7";"";"";"";"";"";"";
"19.12.2017 08:30";"15.0";"763.1";"765.2";"";"70";"Wind blowing from the north-northwest";"2";"";"";"50%.";" ";"";"";"14.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"9.6";"";"";"";"";"";"";
"18.12.2017 17:30";"26.2";"761.6";"763.6";"";"49";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"";"27.1";"";"";"";"";"";"10.0";"14.5";"";"";"";"";"";"";
"18.12.2017 08:30";"18.6";"763.2";"765.3";"";"70";"Wind blowing from the north";"2";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"12.9";"";"";"";"";"";"";
"17.12.2017 17:30";"26.6";"761.3";"763.3";"";"49";"Wind blowing from the north-east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"27.9";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.1";"";"";"";"";"";"";
"17.12.2017 08:30";"16.4";"763.7";"765.8";"";"58";"Wind blowing from the north-northeast";"3";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"10.0";"8.1";"";"";"";"";"";"";
"16.12.2017 17:30";"25.4";"760.9";"762.9";"";"45";"Wind blowing from the north";"5";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"10.0";"12.7";"";"";"";"";"";"";
"16.12.2017 08:30";"14.4";"763.8";"765.9";"";"63";"Wind blowing from the north-northwest";"3";"";"";"no clouds";" ";"";"";"13.9";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"15.12.2017 17:30";"23.2";"761.4";"763.4";"";"44";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"10.0";"10.1";"";"";"";"";"";"";
"15.12.2017 08:30";"14.2";"762.4";"764.5";"";"76";"Wind blowing from the north-northwest";"3";"";"";"20–30%.";" ";"";"";"13.4";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"10.0";"";"";"";"";"";"";
"14.12.2017 17:30";"24.4";"760.4";"762.4";"";"39";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"10.0";"9.4";"";"";"";"";"";"";
"14.12.2017 08:30";"15.6";"761.8";"763.9";"";"75";"Wind blowing from the north-northeast";"2";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"10.0";"11.1";"";"";"";"";"";"";
"13.12.2017 17:30";"24.4";"759.3";"761.3";"";"40";"Wind blowing from the south-southwest";"2";"";"";"no clouds";" ";"";"";"";"29.3";"";"";"";"";"";"10.0";"9.9";"";"";"";"";"";"";
"13.12.2017 08:30";"15.4";"761.1";"763.2";"";"77";"Wind blowing from the north-west";"3";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"11.3";"";"";"";"";"";"";
"12.12.2017 17:30";"27.6";"758.5";"760.5";"";"59";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"18.9";"";"";"";"";"";"";
"12.12.2017 08:30";"14.4";"760.6";"762.7";"";"85";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"2.0";"11.8";"";"";"";"";"";"";
"11.12.2017 17:30";"28.0";"759.2";"761.2";"";"57";"Wind blowing from the west-southwest";"2";"";"";"no clouds";" ";"";"";"";"30.1";"";"";"";"";"";"10.0";"18.7";"";"";"";"";"";"";
"11.12.2017 08:30";"17.4";"759.9";"762.0";"";"67";"Wind blowing from the west-southwest";"2";"";"";"60%.";" ";"";"";"16.0";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"11.1";"";"";"";"";"";"";
"10.12.2017 17:30";"28.4";"756.9";"758.9";"";"57";"Wind blowing from the south-west";"2";"";"";"no clouds";" ";"";"";"";"30.3";"";"";"";"";"";"10.0";"19.2";"";"";"";"";"";"";
"10.12.2017 08:30";"21.0";"758.4";"760.4";"";"82";"Wind blowing from the west-southwest";"1";"";"";"20–30%.";" ";"";"";"20.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"1.0";"17.8";"";"";"";"";"";"";
"09.12.2017 17:30";"28.4";"756.3";"758.3";"";"55";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.7";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"10.0";"18.4";"";"";"";"";"";"";
"09.12.2017 08:30";"19.8";"758.9";"760.9";"";"67";"Wind blowing from the north-northwest";"2";"";"";"70 – 80%.";" ";"";"";"18.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"70 – 80%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.5";"";"";"";"";"";"";
"08.12.2017 17:30";"27.2";"757.0";"759.0";"";"47";"Wind blowing from the north";"3";"";"";"no clouds";" ";"";"";"";"29.1";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"08.12.2017 08:30";"18.0";"760.0";"762.1";"";"53";"Wind blowing from the north-northeast";"3";"";"";"no clouds";" ";"";"";"16.6";"";"";"";"";"";"";"10.0";"8.3";"";"";"";"";"";"";
"07.12.2017 17:30";"25.0";"757.8";"759.8";"";"49";"Wind blowing from the north";"4";"";"";"no clouds";" ";"";"";"";"26.7";"";"";"";"";"";"10.0";"13.4";"";"";"";"";"";"";
"07.12.2017 08:30";"16.2";"759.9";"762.0";"";"77";"Wind blowing from the north-northwest";"3";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"06.12.2017 20:30";"23.2";"757.4";"759.4";"";"59";"Wind blowing from the east-northeast";"3";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"06.12.2017 17:30";"23.2";"757.4";"759.4";"";"59";"Wind blowing from the east-northeast";"3";"";"";"no clouds";" ";"";"";"";"25.5";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"06.12.2017 08:30";"19.6";"759.1";"761.1";"";"85";"Wind blowing from the north-northeast";"3";"";"";"100%.";" ";"";"";"19.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"4.0";"17.0";"";"";"";"";"";"";
"05.12.2017 17:30";"21.4";"757.1";"759.1";"";"79";"Wind blowing from the north-east";"3";"";"";"no clouds";" ";"";"";"";"22.1";"";"";"";"";"";"10.0";"17.5";"";"";"";"";"";"";
"05.12.2017 08:30";"19.4";"758.1";"760.1";"";"62";"Wind blowing from the north-northwest";"3";"";"";"100%.";" ";"";"";"18.5";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"";"10.0";"11.8";"";"";"";"";"";"";
"04.12.2017 17:30";"27.0";"757.5";"759.5";"";"51";"Wind blowing from the north";"3";"";"";"90  or more, but not 100%";" ";"";"";"";"29.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"90  or more, but not 100%";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.0";"";"";"";"";"";"";
"04.12.2017 08:30";"19.0";"759.2";"761.2";"";"63";"Wind blowing from the north";"2";"";"";"40%.";" ";"";"";"17.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"11.8";"";"";"";"";"";"";
"03.12.2017 17:30";"27.6";"757.5";"759.5";"";"46";"Wind blowing from the north-northeast";"1";"";"";"100%.";" ";"";"";"";"29.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"100%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.1";"";"";"";"";"";"";
"03.12.2017 08:30";"19.0";"759.8";"761.8";"";"72";"Wind blowing from the north-northeast";"2";"";"";"40%.";" ";"";"";"17.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.8";"";"";"";"";"";"";
"02.12.2017 17:30";"29.6";"757.6";"759.6";"";"35";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.1";"";"";"";"";"";"10.0";"12.7";"";"";"";"";"";"";
"02.12.2017 08:30";"18.0";"759.0";"761.1";"";"67";"Wind blowing from the north";"2";"";"";"40%.";" ";"";"";"17.0";"";"Stratus nebulosus or Stratus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"11.8";"";"";"";"";"";"";
"01.12.2017 17:30";"29.8";"756.5";"758.5";"";"32";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"10.0";"11.6";"";"";"";"";"";"";
