# Weather station Gandhinagar, India, WMO_ID=42654,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42654&lang=en
#
"Local time in Gandhinagar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"04.08.2017 17:30";"33.0";"742.4";"749.2";"";"67";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"34.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"04.08.2017 08:30";"28.0";"744.2";"751.2";"";"78";"Wind blowing from the east-northeast";"1";"";"";"100%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.9";"";"";"";"";"";"";
"03.08.2017 17:30";"33.0";"743.2";"750.0";"";"62";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"";"33.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.8";"";"";"";"";"";"";
"03.08.2017 08:30";"27.0";"745.6";"752.6";"";"86";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.4";"";"";"";"";"";"";
"02.08.2017 17:30";"30.4";"745.0";"751.9";"";"72";"Wind blowing from the north-northeast";"1";"";"";"100%.";" ";"";"";"";"33.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.7";"";"";"";"";"";"";
"02.08.2017 08:30";"25.6";"747.1";"754.1";"";"95";"Wind blowing from the north-northwest";"1";"";"";"100%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.7";"";"";"";"";"";"";
"01.08.2017 17:30";"32.2";"745.3";"752.2";"";"71";"Wind blowing from the north-northwest";"1";"";"";"100%.";" ";"";"";"";"33.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.4";"";"";"";"";"";"";
"01.08.2017 08:30";"27.0";"747.6";"754.6";"";"94";"Wind blowing from the west-northwest";"1";"";"";"100%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.9";"";"";"";"";"";"";
"31.07.2017 17:30";"28.2";"745.1";"752.1";"";"91";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.5";"";"";"";"";"";"";
"31.07.2017 08:30";"27.2";"747.7";"754.7";"";"90";"Wind blowing from the west-southwest";"1";"";"";"100%.";" ";"";"";"24.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"30.07.2017 17:30";"31.0";"745.5";"752.4";"";"67";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"";"32.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.1";"";"";"";"";"";"";
"30.07.2017 08:30";"27.2";"747.5";"754.5";"";"90";"Wind blowing from the south-east";"1";"";"";"100%.";" ";"";"";"25.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.5";"";"";"";"";"";"";
"29.07.2017 17:30";"29.0";"745.3";"752.2";"";"78";"Wind blowing from the north-northwest";"1";"";"";"100%.";" ";"";"";"";"32.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.7";"";"";"";"";"";"";
"29.07.2017 08:30";"27.2";"745.6";"752.6";"";"92";"Wind blowing from the south-west";"1";"";"";"100%.";" ";"";"";"25.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.8";"";"";"";"";"";"";
"28.07.2017 17:30";"28.0";"744.3";"751.3";"";"85";"Wind blowing from the south-southeast";"1";"";"";"100%.";" ";"";"";"";"30.2";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.2";"";"";"";"";"";"";
"28.07.2017 08:30";"25.2";"745.8";"752.8";"";"90";"Wind blowing from the east-northeast";"1";"";"";"100%.";" ";"";"";"24.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.4";"";"";"";"";"";"";
"27.07.2017 17:30";"25.2";"744.3";"751.3";"";"90";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.4";"";"";"";"";"";"";
"27.07.2017 08:30";"25.0";"745.1";"752.1";"";"91";"Wind blowing from the north-northeast";"1";"";"";"100%.";" ";"";"";"23.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.5";"";"";"";"";"";"";
"26.07.2017 17:30";"25.2";"743.7";"750.7";"";"90";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.4";"";"";"";"";"";"";
"26.07.2017 11:30";"25.0";"743.6";"750.6";"";"96";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"23.0";"";"";"";"";"";"";"";"24.4";"";"";"";"";"";"";
"26.07.2017 08:30";"25.0";"743.6";"750.6";"";"96";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"23.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.4";"";"";"";"";"";"";
"25.07.2017 17:30";"26.0";"741.7";"748.7";"";"95";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"27.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.1";"";"";"";"";"";"";
"25.07.2017 08:30";"25.0";"741.6";"748.6";"";"91";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"22.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.5";"";"";"";"";"";"";
"24.07.2017 17:30";"25.2";"741.0";"748.0";"";"90";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"27.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.4";"";"";"";"";"";"";
"24.07.2017 08:30";"24.2";"742.0";"749.0";"";"92";"Wind blowing from the west-northwest";"1";"";"";"100%.";" ";"";"";"23.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.9";"";"";"";"";"";"";
"23.07.2017 17:30";"26.0";"741.0";"748.0";"";"94";"Wind blowing from the west-southwest";"2";"";"";"100%.";" ";"";"";"";"27.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.9";"";"";"";"";"";"";
"23.07.2017 08:30";"26.0";"741.8";"748.8";"";"94";"Wind blowing from the north-west";"1";"";"";"100%.";" ";"";"";"24.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.9";"";"";"";"";"";"";
"22.07.2017 17:30";"25.0";"741.9";"748.9";"";"93";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"27.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"23.8";"";"";"";"";"";"";
"22.07.2017 08:30";"26.2";"742.0";"749.0";"";"92";"Wind blowing from the west-northwest";"1";"";"";"100%.";" ";"";"";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.8";"";"";"";"";"";"";
"21.07.2017 17:30";"32.0";"739.8";"746.6";"";"67";"Wind blowing from the north-northwest";"1";"";"";"100%.";" ";"";"";"";"36.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.2";"";"";"";"";"";"";
"21.07.2017 08:30";"28.0";"741.9";"748.8";"";"86";"Wind blowing from the north-northwest";"1";"";"";"100%.";" ";"";"";"25.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.4";"";"";"";"";"";"";
"20.07.2017 17:30";"29.2";"739.7";"746.6";"";"85";"Wind blowing from the east-southeast";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.4";"";"";"";"";"";"";
"20.07.2017 08:30";"28.0";"742.4";"749.3";"";"92";"Wind blowing from the north-northwest";"1";"";"";"100%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.6";"";"";"";"";"";"";
"19.07.2017 17:30";"35.0";"740.1";"746.9";"";"62";"Wind blowing from the east-northeast";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.7";"";"";"";"";"";"";
"19.07.2017 08:30";"28.4";"743.8";"750.7";"";"89";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"26.2";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.4";"";"";"";"";"";"";
"18.07.2017 17:30";"33.2";"741.1";"747.9";"";"67";"Wind blowing from the north-northwest";"1";"";"";"100%.";" ";"";"";"";"34.2";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.3";"";"";"";"";"";"";
"18.07.2017 08:30";"26.2";"743.5";"750.5";"";"94";"Wind blowing from the north-northwest";"1";"";"";"100%.";" ";"";"";"25.2";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.1";"";"";"";"";"";"";
"17.07.2017 17:30";"32.2";"741.9";"748.7";"";"66";"Wind blowing from the north-northwest";"1";"";"";"100%.";" ";"";"";"";"34.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.1";"";"";"";"";"";"";
"17.07.2017 08:30";"26.0";"744.6";"751.6";"";"92";"Wind blowing from the south-southwest";"1";"";"";"60%.";" ";"";"";"25.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.6";"";"";"";"";"";"";
"16.07.2017 17:30";"30.0";"743.6";"750.5";"";"85";"Wind blowing from the south-southwest";"1";"";"";"20–30%.";" ";"";"";"";"31.5";"";"";"2500 or more, or no clouds.";"";"";"10.0";"27.2";"";"";"";"";"";"";
"15.07.2017 17:30";"25.4";"743.2";"750.2";"";"98";"Wind blowing from the south-southeast";"1";"";"";"100%.";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.1";"";"";"";"";"";"";
"15.07.2017 08:30";"25.0";"744.5";"751.5";"";"100";"Wind blowing from the south-southeast";"1";"";"";"100%.";" ";"";"";"25.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.0";"";"";"";"";"";"";
"14.07.2017 17:30";"27.4";"743.2";"750.2";"";"97";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"29.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.8";"";"";"";"";"";"";
"14.07.2017 08:30";"25.4";"745.6";"752.6";"";"96";"Wind blowing from the south-southeast";"1";"";"";"100%.";" ";"";"";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.8";"";"";"";"";"";"";
"13.07.2017 17:30";"31.4";"744.4";"751.3";"";"76";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"33.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.7";"";"";"";"";"";"";
"13.07.2017 08:30";"28.4";"747.5";"754.5";"";"82";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.0";"";"";"";"";"";"";
"12.07.2017 17:30";"29.4";"744.5";"751.4";"";"78";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"30.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.1";"";"";"";"";"";"";
"12.07.2017 08:30";"26.4";"747.4";"754.4";"";"97";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.8";"";"";"";"";"";"";
"11.07.2017 17:30";"32.0";"745.3";"752.2";"";"72";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"36.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.4";"";"";"";"";"";"";
"11.07.2017 08:30";"29.6";"747.5";"754.4";"";"88";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"27.4";"";"";"";"";"";"";
"10.07.2017 17:30";"35.2";"744.9";"751.7";"";"51";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"36.5";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.5";"";"";"";"";"";"";
"10.07.2017 08:30";"31.0";"748.3";"755.2";"";"78";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"27.0";"";"";"";"";"";"";"10.0";"26.8";"";"";"";"";"";"";
"09.07.2017 17:30";"34.0";"744.8";"751.6";"";"56";"Wind blowing from the north-northwest";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"36.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.0";"";"";"";"";"";"";
"09.07.2017 08:30";"29.4";"748.2";"755.2";"";"82";"Wind blowing from the north-northwest";"1";"";"";"90  or more, but not 100%";" ";"";"";"27.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.0";"";"";"";"";"";"";
"08.07.2017 17:30";"33.4";"745.9";"752.7";"";"59";"Wind blowing from the south-southeast";"1";"";"";"60%.";" ";"";"";"";"35.5";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.3";"";"";"";"";"";"";
"08.07.2017 08:30";"29.4";"748.3";"755.3";"";"83";"Wind blowing from the south-southwest";"1";"";"";"90  or more, but not 100%";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.2";"";"";"";"";"";"";
"07.07.2017 17:30";"36.0";"744.8";"751.6";"";"58";"Wind blowing from the south-southeast";"1";"";"";"100%.";" ";"";"";"";"36.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.6";"";"";"";"";"";"";
"07.07.2017 08:30";"30.6";"746.5";"753.4";"";"86";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"24.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"27.9";"";"";"";"";"";"";
"06.07.2017 17:30";"36.0";"743.6";"750.4";"";"57";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"36.5";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.3";"";"";"";"";"";"";
"06.07.2017 08:30";"30.0";"745.9";"752.8";"";"85";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"27.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"27.2";"";"";"";"";"";"";
"05.07.2017 17:30";"35.2";"743.0";"749.8";"";"56";"Wind blowing from the north-northwest";"1";"";"";"100%.";" ";"";"";"";"36.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.1";"";"";"";"";"";"";
"05.07.2017 08:30";"29.6";"745.1";"752.0";"";"85";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"26.5";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.8";"";"";"";"";"";"";
"04.07.2017 17:30";"34.0";"743.3";"750.1";"";"58";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"34.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.7";"";"";"";"";"";"";
"04.07.2017 08:30";"27.0";"744.8";"751.8";"";"97";"Wind blowing from the north-northwest";"1";"";"";"100%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.4";"";"";"";"";"";"";
"03.07.2017 17:30";"25.0";"743.7";"750.7";"";"100";"Wind blowing from the north-northwest";"1";"";"";"100%.";" ";"";"";"";"28.0";"";"";"2500 or more, or no clouds.";"";"";"4.0";"25.0";"";"";"";"";"";"";
"03.07.2017 08:30";"27.4";"745.8";"752.8";"";"92";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"25.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"02.07.2017 17:30";"26.0";"743.1";"750.1";"";"100";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"27.5";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.0";"";"";"";"";"";"";
"02.07.2017 08:30";"27.0";"744.3";"751.3";"";"95";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"26.2";"";"";"";"";"";"";
"01.07.2017 17:30";"26.0";"740.9";"747.9";"";"92";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"27.0";"";"";"600-1000";"";"";"4.0";"24.6";"";"";"";"";"";"";
"01.07.2017 08:30";"25.4";"";"";"";"96";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"24.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"24.8";"";"";"";"";"";"";
"30.06.2017 17:30";"30.4";"740.7";"747.6";"";"76";"Wind blowing from the south-southeast";"1";"";"";"100%.";" ";"";"";"";"32.5";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.6";"";"";"";"";"";"";
"30.06.2017 08:30";"27.0";"742.5";"749.5";"";"92";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.6";"";"";"";"";"";"";
"29.06.2017 17:30";"31.4";"740.6";"747.4";"";"76";"Wind blowing from the south-southeast";"1";"";"";"100%.";" ";"";"";"";"33.5";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.7";"";"";"";"";"";"";
"29.06.2017 08:30";"28.4";"743.2";"750.1";"";"89";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"27.6";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.4";"";"";"";"";"";"";
"28.06.2017 17:30";"31.0";"";"";"";"75";"Wind blowing from the south-southeast";"1";"";"";"50%.";" ";"";"";"";"34.5";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.0";"";"";"";"";"";"";
"28.06.2017 08:30";"29.0";"743.1";"750.0";"";"85";"Wind blowing from the south-southeast";"1";"";"";"70 – 80%.";" ";"";"";"27.2";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.2";"";"";"";"";"";"";
"27.06.2017 17:30";"33.0";"741.9";"748.7";"";"63";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"";"33.5";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.1";"";"";"";"";"";"";
"27.06.2017 08:30";"27.0";"";"751.3";"";"92";"Wind blowing from the south-southeast";"1";"";"";"100%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.6";"";"";"";"";"";"";
"26.06.2017 17:30";"34.4";"";"748.2";"";"59";"Wind blowing from the south-southeast";"1";"";"";"100%.";" ";"";"";"";"35.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.4";"";"";"";"";"";"";
"26.06.2017 08:30";"29.0";"";"751.1";"";"92";"Wind blowing from the south-southeast";"1";"";"";"100%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"27.6";"";"";"";"";"";"";
"25.06.2017 17:30";"37.0";"";"747.4";"";"45";"Wind blowing from the south-southeast";"1";"";"";"100%.";" ";"";"";"";"38.5";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.3";"";"";"";"";"";"";
"25.06.2017 08:30";"31.0";"";"750.6";"";"74";"Wind blowing from the north-northwest";"1";"";"";"20–30%.";" ";"";"";"26.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.8";"";"";"";"";"";"";
"24.06.2017 17:30";"36.4";"";"748.0";"";"48";"Wind blowing from the north-northeast";"1";"";"";"50%.";" ";"";"";"";"37.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.6";"";"";"";"";"";"";
"24.06.2017 08:30";"28.0";"";"751.9";"";"80";"Wind blowing from the north-northeast";"1";"";"";"70 – 80%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.3";"";"";"";"";"";"";
"23.06.2017 17:30";"38.4";"";"749.2";"";"36";"Wind blowing from the north-northwest";"1";"";"";"70 – 80%.";" ";"";"";"";"39.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"20.8";"";"";"";"";"";"";
"23.06.2017 08:30";"32.0";"";"754.0";"";"63";"Wind blowing from the south-southwest";"1";"";"";"70 – 80%.";" ";"";"";"29.5";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.0";"";"";"";"";"";"";
"22.06.2017 17:30";"38.0";"";"750.3";"";"44";"Wind blowing from the south-southeast";"1";"";"";"50%.";" ";"";"";"";"38.5";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.8";"";"";"";"";"";"";
"22.06.2017 08:30";"32.0";"";"753.7";"";"66";"Wind blowing from the north-northwest";"1";"";"";"20–30%.";" ";"";"";"29.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.9";"";"";"";"";"";"";
"21.06.2017 17:30";"37.4";"";"750.2";"";"44";"Wind blowing from the south-southeast";"1";"";"";"70 – 80%.";" ";"";"";"";"39.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.1";"";"";"";"";"";"";
"21.06.2017 08:30";"32.4";"";"752.7";"";"64";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"30.0";"";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"20.06.2017 17:30";"38.4";"";"749.3";"";"40";"Wind blowing from the south-southeast";"1";"";"";"50%.";" ";"";"";"";"39.6";"";"";"2500 or more, or no clouds.";"";"";"10.0";"22.6";"";"";"";"";"";"";
"20.06.2017 08:30";"32.0";"746.2";"753.1";"";"60";"Wind blowing from the south-southwest";"1";"";"";"70 – 80%.";" ";"";"";"29.8";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.3";"";"";"";"";"";"";
"19.06.2017 17:30";"39.0";"743.1";"749.8";"";"34";"Wind blowing from the south-southwest";"1";"";"";"70 – 80%.";" ";"";"";"";"40.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"20.5";"";"";"";"";"";"";
"19.06.2017 08:30";"32.4";"746.3";"753.2";"";"60";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"29.5";"";"";"";"";"";"";"10.0";"23.8";"";"";"";"";"";"";
"15.06.2017 17:30";"40.0";"744.9";"751.6";"";"37";"Wind blowing from the north-northeast";"1";"";"";"50%.";" ";"";"";"";"40.6";"";"";"2500 or more, or no clouds.";"";"";"10.0";"22.9";"";"";"";"";"";"";
"15.06.2017 08:30";"32.4";"748.5";"755.4";"";"64";"Wind blowing from the south-southwest";"1";"";"";"50%.";" ";"";"";"30.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.7";"";"";"";"";"";"";
"14.06.2017 17:30";"40.4";"745.3";"752.0";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"41.0";"";"";"";"";"";"10.0";"23.4";"";"";"";"";"";"";
"14.06.2017 08:30";"32.4";"748.1";"755.0";"";"64";"Wind blowing from the south-southwest";"1";"";"";"50%.";" ";"";"";"30.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.7";"";"";"";"";"";"";
"13.06.2017 17:30";"40.4";"743.2";"749.9";"";"38";"Wind blowing from the north-northwest";"1";"";"";"50%.";" ";"";"";"";"40.8";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.4";"";"";"";"";"";"";
"13.06.2017 08:30";"32.0";"746.1";"753.0";"";"66";"Wind blowing from the north-northeast";"1";"";"";"20–30%.";" ";"";"";"28.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.9";"";"";"";"";"";"";
"12.06.2017 17:30";"41.0";"742.1";"748.7";"";"38";"Wind blowing from the north-northeast";"1";"";"";"20–30%.";" ";"";"";"";"41.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.2";"";"";"";"";"";"";
"12.06.2017 08:30";"32.4";"746.2";"753.1";"";"58";"Wind blowing from the north-northwest";"1";"";"";"20–30%.";" ";"";"";"25.8";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.2";"";"";"";"";"";"";
"10.06.2017 17:30";"36.4";"743.2";"750.0";"";"53";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"10.06.2017 08:30";"26.0";"747.0";"754.0";"";"92";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.6";"";"";"";"";"";"";
"09.06.2017 17:30";"40.0";"742.9";"749.6";"";"35";"Wind blowing from the south-southwest";"1";"";"";"50%.";" ";"";"";"";"40.5";"";"";"2500 or more, or no clouds.";"";"";"10.0";"21.8";"";"";"";"";"";"";
"09.06.2017 08:30";"32.4";"747.8";"754.7";"";"67";"Wind blowing from the north-northeast";"1";"";"";"50%.";" ";"";"";"29.5";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.4";"";"";"";"";"";"";
"08.06.2017 17:30";"39.4";"744.4";"751.1";"";"37";"Wind blowing from the north-northwest";"1";"";"";"50%.";" ";"";"";"";"40.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"22.1";"";"";"";"";"";"";
"08.06.2017 08:30";"30.2";"749.1";"756.0";"";"69";"Wind blowing from the south-southwest";"1";"";"";"100%.";" ";"";"";"30.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.0";"";"";"";"";"";"";
"07.06.2017 17:30";"39.4";"745.2";"751.9";"";"39";"Wind blowing from the north-northeast";"1";"";"";"50%.";" ";"";"";"";"40.4";"";"";"2500 or more, or no clouds.";"";"";"10.0";"23.2";"";"";"";"";"";"";
"07.06.2017 08:30";"33.0";"749.6";"756.5";"";"61";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"30.0";"";"";"";"";"";"";"10.0";"24.5";"";"";"";"";"";"";
"06.06.2017 17:30";"40.0";"745.6";"752.3";"";"39";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"";"40.8";"";"";"";"";"";"10.0";"23.6";"";"";"";"";"";"";
"06.06.2017 08:30";"34.4";"748.9";"755.8";"";"56";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"30.5";"";"";"";"";"";"";"10.0";"24.5";"";"";"";"";"";"";
"05.06.2017 17:30";"41.0";"744.9";"751.6";"";"34";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"";"41.5";"";"";"";"";"";"10.0";"22.4";"";"";"";"";"";"";
"05.06.2017 08:30";"33.4";"748.3";"755.2";"";"65";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"30.2";"";"";"";"";"";"";"10.0";"25.9";"";"";"";"";"";"";
"03.06.2017 17:30";"43.0";"743.6";"750.2";"";"34";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"";"43.3";"";"";"";"";"";"10.0";"23.9";"";"";"";"";"";"";
"03.06.2017 08:30";"34.4";"747.8";"754.6";"";"56";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"32.0";"";"";"";"";"";"";"10.0";"24.5";"";"";"";"";"";"";
"02.06.2017 17:30";"42.4";"743.9";"750.5";"";"32";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"43.0";"";"";"";"";"";"10.0";"22.4";"";"";"";"";"";"";
"02.06.2017 08:30";"35.0";"746.9";"753.7";"";"53";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"32.0";"";"";"";"";"";"";"10.0";"24.2";"";"";"";"";"";"";
