# Weather station Gandhinagar, India, WMO_ID=42654,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42654&lang=en
#
"Local time in Gandhinagar";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"17.12.2017 17:30";"25.4";"756.7";"763.8";"";"47";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"10.0";"13.4";"";"";"";"";"";"";
"17.12.2017 08:30";"18.4";"758.8";"766.1";"";"51";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"10.0";"7.9";"";"";"";"";"";"";
"16.12.2017 17:30";"24.6";"756.2";"763.3";"";"43";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"26.8";"";"";"";"";"";"10.0";"11.1";"";"";"";"";"";"";
"16.12.2017 08:30";"18.0";"758.2";"765.5";"";"62";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"15.12.2017 17:30";"25.6";"755.4";"762.5";"";"61";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"15.12.2017 08:30";"18.0";"756.8";"764.1";"";"67";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"11.8";"";"";"";"";"";"";
"14.12.2017 17:30";"24.4";"754.7";"761.8";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"14.12.2017 08:30";"16.0";"756.9";"764.3";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"10.0";"11.2";"";"";"";"";"";"";
"13.12.2017 17:30";"24.4";"752.9";"760.0";"";"42";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.3";"";"";"";"";"";"10.0";"10.7";"";"";"";"";"";"";
"13.12.2017 08:30";"14.4";"756.5";"763.9";"";"74";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"10.0";"";"";"";"";"";"";"10.0";"9.8";"";"";"";"";"";"";
"12.12.2017 17:30";"24.0";"753.5";"760.6";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"12.12.2017 08:30";"16.0";"755.6";"763.0";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"11.12.2017 17:30";"25.0";"752.9";"760.0";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"27.5";"";"";"";"";"";"10.0";"15.0";"";"";"";"";"";"";
"11.12.2017 08:30";"21.4";"754.5";"761.7";"";"79";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"10.0";"17.5";"";"";"";"";"";"";
"10.12.2017 17:30";"29.0";"752.2";"759.2";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"10.0";"16.9";"";"";"";"";"";"";
