# Weather station Dharmapuri, India, WMO_ID=43301,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43301&lang=en
#
"Local time in Dharmapuri";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"27.8";"717.0";"755.9";"";"42";"Wind blowing from the east-northeast";"1";"";"";"20–30%.";" ";"";"";"";"30.0";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.7";"";"";"";"";"";"";
"31.12.2017 08:30";"21.8";"720.9";"760.9";"";"78";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"17.0";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"2.0";"17.8";"";"";"";"";"";"";
"30.12.2017 17:30";"27.4";"717.4";"756.3";"";"50";"Wind blowing from the east-northeast";"1";"";"";"40%.";" ";"";"";"";"29.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.1";"";"";"";"";"";"";
"30.12.2017 08:30";"21.4";"721.7";"761.7";"";"77";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"16.5";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.2";"";"";"";"";"";"";
"29.12.2017 17:30";"26.8";"718.3";"757.4";"";"52";"Wind blowing from the east-northeast";"2";"";"";"20–30%.";" ";"";"";"";"28.2";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.1";"";"";"";"";"";"";
"29.12.2017 08:30";"19.4";"721.8";"762.1";"";"74";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"16.0";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.6";"";"";"";"";"";"";
"28.12.2017 17:30";"26.2";"718.0";"757.2";"";"46";"Wind blowing from the east";"2";"";"";"10%  or less, but not 0";" ";"";"";"";"28.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.7";"";"";"";"";"";"";
"28.12.2017 08:30";"20.2";"721.5";"761.6";"";"78";"Wind blowing from the north-northeast";"1";"";"";"20–30%.";" ";"";"";"17.0";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.2";"";"";"";"";"";"";
"27.12.2017 17:30";"27.2";"718.0";"757.0";"";"44";"Wind blowing from the east";"1";"";"";"10%  or less, but not 0";" ";"";"";"";"28.7";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.8";"";"";"";"";"";"";
"27.12.2017 08:30";"20.4";"722.0";"762.1";"";"84";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"17.2";"";"Cumulus mediocris or congestus, with or without Cumulus of species fractus or humilis or Stratocumulus, all having their bases at the same level.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.5";"";"";"";"";"";"";
