# Weather station Thanjavur, India, WMO_ID=43330,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43330&lang=en
#
"Local time in Thanjavur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"23.12.2017 08:30";"24.2";"756.0";"762.2";"";"85";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.5";"";"";"";"";"";"";
"22.12.2017 17:30";"26.8";"754.0";"760.0";"";"78";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"28.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.7";"";"";"";"";"";"";
"22.12.2017 08:30";"23.8";"756.5";"762.8";"";"85";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"22.2";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.1";"";"";"";"";"";"";
"21.12.2017 17:30";"24.2";"754.0";"760.2";"";"90";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"26.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.5";"";"";"";"";"";"";
"21.12.2017 08:30";"23.2";"756.9";"763.1";"";"81";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"22.2";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.8";"";"";"";"";"";"";
"20.12.2017 17:30";"27.0";"753.9";"760.1";"";"77";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"28.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"20.12.2017 08:30";"24.6";"756.4";"762.6";"";"81";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"24.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.2";"";"";"";"";"";"";
"19.12.2017 17:30";"25.6";"754.0";"760.3";"";"84";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"";"27.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"19.12.2017 08:30";"23.8";"756.1";"762.4";"";"85";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.1";"";"";"";"";"";"";
"18.12.2017 17:30";"26.8";"753.9";"760.1";"";"82";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"28.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"18.12.2017 08:30";"24.2";"756.6";"762.8";"";"81";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.8";"";"";"";"";"";"";
"17.12.2017 17:30";"29.0";"753.2";"759.4";"";"71";"Wind blowing from the north-east";"2";"";"";"50%.";" ";"";"";"";"30.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"17.12.2017 08:30";"25.2";"756.1";"762.4";"";"82";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"24.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.9";"";"";"";"";"";"";
"16.12.2017 17:30";"28.2";"751.9";"758.1";"";"74";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"29.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"16.12.2017 08:30";"25.2";"754.6";"760.9";"";"87";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"24.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"15.12.2017 17:30";"28.0";"752.4";"758.5";"";"74";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"29.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"15.12.2017 08:30";"25.2";"754.3";"760.5";"";"87";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"24.2";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"14.12.2017 17:30";"28.8";"752.1";"758.2";"";"71";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"30.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"14.12.2017 08:30";"25.2";"754.0";"760.2";"";"87";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"24.2";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"13.12.2017 17:30";"29.2";"751.8";"757.9";"";"68";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"30.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"13.12.2017 08:30";"26.2";"754.2";"760.4";"";"86";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.6";"";"";"";"";"";"";
"12.12.2017 17:30";"29.2";"751.6";"757.8";"";"68";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"30.0";"Stratocumulus cumulogenitus.";"50%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"12.12.2017 08:30";"26.2";"753.9";"760.1";"";"83";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"50%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"11.12.2017 17:30";"29.2";"751.1";"757.3";"";"70";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"";"30.0";"Stratocumulus cumulogenitus.";"40%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"11.12.2017 08:30";"35.0";"754.3";"760.5";"";"49";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"24.6";"";"Stratocumulus cumulogenitus.";"50%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
"10.12.2017 17:30";"29.0";"750.7";"756.8";"";"74";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"30.0";"Stratocumulus cumulogenitus.";"50%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"10.12.2017 08:30";"25.2";"754.0";"760.3";"";"87";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.9";"";"";"";"";"";"";
"09.12.2017 17:30";"29.0";"751.0";"757.2";"";"71";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"30.0";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.2";"";"";"";"";"";"";
"09.12.2017 08:30";"25.0";"754.1";"760.3";"";"81";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"24.2";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.6";"";"";"";"";"";"";
"08.12.2017 17:30";"28.2";"751.0";"757.1";"";"78";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"29.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"08.12.2017 08:30";"24.2";"753.8";"760.0";"";"87";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"1500-2000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.8";"";"";"";"";"";"";
"07.12.2017 17:30";"";"750.5";"756.7";"";"";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"29.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"50%.";"1500-2000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"07.12.2017 08:30";"25.2";"753.4";"759.7";"";"82";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"24.6";"";"Stratocumulus cumulogenitus.";"50%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.9";"";"";"";"";"";"";
"06.12.2017 17:30";"28.2";"750.8";"757.0";"";"78";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"29.0";"Stratocumulus cumulogenitus.";"40%.";"1500-2000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"06.12.2017 08:30";"25.6";"754.0";"760.3";"";"87";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"50%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.3";"";"";"";"";"";"";
"05.12.2017 17:30";"27.2";"750.6";"756.7";"";"83";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"28.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.0";"";"";"";"";"";"";
"05.12.2017 08:30";"25.2";"754.0";"760.2";"";"84";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"24.2";"";"Stratocumulus cumulogenitus.";"50%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.2";"";"";"";"";"";"";
"04.12.2017 17:30";"26.2";"751.2";"757.4";"";"87";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"27.0";"Stratocumulus cumulogenitus.";"60%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"04.12.2017 08:30";"24.6";"754.1";"760.3";"";"95";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.7";"";"";"";"";"";"";
"03.12.2017 17:30";"25.6";"751.8";"758.0";"";"89";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"26.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.7";"";"";"";"";"";"";
"03.12.2017 08:30";"24.2";"754.3";"760.6";"";"87";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"23.8";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.8";"";"";"";"";"";"";
"02.12.2017 17:30";"24.0";"751.7";"758.0";"";"90";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"26.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"Altostratus opacus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.2";"";"";"";"";"";"";
"02.12.2017 08:30";"25.2";"754.4";"760.6";"";"88";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"24.0";"";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"01.12.2017 08:30";"26.6";"754.0";"760.2";"";"83";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"25.6";"";"Stratocumulus cumulogenitus.";"20–30%.";"1500-2000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"30.11.2017 08:30";"25.6";"754.5";"760.7";"";"87";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.3";"";"";"";"";"";"";
"29.11.2017 17:30";"25.2";"751.2";"753.7";"";"91";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"26.0";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.7";"";"";"";"";"";"";
"29.11.2017 08:30";"24.2";"754.4";"760.6";"";"95";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"23.6";"";"Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.3";"";"";"";"";"";"";
"28.11.2017 17:30";"26.6";"751.3";"757.5";"";"83";"Wind blowing from the north-east";"2";"";"";"70 – 80%.";" ";"";"";"";"27.5";"Stratocumulus cumulogenitus.";"70 – 80%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"28.11.2017 08:30";"24.2";"754.1";"760.3";"";"93";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"24.0";"";"Stratocumulus cumulogenitus.";"90  or more, but not 100%";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"27.11.2017 17:30";"25.6";"751.1";"757.3";"";"90";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"26.5";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"27.11.2017 08:30";"25.6";"754.3";"760.6";"";"86";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"25.0";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"26.11.2017 17:30";"26.2";"751.0";"757.2";"";"87";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"27.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.9";"";"";"";"";"";"";
"26.11.2017 08:30";"24.2";"754.5";"760.7";"";"85";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"23.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.5";"";"";"";"";"";"";
"25.11.2017 17:30";"28.6";"750.6";"756.7";"";"72";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"29.0";"Stratocumulus cumulogenitus.";"60%.";"1500-2000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.1";"";"";"";"";"";"";
"25.11.2017 08:30";"26.2";"754.1";"760.3";"";"83";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"25.6";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.0";"";"";"";"";"";"";
"24.11.2017 17:30";"28.4";"750.8";"755.5";"";"78";"Wind blowing from the north-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"";"29.0";"Stratocumulus cumulogenitus.";"90  or more, but not 100%";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"24.11.2017 08:30";"26.6";"754.0";"760.2";"";"85";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"26.0";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.8";"";"";"";"";"";"";
"23.11.2017 17:30";"29.0";"750.5";"756.7";"";"74";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"30.0";"Stratocumulus cumulogenitus.";"50%.";"1500-2000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.8";"";"";"";"";"";"";
"23.11.2017 08:30";"26.6";"753.1";"759.4";"";"83";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"25.6";"";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altostratus translucidus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"23.4";"";"";"";"";"";"";
"22.11.2017 17:30";"27.6";"750.1";"756.3";"";"81";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"";"28.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"24.1";"";"";"";"";"";"";
"22.11.2017 08:30";"27.2";"753.3";"759.5";"";"77";"Wind blowing from the north-east";"1";"";"";"70 – 80%.";" ";"";"";"26.2";"";"Stratocumulus cumulogenitus.";"50%.";"1500-2000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.8";"";"";"";"";"";"";
