# Weather station Thanjavur, India, WMO_ID=43330,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43330&lang=en
#
"Local time in Thanjavur";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 08:30";"24.0";"755.2";"761.4";"";"83";"Wind blowing from the east-northeast";"1";"";"";"50%.";" ";"";"";"24.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"30.12.2017 17:30";"28.0";"751.9";"758.1";"";"71";"Wind blowing from the east-northeast";"1";"";"";"50%.";" ";"";"";"";"29.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"30.12.2017 08:30";"23.8";"755.1";"761.4";"";"91";"Wind blowing from the east-northeast";"1";"";"";"50%.";" ";"";"";"23.0";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"29.12.2017 17:30";"27.0";"752.0";"762.0";"";"76";"Wind blowing from the east-northeast";"1";"";"";"50%.";" ";"";"";"";"28.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.3";"";"";"";"";"";"";
"29.12.2017 08:30";"24.0";"755.0";"761.2";"";"90";"Wind blowing from the east-northeast";"1";"";"";"50%.";" ";"";"";"23.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.2";"";"";"";"";"";"";
"28.12.2017 17:30";"27.0";"752.1";"758.3";"";"77";"Wind blowing from the east-northeast";"1";"";"";"50%.";" ";"";"";"";"28.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"28.12.2017 08:30";"23.0";"755.1";"761.3";"";"78";"Wind blowing from the east-northeast";"1";"";"";"50%.";" ";"";"";"22.6";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.9";"";"";"";"";"";"";
"27.12.2017 17:30";"27.4";"751.9";"758.0";"";"71";"Wind blowing from the east-northeast";"1";"";"";"50%.";" ";"";"";"";"28.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.7";"";"";"";"";"";"";
"27.12.2017 08:30";"23.8";"754.9";"761.1";"";"83";"Wind blowing from the east-northeast";"1";"";"";"60%.";" ";"";"";"23.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"20.7";"";"";"";"";"";"";
"26.12.2017 17:30";"27.0";"752.4";"758.6";"";"76";"Wind blowing from the north-east";"2";"";"";"60%.";" ";"";"";"";"28.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.5";"";"";"";"";"";"";
"26.12.2017 08:30";"24.0";"754.5";"760.7";"";"83";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.4";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"25.12.2017 17:30";"27.0";"752.1";"758.3";"";"77";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"";"28.0";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
"25.12.2017 08:30";"24.0";"754.6";"761.1";"";"83";"Wind blowing from the north-east";"1";"";"";"60%.";" ";"";"";"23.2";"";"Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.0";"";"";"";"";"";"";
"24.12.2017 17:30";"27.2";"751.6";"757.8";"";"76";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"28.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.5";"";"";"";"";"";"";
"24.12.2017 08:30";"24.2";"754.1";"760.3";"";"85";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"23.2";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"21.5";"";"";"";"";"";"";
"23.12.2017 17:30";"27.0";"752.1";"757.6";"";"77";"Wind blowing from the north-east";"1";"";"";"50%.";" ";"";"";"";"28.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"22.6";"";"";"";"";"";"";
