# Weather station Malegaon, India, WMO_ID=42925,selection from 28.05.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42925&lang=en
#
"Local time in Malegaon";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"26.2";"719.6";"756.4";"";"44";"Wind blowing from the west";"0";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"10.0";"12.9";"";"";"";"";"";"";
"31.12.2017 08:30";"14.2";"723.7";"762.3";"";"70";"";"";"";"";"";" ";"";"";"11.8";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"8.7";"";"";"";"";"";"";
"30.12.2017 17:30";"25.6";"721.3";"758.3";"";"45";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"10.0";"12.9";"";"";"";"";"";"";
"30.12.2017 08:30";"13.6";"723.7";"762.4";"";"69";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"10.8";"";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"29.12.2017 17:30";"26.2";"721.4";"758.3";"";"36";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"10.0";"10.1";"";"";"";"";"";"";
"29.12.2017 08:30";"12.6";"723.6";"762.4";"";"72";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"10.4";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"28.12.2017 17:30";"26.2";"721.4";"758.3";"";"36";"";"";"";"";"";" ";"";"";"";"28.6";"";"";"2500 or more, or no clouds.";"";"";"10.0";"10.1";"";"";"";"";"";"";
"28.12.2017 08:30";"13.2";"724.2";"763.0";"";"69";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"27.12.2017 17:30";"26.0";"722.7";"759.7";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"10.0";"12.6";"";"";"";"";"";"";
"27.12.2017 08:30";"13.2";"724.8";"763.6";"";"69";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"10.5";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"26.12.2017 17:30";"25.2";"722.5";"759.6";"";"45";"";"";"";"";"";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"12.4";"";"";"";"";"";"";
"26.12.2017 08:30";"15.0";"725.9";"764.5";"";"70";"Wind blowing from the west";"0";"";"";"no clouds";" ";"";"";"11.6";"";"";"";"";"";"";"4.0";"9.6";"";"";"";"";"";"";
"25.12.2017 17:30";"27.8";"721.1";"757.8";"";"47";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"25.12.2017 08:30";"15.2";"724.2";"762.7";"";"75";"Wind blowing from the west";"0";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"24.12.2017 17:30";"26.0";"721.1";"758.0";"";"46";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"13.5";"";"";"";"";"";"";
"24.12.2017 08:30";"14.6";"723.6";"762.1";"";"76";"";"";"";"";"";" ";"";"";"10.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"10.4";"";"";"";"";"";"";
"23.12.2017 08:30";"14.2";"724.8";"763.4";"";"74";"";"";"";"";"";" ";"";"";"11.3";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"9.6";"";"";"";"";"";"";
"22.12.2017 17:30";"25.2";"723.4";"760.5";"";"47";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"10.0";"13.2";"";"";"";"";"";"";
"22.12.2017 08:30";"16.2";"726.3";"764.8";"";"62";"Wind blowing from the west";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"8.8";"";"";"";"";"";"";
"21.12.2017 17:30";"27.2";"724.1";"761.0";"";"39";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"10.0";"12.0";"";"";"";"";"";"";
"21.12.2017 08:30";"14.2";"727.2";"766.0";"";"57";"Wind blowing from the west";"0";"";"";"no clouds";" ";"";"";"11.8";"";"";"";"";"";"";"4.0";"5.8";"";"";"";"";"";"";
"20.12.2017 08:30";"16.2";"726.6";"765.1";"";"68";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"19.12.2017 17:30";"25.2";"724.1";"761.2";"";"36";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"27.2";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"19.12.2017 08:30";"14.6";"";"";"";"68";"";"";"";"";"";" ";"";"";"12.0";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"8.7";"";"";"";"";"";"";
