# Weather station Malegaon, India, WMO_ID=42925,selection from 28.05.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42925&lang=en
#
"Local time in Malegaon";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"18.12.2017 17:30";"25.0";"724.6";"761.8";"";"50";"Wind blowing from the east";"";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"13.8";"";"";"";"";"";"";
"18.12.2017 08:30";"18.2";"727.5";"765.7";"";"71";"Wind blowing from the west";"0";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"17.12.2017 17:30";"27.2";"724.0";"760.9";"";"40";"Wind blowing from the east";"";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"12.5";"";"";"";"";"";"";
"17.12.2017 08:30";"17.6";"727.1";"765.4";"";"80";"Wind blowing from the north";"0";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"16.12.2017 17:30";"26.8";"724.0";"760.9";"";"53";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"10.0";"16.5";"";"";"";"";"";"";
"16.12.2017 08:30";"19.2";"726.4";"764.5";"";"84";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"17.5";"";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"15.12.2017 08:30";"17.4";"724.8";"763.0";"";"78";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"14.12.2017 17:30";"25.6";"721.4";"758.4";"";"61";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"14.12.2017 08:30";"17.0";"725.2";"763.5";"";"82";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"13.12.2017 17:30";"25.4";"721.4";"758.4";"";"61";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"17.4";"";"";"";"";"";"";
"13.12.2017 08:30";"17.2";"724.3";"762.5";"";"82";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"12.12.2017 17:30";"26.4";"721.3";"758.2";"";"53";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"16.1";"";"";"";"";"";"";
"12.12.2017 08:30";"18.2";"724.3";"762.4";"";"77";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"11.12.2017 17:30";"27.6";"721.5";"758.2";"";"58";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"10.0";"18.6";"";"";"";"";"";"";
"11.12.2017 08:30";"18.6";"723.7";"761.7";"";"79";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"10.12.2017 17:30";"26.8";"720.9";"757.7";"";"52";"";"";"";"";"";" ";"";"";"";"29.2";"";"";"2500 or more, or no clouds.";"";"";"10.0";"16.1";"";"";"";"";"";"";
"10.12.2017 08:30";"19.0";"723.9";"761.8";"";"77";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"17.4";"";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"09.12.2017 17:30";"27.6";"720.4";"757.1";"";"54";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"10.0";"17.5";"";"";"";"";"";"";
"09.12.2017 08:30";"20.0";"723.4";"761.2";"";"81";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"18.3";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"08.12.2017 17:30";"27.8";"721.2";"757.9";"";"57";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"10.0";"18.4";"";"";"";"";"";"";
"08.12.2017 08:30";"20.8";"722.9";"760.6";"";"85";"Wind blowing from the west";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"07.12.2017 17:30";"25.0";"714.2";"750.9";"";"76";"";"";"";"";"";" ";"";"";"";"27.8";"";"";"2500 or more, or no clouds.";"";"";"10.0";"20.4";"";"";"";"";"";"";
"06.12.2017 20:30";"26.8";"714.3";"750.7";"";"69";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"10.0";"20.7";"";"";"";"";"";"";
"06.12.2017 17:30";"26.8";"714.3";"750.7";"";"69";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"10.0";"20.7";"";"";"";"";"";"";
"06.12.2017 08:30";"20.0";"720.3";"757.9";"";"81";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"05.12.2017 17:30";"19.0";"718.7";"756.4";"";"88";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"22.4";"";"";"";"";"";"10.0";"17.0";"";"";"";"";"";"";
"05.12.2017 08:30";"20.8";"721.3";"758.9";"";"68";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"14.7";"";"";"";"";"";"";
"04.12.2017 17:30";"27.2";"719.2";"755.8";"";"49";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"04.12.2017 08:30";"18.4";"722.5";"760.5";"";"73";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"03.12.2017 17:30";"26.8";"721.2";"758.0";"";"51";"Wind blowing from the east";"";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"15.7";"";"";"";"";"";"";
"03.12.2017 08:30";"16.6";"723.5";"761.8";"";"74";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"02.12.2017 17:30";"26.6";"720.4";"757.2";"";"47";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"28.4";"";"";"";"";"";"10.0";"14.2";"";"";"";"";"";"";
"02.12.2017 08:30";"16.8";"723.6";"761.8";"";"72";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"01.12.2017 17:30";"26.4";"720.4";"757.2";"";"54";"Wind blowing from the east";"";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"10.0";"16.4";"";"";"";"";"";"";
"01.12.2017 08:30";"16.0";"723.5";"761.8";"";"73";"";"";"";"";"";" ";"";"";"13.6";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"11.2";"";"";"";"";"";"";
"30.11.2017 17:30";"26.8";"720.4";"757.2";"";"52";"";"";"";"";"";" ";"";"";"";"30.4";"";"";"2500 or more, or no clouds.";"";"";"10.0";"16.1";"";"";"";"";"";"";
"30.11.2017 08:30";"16.2";"724.2";"762.5";"";"70";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"29.11.2017 17:30";"27.2";"721.3";"758.1";"";"47";"";"";"";"";"";" ";"";"";"";"30.9";"";"";"2500 or more, or no clouds.";"";"";"10.0";"15.0";"";"";"";"";"";"";
"29.11.2017 08:30";"16.6";"723.8";"762.1";"";"71";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"28.11.2017 17:30";"26.2";"720.2";"757.0";"";"54";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"10.0";"16.1";"";"";"";"";"";"";
"28.11.2017 08:30";"16.6";"723.5";"761.8";"";"72";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"27.11.2017 17:30";"26.0";"721.2";"758.1";"";"49";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"27.11.2017 08:30";"15.6";"723.8";"762.2";"";"75";"Wind blowing from the west";"0";"";"";"no clouds";" ";"";"";"13.5";"";"";"";"";"";"";"4.0";"11.1";"";"";"";"";"";"";
"26.11.2017 17:30";"27.2";"721.5";"758.3";"";"50";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"15.8";"";"";"";"";"";"";
"26.11.2017 08:30";"17.2";"725.3";"763.6";"";"78";"Wind blowing from the west";"0";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"25.11.2017 17:30";"27.2";"721.4";"758.2";"";"54";"Wind blowing from the north";"0";"";"";"no clouds";" ";"";"";"";"29.7";"";"";"";"";"";"10.0";"17.0";"";"";"";"";"";"";
"25.11.2017 08:30";"17.2";"723.7";"761.9";"";"80";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"24.11.2017 08:30";"18.4";"724.3";"762.3";"";"84";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"23.11.2017 17:30";"28.2";"719.6";"756.1";"";"67";"";"";"";"";"";" ";"";"";"";"30.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"21.6";"";"";"";"";"";"";
"23.11.2017 08:30";"18.4";"722.4";"760.3";"";"83";"";"";"";"";"";" ";"";"";"16.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"15.4";"";"";"";"";"";"";
"22.11.2017 17:30";"28.2";"720.0";"756.6";"";"38";"";"";"";"";"";" ";"";"";"";"29.4";"";"";"2500 or more, or no clouds.";"";"";"10.0";"12.6";"";"";"";"";"";"";
"22.11.2017 08:30";"18.4";"722.4";"760.3";"";"83";"";"";"";"";"";" ";"";"";"16.2";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"15.4";"";"";"";"";"";"";
"21.11.2017 08:30";"23.2";"723.3";"760.7";"";"75";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"4.0";"18.5";"";"";"";"";"";"";
"20.11.2017 17:30";"26.2";"721.4";"758.3";"";"66";"Wind blowing from the east";"";"";"";"no clouds";" ";"";"";"";"27.4";"";"";"";"";"";"10.0";"19.4";"";"";"";"";"";"";
"20.11.2017 08:30";"21.2";"724.0";"761.7";"";"77";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"17.8";"";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"19.11.2017 17:30";"27.0";"720.3";"757.0";"";"51";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"16.0";"";"";"";"";"";"";
"19.11.2017 08:30";"18.4";"723.6";"761.6";"";"70";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"18.11.2017 17:30";"27.2";"720.4";"757.1";"";"50";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"15.8";"";"";"";"";"";"";
"18.11.2017 08:30";"18.2";"722.7";"760.7";"";"70";"";"";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"17.11.2017 17:30";"27.8";"719.6";"756.2";"";"47";"Wind blowing from the south";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"17.11.2017 08:30";"16.8";"722.1";"760.2";"";"68";"";"";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"16.11.2017 17:30";"27.2";"719.7";"756.4";"";"41";"";"";"";"";"";" ";"";"";"";"29.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"12.9";"";"";"";"";"";"";
"16.11.2017 08:30";"16.8";"721.9";"760.0";"";"74";"";"";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"15.11.2017 17:30";"27.2";"719.5";"756.2";"";"46";"";"";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"15.11.2017 08:30";"17.4";"721.9";"760.0";"";"76";"";"";"";"";"no clouds";" ";"";"";"14.5";"";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"14.11.2017 08:30";"16.8";"721.3";"759.4";"";"75";"";"";"";"";"";" ";"";"";"14.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"12.3";"";"";"";"";"";"";
"13.11.2017 17:30";"26.2";"717.2";"753.9";"";"49";"Wind blowing from the north";"6";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"10.0";"14.5";"";"";"";"";"";"";
"12.11.2017 17:30";"26.8";"720.9";"757.7";"";"59";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"18.0";"";"";"";"";"";"";
"12.11.2017 08:30";"16.8";"722.8";"761.0";"";"72";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"11.11.2017 08:30";"17.2";"723.8";"762.0";"";"74";"Wind blowing from the west";"0";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"10.11.2017 17:30";"28.0";"715.8";"752.2";"";"45";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"14.8";"";"";"";"";"";"";
"10.11.2017 11:30";"18.0";"723.1";"761.1";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"";"13.0";"";"";"";"";"";"";
"10.11.2017 08:30";"18.0";"723.1";"761.1";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"09.11.2017 17:30";"27.8";"721.5";"758.2";"";"56";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"18.1";"";"";"";"";"";"";
"09.11.2017 08:30";"19.2";"723.3";"761.2";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.1";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"08.11.2017 17:30";"28.2";"721.0";"757.6";"";"48";"";"";"";"";"";" ";"";"";"";"32.2";"";"";"2500 or more, or no clouds.";"";"";"10.0";"16.3";"";"";"";"";"";"";
"08.11.2017 08:30";"18.2";"724.2";"762.3";"";"81";"Wind blowing from the west";"0";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"4.0";"14.8";"";"";"";"";"";"";
"07.11.2017 17:30";"27.8";"721.5";"758.2";"";"56";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"18.1";"";"";"";"";"";"";
"07.11.2017 08:30";"18.6";"724.1";"762.1";"";"77";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"06.11.2017 17:30";"28.6";"721.0";"757.6";"";"49";"Wind blowing from the east";"";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"10.0";"16.8";"";"";"";"";"";"";
"06.11.2017 08:30";"18.4";"722.4";"760.3";"";"75";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"05.11.2017 17:30";"28.4";"721.0";"757.6";"";"45";"";"";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"05.11.2017 08:30";"18.2";"724.0";"762.1";"";"77";"Wind blowing from the east";"";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"04.11.2017 17:30";"28.4";"721.0";"757.6";"";"40";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"10.0";"13.7";"";"";"";"";"";"";
"04.11.2017 08:30";"18.0";"723.3";"761.3";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"03.11.2017 17:30";"28.2";"721.0";"757.6";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"10.0";"15.5";"";"";"";"";"";"";
"03.11.2017 08:30";"17.2";"723.2";"761.4";"";"78";"";"";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"02.11.2017 08:30";"17.2";"723.8";"762.0";"";"74";"Wind blowing from the west";"0";"";"";"no clouds";" ";"";"";"15.4";"";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"01.11.2017 17:30";"28.2";"721.3";"757.9";"";"50";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"01.11.2017 08:30";"17.2";"724.1";"762.3";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.2";"";"";"";"";"";"";"4.0";"13.7";"";"";"";"";"";"";
"31.10.2017 17:30";"28.2";"720.4";"757.0";"";"45";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"30.1";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
"31.10.2017 08:30";"18.8";"723.0";"760.9";"";"75";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"30.10.2017 17:30";"28.2";"721.3";"757.9";"";"52";"";"";"";"";"";" ";"";"";"";"32.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"17.5";"";"";"";"";"";"";
"30.10.2017 08:30";"21.2";"724.4";"762.1";"";"";"";"";"";"";"";" ";"";"";"16.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"";"";"";"";"";"";"";
"29.10.2017 17:30";"28.2";"720.4";"757.0";"";"45";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
"29.10.2017 08:30";"19.2";"723.5";"761.4";"";"74";"";"";"";"";"";" ";"";"";"18.5";"";"";"";"2500 or more, or no clouds.";"";"";"4.0";"14.4";"";"";"";"";"";"";
"28.10.2017 17:30";"28.2";"721.6";"758.2";"";"45";"";"";"";"";"";" ";"";"";"";"33.2";"";"";"2500 or more, or no clouds.";"";"";"10.0";"15.1";"";"";"";"";"";"";
"28.10.2017 08:30";"19.6";"723.8";"761.7";"";"78";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"17.6";"";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"27.10.2017 17:30";"28.2";"721.3";"757.9";"";"46";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"10.0";"15.5";"";"";"";"";"";"";
"27.10.2017 08:30";"19.2";"723.5";"761.4";"";"74";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"26.10.2017 17:30";"28.6";"721.1";"757.7";"";"55";"Wind blowing from the south";"";"";"";"no clouds";" ";"";"";"";"34.2";"";"";"";"";"";"10.0";"18.7";"";"";"";"";"";"";
"26.10.2017 08:30";"18.6";"724.0";"762.0";"";"77";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"16.5";"";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"25.10.2017 17:30";"28.8";"722.3";"758.9";"";"49";"";"";"";"";"";" ";"";"";"";"34.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"17.1";"";"";"";"";"";"";
"25.10.2017 08:30";"19.8";"724.5";"762.4";"";"67";"Wind blowing from the west";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"24.10.2017 17:30";"29.8";"719.8";"756.2";"";"56";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"33.4";"";"";"";"";"";"10.0";"20.1";"";"";"";"";"";"";
"24.10.2017 08:30";"18.8";"722.7";"760.6";"";"75";"";"";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"23.10.2017 17:30";"30.0";"719.8";"756.1";"";"61";"Wind blowing from the north";"";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"21.7";"";"";"";"";"";"";
"23.10.2017 08:30";"21.4";"721.2";"758.7";"";"79";"Wind blowing from the west";"";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"4.0";"17.5";"";"";"";"";"";"";
