# Weather station Parbhani, India, WMO_ID=43017,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43017&lang=en
#
"Local time in Parbhani";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"23.12.2017 17:30";"25.0";"723.3";"759.1";"";"50";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"30.0";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"13.8";"";"";"";"";"";"";
"23.12.2017 11:30";"25.2";"725.6";"761.5";"-0.1";"40";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.5";"";"";"";"";"";"";
"23.12.2017 08:30";"14.2";"725.7";"763.0";"";"76";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"11.1";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"10.0";"";"";"";"";"";"";
"22.12.2017 17:30";"25.2";"724.7";"760.6";"";"52";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"30.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1500-2000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"14.5";"";"";"";"";"";"";
"22.12.2017 11:30";"26.2";"727.1";"763.0";"-0.4";"42";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"12.1";"";"";"";"";"";"";
"22.12.2017 08:30";"16.0";"727.5";"764.7";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.5";"";"";"";"";"";"";"10.0";"9.5";"";"";"";"";"";"";
"21.12.2017 17:30";"26.2";"725.4";"761.2";"";"45";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"31.6";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1500-2000";"Altocumulus translucidus in bands, or one or more layers of Altocumulus translucidus or opacus, progressively invading the sky; these Altocumulus clouds generally thicken as a whole.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.3";"";"";"";"";"";"";
"21.12.2017 11:30";"26.4";"728.3";"764.2";"0.1";"37";"Wind blowing from the south-west";"1";"";"";"40%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"10.7";"";"";"";"";"";"";
"21.12.2017 08:30";"14.2";"728.2";"765.7";"";"63";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"10.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1500-2000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"7.3";"";"";"";"";"";"";
"20.12.2017 17:30";"24.4";"725.3";"761.3";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"12.2";"";"";"";"";"";"";
"20.12.2017 11:30";"25.2";"728.2";"764.2";"0.4";"32";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1500-2000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"7.5";"";"";"";"";"";"";
"20.12.2017 08:30";"13.6";"727.8";"765.3";"";"69";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"12.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"60%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"8.0";"";"";"";"";"";"";
"19.12.2017 17:30";"24.2";"725.1";"761.1";"";"37";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"29.5";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"8.6";"";"";"";"";"";"";
"19.12.2017 11:30";"25.2";"728.2";"764.2";"0.2";"26";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"4.5";"";"";"";"";"";"";
"19.12.2017 08:30";"12.6";"728.0";"765.7";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.4";"";"";"";"";"";"";"10.0";"4.8";"";"";"";"";"";"";
"18.12.2017 17:30";"24.4";"725.9";"761.9";"";"51";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"29.5";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"13.5";"";"";"";"";"";"";
"18.12.2017 11:30";"26.8";"728.9";"764.8";"0.3";"43";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.2";"";"";"";"";"";"";
"18.12.2017 08:30";"17.2";"728.6";"765.7";"";"74";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"15.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"12.5";"";"";"";"";"";"";
"17.12.2017 17:30";"26.0";"726.0";"761.8";"";"47";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"30.4";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.9";"";"";"";"";"";"";
"17.12.2017 11:30";"27.2";"728.6";"764.4";"0.2";"41";"Wind blowing from the south-southeast";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"12.9";"";"";"";"";"";"";
"17.12.2017 08:30";"15.6";"728.4";"765.7";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"12.7";"";"";"";"";"";"";
"16.12.2017 17:30";"26.8";"725.0";"760.7";"";"45";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"31.1";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.7";"";"";"";"";"";"";
"16.12.2017 11:30";"28.4";"727.2";"762.8";"-0.5";"43";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.5";"";"";"";"";"";"";
"16.12.2017 08:30";"18.8";"727.7";"764.5";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"10.0";"13.9";"";"";"";"";"";"";
"15.12.2017 17:30";"26.8";"724.9";"760.6";"";"57";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"31.1";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"17.6";"";"";"";"";"";"";
"15.12.2017 11:30";"27.6";"726.6";"762.3";"0.0";"51";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"15.12.2017 08:30";"19.0";"726.6";"763.3";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"15.3";"";"";"";"";"";"";
"14.12.2017 17:30";"27.6";"723.6";"759.1";"";"50";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"32.6";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"16.3";"";"";"";"";"";"";
"14.12.2017 11:30";"29.2";"725.9";"761.4";"0.2";"39";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.9";"";"";"";"";"";"";
"14.12.2017 08:30";"20.2";"725.7";"762.3";"";"71";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"18.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.8";"";"";"";"";"";"";
"13.12.2017 17:30";"27.2";"722.9";"758.4";"";"49";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"33.0";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.4";"";"";"";"";"";"";
"13.12.2017 11:30";"28.8";"725.2";"760.7";"-0.4";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.4";"";"";"";"";"";"";
"13.12.2017 08:30";"19.0";"725.6";"762.3";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"10.0";"12.2";"";"";"";"";"";"";
"12.12.2017 17:30";"26.8";"722.9";"758.5";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.9";"";"";"";"";"";"10.0";"13.7";"";"";"";"";"";"";
"12.12.2017 11:30";"27.2";"725.1";"760.8";"-1.0";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"12.5";"";"";"";"";"";"";
"12.12.2017 08:30";"17.6";"726.1";"763.0";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.5";"";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"11.12.2017 17:30";"26.8";"723.1";"758.7";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"13.7";"";"";"";"";"";"";
"11.12.2017 11:30";"28.2";"725.3";"760.8";"-0.2";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"11.12.2017 08:30";"17.4";"725.5";"762.4";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.1";"";"";"";"";"";"";"10.0";"11.1";"";"";"";"";"";"";
"10.12.2017 17:30";"25.8";"723.0";"758.7";"";"48";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"10.0";"14.0";"";"";"";"";"";"";
"10.12.2017 14:30";"27.2";"725.1";"760.7";"";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.5";"";"";"";"";"";"";
"10.12.2017 11:30";"27.2";"725.1";"760.7";"-0.3";"31";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.5";"";"";"";"";"";"";
"10.12.2017 08:30";"19.2";"725.4";"762.1";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.1";"";"";"";"";"";"";"10.0";"12.0";"";"";"";"";"";"";
"09.12.2017 17:30";"26.6";"721.8";"757.4";"";"58";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"31.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"17.7";"";"";"";"";"";"";
"09.12.2017 08:30";"20.8";"724.8";"761.2";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.4";"";"";"";"";"";"";"10.0";"14.3";"";"";"";"";"";"";
"08.12.2017 17:30";"27.2";"721.5";"757.0";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"16.2";"";"";"";"";"";"";
"08.12.2017 11:30";"28.4";"723.7";"759.1";"-0.3";"39";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.2";"";"";"";"";"";"";
"08.12.2017 08:30";"19.6";"724.0";"760.5";"";"76";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"18.0";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1500-2000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.2";"";"";"";"";"";"";
"07.12.2017 17:30";"27.2";"721.2";"756.7";"";"69";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"31.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"20.9";"";"";"";"";"";"";
"07.12.2017 11:30";"27.2";"723.0";"758.5";"-0.2";"64";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"19.9";"";"";"";"";"";"";
"07.12.2017 08:30";"22.4";"723.2";"759.3";"";"79";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"20.4";"";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"18.6";"";"";"";"";"";"";
"06.12.2017 20:30";"28.2";"720.4";"755.7";"";"62";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.3";"";"";"";"";"";"";
"06.12.2017 17:30";"28.2";"720.4";"755.7";"";"62";"Calm, no wind";"0";"";"";"70 – 80%.";" ";"";"";"";"31.0";"Stratocumulus cumulogenitus.";"50%.";"600-1000";"Altostratus opacus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"20.3";"";"";"";"";"";"";
"06.12.2017 11:30";"28.2";"722.8";"758.2";"-0.5";"59";"Wind blowing from the west";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"19.3";"";"";"";"";"";"";
"06.12.2017 08:30";"21.8";"723.3";"759.5";"";"76";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"16.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"17.3";"";"";"";"";"";"";
"05.12.2017 17:30";"27.2";"719.9";"755.3";"";"51";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"30.5";"Cumulus humilis or Cumulus fractus other than of bad weather, or both.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.2";"";"";"";"";"";"";
"05.12.2017 11:30";"27.2";"722.7";"758.2";"-1.6";"52";"Wind blowing from the south-southwest";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"16.6";"";"";"";"";"";"";
"05.12.2017 08:30";"29.2";"724.3";"759.7";"";"42";"Wind blowing from the south-east";"1";"";"";"50%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"15.1";"";"";"";"";"";"";
"04.12.2017 17:30";"25.2";"721.3";"757.0";"";"60";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"30.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"10.0";"16.8";"";"";"";"";"";"";
"04.12.2017 11:30";"26.8";"724.1";"759.7";"-0.7";"45";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.7";"";"";"";"";"";"";
"04.12.2017 08:30";"17.8";"724.8";"761.6";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"10.0";"12.8";"";"";"";"";"";"";
"03.12.2017 17:30";"24.6";"722.3";"758.1";"";"55";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"29.3";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"40%.";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.9";"";"";"";"";"";"";
"03.12.2017 11:30";"26.2";"724.8";"760.6";"-0.2";"46";"Wind blowing from the south-east";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"13.7";"";"";"";"";"";"";
"03.12.2017 08:30";"17.4";"725.0";"761.9";"";"76";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"10.0";"13.1";"";"";"";"";"";"";
"02.12.2017 17:30";"26.2";"722.3";"757.9";"";"47";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"29.8";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.1";"";"";"";"";"";"";
"02.12.2017 11:30";"27.8";"724.9";"760.5";"-0.3";"40";"Wind blowing from the east-southeast";"1";"";"";"20–30%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"12.8";"";"";"";"";"";"";
"02.12.2017 08:30";"18.8";"725.2";"761.9";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"10.0";"12.0";"";"";"";"";"";"";
"01.12.2017 17:30";"25.4";"721.6";"757.3";"";"50";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"30.8";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.3";"";"";"";"";"";"";
"01.12.2017 11:30";"28.6";"724.1";"759.5";"-0.5";"36";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"20–30%.";"1500-2000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"12.2";"";"";"";"";"";"";
"01.12.2017 08:30";"19.0";"724.6";"761.2";"";"62";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"12.0";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"11.4";"";"";"";"";"";"";
"30.11.2017 17:30";"25.8";"722.2";"757.9";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"10.0";"15.3";"";"";"";"";"";"";
"30.11.2017 11:30";"28.2";"724.8";"760.3";"-0.6";"40";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"13.4";"";"";"";"";"";"";
"30.11.2017 08:30";"18.8";"725.4";"762.1";"";"68";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"12.5";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"12.8";"";"";"";"";"";"";
