# Weather station Parbhani, India, WMO_ID=43017,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43017&lang=en
#
"Local time in Parbhani";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"24.4";"721.5";"757.3";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"10.0";"11.3";"";"";"";"";"";"";
"31.12.2017 11:30";"26.6";"724.8";"760.5";"-0.1";"36";"Wind blowing from the west-southwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"10.2";"";"";"";"";"";"";
"31.12.2017 08:30";"14.0";"724.9";"762.2";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"10.0";"8.9";"";"";"";"";"";"";
"30.12.2017 17:30";"24.0";"722.9";"758.8";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.9";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"30.12.2017 08:30";"11.0";"725.4";"763.1";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.5";"";"";"";"";"";"";"10.0";"5.9";"";"";"";"";"";"";
"29.12.2017 17:30";"25.2";"723.1";"758.9";"";"34";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"8.0";"";"";"";"";"";"";
"29.12.2017 11:30";"26.4";"725.9";"761.7";"0.0";"30";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"7.2";"";"";"";"";"";"";
"29.12.2017 08:30";"12.6";"725.9";"763.5";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.0";"";"";"";"";"";"";"10.0";"7.3";"";"";"";"";"";"";
"28.12.2017 17:30";"23.0";"723.2";"759.3";"";"45";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"";"31.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"10.3";"";"";"";"";"";"";
"28.12.2017 11:30";"26.6";"725.9";"761.7";"-0.7";"28";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.4";"";"";"";"";"";"";
"28.12.2017 08:30";"14.8";"726.6";"763.9";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"8.4";"";"";"";"";"";"";"10.0";"4.5";"";"";"";"";"";"";
"27.12.2017 17:30";"24.2";"723.7";"759.6";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.3";"";"";"";"";"";"10.0";"9.1";"";"";"";"";"";"";
"27.12.2017 11:30";"26.8";"726.2";"762.0";"-0.4";"27";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"6.2";"";"";"";"";"";"";
"27.12.2017 08:30";"14.8";"726.6";"763.9";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"9.5";"";"";"";"";"";"";"10.0";"7.1";"";"";"";"";"";"";
"26.12.2017 17:30";"24.2";"724.3";"760.3";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.9";"";"";"";"";"";"10.0";"13.6";"";"";"";"";"";"";
"26.12.2017 11:30";"25.2";"726.7";"762.7";"0.2";"34";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"8.0";"";"";"";"";"";"";
"26.12.2017 08:30";"14.4";"726.5";"763.8";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"10.0";"9.8";"";"";"";"";"";"";
"25.12.2017 17:30";"25.8";"723.3";"759.0";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"14.4";"";"";"";"";"";"";
"25.12.2017 11:30";"25.8";"725.6";"761.4";"0.4";"41";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"11.4";"";"";"";"";"";"";
"25.12.2017 08:30";"14.4";"725.2";"762.5";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.3";"";"";"";"";"";"";"10.0";"8.9";"";"";"";"";"";"";
"24.12.2017 17:30";"25.2";"722.4";"758.2";"";"47";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"13.1";"";"";"";"";"";"";
"24.12.2017 08:30";"14.0";"725.4";"762.7";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"10.6";"";"";"";"";"";"";"10.0";"8.9";"";"";"";"";"";"";
