# Weather station Amravati, India, WMO_ID=42937,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42937&lang=en
#
"Local time in Amravati";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"28.12.2017 14:30";"29.0";"726.6";"757.6";"-1.5";"40";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.9";"";"";"";"";"";"";
"28.12.2017 11:30";"27.8";"728.1";"759.3";"-1.5";"36";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"28.12.2017 08:30";"17.4";"729.6";"762.0";"";"46";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"4.0";"5.7";"";"";"";"";"";"";
"27.12.2017 17:30";"26.2";"726.7";"758.0";"0.0";"63";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"27.12.2017 14:30";"29.0";"726.7";"757.7";"-2.5";"43";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"27.12.2017 11:30";"27.4";"729.2";"760.5";"-0.3";"45";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"27.12.2017 08:30";"15.2";"729.5";"762.2";"";"56";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"11.2";"";"";"";"";"";"";"4.0";"6.4";"";"";"";"";"";"";
"26.12.2017 17:30";"26.4";"727.4";"758.8";"-0.9";"55";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"28.8";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"26.12.2017 14:30";"28.8";"728.3";"759.4";"-1.6";"45";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"26.12.2017 11:30";"25.4";"729.9";"761.5";"-0.3";"46";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.9";"";"";"";"";"";"";
"26.12.2017 08:30";"16.8";"730.2";"762.7";"";"58";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"8.4";"";"";"";"";"";"";
"25.12.2017 17:30";"27.2";"726.6";"757.8";"0.0";"72";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"4.0";"21.7";"";"";"";"";"";"";
"25.12.2017 14:30";"30.2";"726.6";"757.5";"-1.6";"47";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"25.12.2017 11:30";"27.6";"728.2";"759.5";"-0.4";"51";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"25.12.2017 08:30";"18.0";"728.6";"760.9";"";"63";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"24.12.2017 17:30";"26.6";"725.9";"757.2";"0.1";"75";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"4.0";"21.7";"";"";"";"";"";"";
"24.12.2017 14:30";"30.0";"725.8";"756.7";"-2.4";"50";"Wind blowing from the west-southwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"24.12.2017 11:30";"27.0";"728.2";"759.5";"0.4";"53";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"24.12.2017 08:30";"16.0";"727.8";"760.3";"";"66";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"9.7";"";"";"";"";"";"";
"23.12.2017 17:30";"26.6";"726.6";"757.9";"0.0";"54";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"23.12.2017 14:30";"29.0";"726.6";"757.6";"-1.7";"55";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"23.12.2017 11:30";"26.0";"728.3";"759.7";"-0.4";"48";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"23.12.2017 08:30";"16.4";"728.7";"761.2";"";"78";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"22.12.2017 17:30";"25.8";"728.2";"759.6";"0.0";"74";"Wind blowing from the north-northeast";"1";"";"";"60%.";" ";"";"";"";"28.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"20.8";"";"";"";"";"";"";
"22.12.2017 14:30";"28.2";"728.2";"759.4";"-3.4";"53";"Wind blowing from the north-northwest";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.7";"";"";"";"";"";"";
"22.12.2017 11:30";"26.4";"731.6";"763.1";"0.9";"52";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"22.12.2017 08:30";"18.0";"730.7";"763.1";"";"74";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"21.12.2017 17:30";"26.2";"729.0";"760.4";"0.2";"63";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"4.0";"18.6";"";"";"";"";"";"";
"21.12.2017 14:30";"30.0";"728.8";"759.8";"-2.4";"53";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"21.12.2017 11:30";"27.4";"731.2";"762.6";"-0.3";"52";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"21.12.2017 08:30";"20.6";"731.5";"763.7";"";"62";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"20.12.2017 17:30";"27.0";"728.8";"760.1";"0.0";"61";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"4.0";"18.8";"";"";"";"";"";"";
"20.12.2017 14:30";"31.4";"728.8";"759.7";"-2.4";"52";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.5";"";"";"";"";"";"";
"20.12.2017 11:30";"26.6";"731.2";"762.7";"-0.5";"56";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"20.12.2017 08:30";"18.6";"731.7";"764.1";"";"44";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"12.8";"";"";"";"";"";"";"4.0";"5.9";"";"";"";"";"";"";
"19.12.2017 17:30";"26.8";"728.8";"760.2";"0.0";"52";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"4.0";"16.0";"";"";"";"";"";"";
"19.12.2017 14:30";"30.0";"728.8";"759.8";"-2.4";"48";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.7";"";"";"";"";"";"";
"19.12.2017 11:30";"27.0";"731.2";"762.7";"-0.5";"78";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.8";"";"";"";"";"";"";
"19.12.2017 08:30";"20.2";"731.7";"763.9";"";"44";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"11.6";"";"";"";"";"";"";"4.0";"7.6";"";"";"";"";"";"";
"18.12.2017 17:30";"26.4";"730.3";"761.8";"0.0";"58";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"18.12.2017 14:30";"29.4";"730.3";"761.5";"";"69";"Wind blowing from the north-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.2";"";"";"";"";"";"";
"18.12.2017 08:30";"20.0";"732.0";"764.3";"";"72";"Wind blowing from the east-northeast";"1";"";"";"60%.";" ";"";"";"16.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"14.8";"";"";"";"";"";"";
"17.12.2017 17:30";"27.2";"729.4";"760.8";"-0.1";"76";"Wind blowing from the east-northeast";"1";"";"";"60%.";" ";"";"";"";"29.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.7";"";"";"";"";"";"";
"17.12.2017 14:30";"29.4";"729.5";"760.6";"-2.2";"71";"Wind blowing from the east-southeast";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"23.5";"";"";"";"";"";"";
"17.12.2017 11:30";"27.2";"731.8";"763.3";"-0.3";"66";"Wind blowing from the east-northeast";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"20.4";"";"";"";"";"";"";
"17.12.2017 08:30";"20.4";"732.1";"764.3";"";"74";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"15.6";"";"";"";"";"";"";
"16.12.2017 17:30";"28.0";"727.9";"759.1";"0.0";"73";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"4.0";"22.6";"";"";"";"";"";"";
"16.12.2017 14:30";"29.8";"727.9";"758.9";"-2.4";"67";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.0";"";"";"";"";"";"";
"16.12.2017 11:30";"28.4";"730.3";"761.6";"-0.3";"58";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.4";"";"";"";"";"";"";
"16.12.2017 08:30";"20.6";"730.6";"762.7";"";"71";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"15.12.2017 17:30";"28.2";"727.9";"759.1";"";"70";"Wind blowing from the east-southeast";"1";"";"";"20–30%.";" ";"";"";"";"29.8";"";"";"2500 or more, or no clouds.";"";"";"4.0";"22.2";"";"";"";"";"";"";
"15.12.2017 11:30";"28.2";"729.6";"760.8";"-0.2";"62";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.2";"";"";"";"";"";"";
"15.12.2017 08:30";"20.2";"729.8";"761.9";"";"69";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"14.12.2017 17:30";"28.0";"727.1";"758.3";"-0.1";"70";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"22.0";"";"";"";"";"";"";
"14.12.2017 14:30";"30.2";"727.2";"758.1";"-1.5";"65";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"22.8";"";"";"";"";"";"";
"14.12.2017 11:30";"27.8";"728.7";"760.0";"-0.4";"61";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"14.12.2017 08:30";"21.0";"729.1";"761.1";"";"66";"Wind blowing from the east-northeast";"1";"";"";"60%.";" ";"";"";"16.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"14.4";"";"";"";"";"";"";
"13.12.2017 17:30";"28.4";"726.5";"757.6";"0.1";"69";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"4.0";"22.1";"";"";"";"";"";"";
"13.12.2017 14:30";"30.2";"726.4";"757.3";"-1.7";"69";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.8";"";"";"";"";"";"";
"13.12.2017 11:30";"28.6";"728.1";"759.2";"-0.1";"64";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"13.12.2017 08:30";"22.0";"728.2";"760.1";"";"62";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"12.12.2017 17:30";"28.2";"725.8";"756.9";"-0.1";"71";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"";"30.8";"";"";"";"";"";"4.0";"22.5";"";"";"";"";"";"";
"12.12.2017 14:30";"31.0";"725.9";"756.7";"-2.2";"65";"Wind blowing from the west-southwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.7";"";"";"";"";"";"";
"12.12.2017 11:30";"29.0";"728.1";"759.2";"-0.3";"59";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
"12.12.2017 08:30";"21.4";"728.4";"760.3";"";"63";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"11.12.2017 17:30";"26.2";"726.6";"757.9";"";"83";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"4.0";"23.0";"";"";"";"";"";"";
"11.12.2017 11:30";"28.2";"728.2";"759.4";"-0.3";"47";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"11.12.2017 08:30";"21.0";"728.5";"760.5";"";"58";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"12.2";"";"";"";"";"";"";"4.0";"12.4";"";"";"";"";"";"";
"10.12.2017 14:30";"28.0";"728.1";"759.3";"";"49";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"10.12.2017 11:30";"28.0";"728.1";"759.3";"-0.2";"49";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"10.12.2017 08:30";"20.2";"728.3";"760.4";"";"65";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"14.8";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"09.12.2017 17:30";"29.0";"725.7";"756.7";"0.9";"65";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"31.6";"";"";"";"";"";"4.0";"21.8";"";"";"";"";"";"";
"09.12.2017 14:30";"31.4";"724.8";"755.5";"-3.2";"63";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.6";"";"";"";"";"";"";
"09.12.2017 11:30";"29.2";"728.0";"759.1";"-0.2";"58";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.0";"";"";"";"";"";"";
"09.12.2017 08:30";"22.2";"728.2";"760.0";"";"75";"Wind blowing from the west";"1";"";"";"no clouds";" ";"";"";"19.2";"";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"08.12.2017 17:30";"29.4";"724.2";"755.1";"0.2";"67";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"4.0";"22.6";"";"";"";"";"";"";
"08.12.2017 14:30";"31.0";"724.0";"754.7";"-3.4";"63";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"23.1";"";"";"";"";"";"";
"08.12.2017 11:30";"28.6";"727.4";"758.5";"-0.1";"57";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.3";"";"";"";"";"";"";
"08.12.2017 08:30";"22.2";"727.5";"759.3";"";"67";"Wind blowing from the east-northeast";"1";"";"";"60%.";" ";"";"";"18.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"15.8";"";"";"";"";"";"";
"07.12.2017 17:30";"27.4";"725.0";"756.1";"2.3";"69";"Wind blowing from the east-northeast";"1";"";"";"60%.";" ";"";"";"";"29.4";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"21.3";"";"";"";"";"";"";
"07.12.2017 14:30";"29.6";"722.7";"753.5";"-3.2";"58";"Wind blowing from the east-northeast";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"20.5";"";"";"";"";"";"";
"07.12.2017 11:30";"27.8";"725.9";"757.0";"-0.2";"61";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.5";"";"";"";"";"";"";
"07.12.2017 08:30";"21.4";"726.1";"757.9";"";"73";"Wind blowing from the east-northeast";"1";"";"";"60%.";" ";"";"";"18.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"16.3";"";"";"";"";"";"";
"06.12.2017 20:30";"28.2";"723.4";"754.4";"";"59";"Wind blowing from the east-southeast";"1";"";"";"60%.";" ";"";"";"";"29.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"19.5";"";"";"";"";"";"";
"06.12.2017 17:30";"28.2";"723.4";"754.4";"-0.1";"59";"Wind blowing from the east-southeast";"1";"";"";"60%.";" ";"";"";"";"29.2";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"19.5";"";"";"";"";"";"";
"06.12.2017 14:30";"29.4";"723.5";"754.4";"-2.3";"65";"Wind blowing from the east-southeast";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"22.2";"";"";"";"";"";"";
"06.12.2017 11:30";"27.0";"725.8";"757.0";"-1.0";"62";"Wind blowing from the east-southeast";"1";"";"";"60%.";" ";"";"";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"19.2";"";"";"";"";"";"";
"06.12.2017 08:30";"21.0";"726.8";"758.7";"";"71";"Wind blowing from the east-southeast";"1";"";"";"60%.";" ";"";"";"17.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"15.5";"";"";"";"";"";"";
"05.12.2017 17:30";"26.2";"723.5";"754.7";"0.0";"61";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"2.0";"18.2";"";"";"";"";"";"";
"05.12.2017 14:30";"28.4";"723.5";"754.5";"-2.4";"58";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"19.4";"";"";"";"";"";"";
"05.12.2017 11:30";"26.4";"725.9";"757.2";"-1.0";"60";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.1";"";"";"";"";"";"";
"05.12.2017 08:30";"20.6";"726.9";"758.9";"";"62";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"04.12.2017 17:30";"26.6";"724.3";"755.5";"-0.7";"47";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"04.12.2017 14:30";"29.0";"725.0";"756.0";"-2.8";"60";"Wind blowing from the south-southwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.4";"";"";"";"";"";"";
"04.12.2017 11:30";"26.2";"727.8";"759.2";"0.0";"57";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.1";"";"";"";"";"";"";
"04.12.2017 08:30";"19.2";"727.8";"760.0";"";"62";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"03.12.2017 17:30";"26.2";"725.9";"757.2";"";"70";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"27.8";"";"";"";"";"";"4.0";"20.3";"";"";"";"";"";"";
"03.12.2017 11:30";"26.6";"728.3";"759.7";"-0.3";"47";"Wind blowing from the south-southeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.5";"";"";"";"";"";"";
"03.12.2017 08:30";"18.8";"728.6";"760.8";"";"59";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"13.8";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"02.12.2017 17:30";"26.4";"725.8";"757.1";"0.1";"47";"Wind blowing from the east-southeast";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"02.12.2017 14:30";"28.4";"725.7";"756.8";"-2.6";"61";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"20.1";"";"";"";"";"";"";
