# Weather station Amravati, India, WMO_ID=42937,selection from 01.01.2012 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42937&lang=en
#
"Local time in Amravati";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"27.2";"725.0";"756.2";"-0.2";"52";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"4.0";"16.5";"";"";"";"";"";"";
"31.12.2017 14:30";"29.4";"725.2";"756.1";"-2.3";"46";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"31.12.2017 11:30";"28.0";"727.5";"758.7";"-0.4";"42";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"31.12.2017 08:30";"17.2";"727.9";"760.3";"";"64";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"13.4";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"30.12.2017 17:30";"26.6";"726.6";"757.9";"0.0";"50";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"30.12.2017 14:30";"29.6";"726.6";"757.6";"-1.6";"39";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"30.12.2017 11:30";"28.6";"728.2";"759.4";"-0.5";"37";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"30.12.2017 08:30";"19.2";"728.7";"760.9";"";"46";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"12.4";"";"";"";"";"";"";"4.0";"7.2";"";"";"";"";"";"";
"29.12.2017 17:30";"26.2";"726.6";"757.9";"0.0";"43";"Wind blowing from the north-northeast";"1";"";"";"no clouds";" ";"";"";"";"29.2";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"29.12.2017 14:30";"29.0";"726.6";"757.6";"-1.6";"37";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"29.12.2017 11:30";"28.0";"728.2";"759.4";"-1.3";"36";"Wind blowing from the west-northwest";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.6";"";"";"";"";"";"";
"29.12.2017 08:30";"16.6";"729.5";"762.0";"";"52";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"4.0";"6.7";"";"";"";"";"";"";
"28.12.2017 17:30";"26.6";"725.9";"757.2";"-0.7";"50";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"29.4";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
