# Weather station Sangli, India, WMO_ID=43158,selection from 28.05.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43158&lang=en
#
"Local time in Sangli";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"26.12.2017 08:30";"15.4";"712.5";"759.6";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.7";"";"";"";"";"";"";"10.0";"11.1";"";"";"";"";"";"";
"25.12.2017 17:30";"28.4";"712.2";"757.2";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
"25.12.2017 08:30";"15.4";"714.8";"762.0";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.7";"";"";"";"";"";"";"10.0";"13.0";"";"";"";"";"";"";
"24.12.2017 17:30";"28.2";"711.4";"756.4";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"10.0";"17.2";"";"";"";"";"";"";
"24.12.2017 08:30";"15.4";"714.7";"761.9";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"13.7";"";"";"";"";"";"";"10.0";"11.9";"";"";"";"";"";"";
"23.12.2017 17:30";"28.2";"711.7";"756.7";"";"45";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"";"31.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"15.3";"";"";"";"";"";"";
"23.12.2017 08:30";"16.2";"714.9";"762.0";"";"82";"Calm, no wind";"0";"";"";"10%  or less, but not 0";" ";"";"";"14.6";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"10%  or less, but not 0";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"13.1";"";"";"";"";"";"";
"22.12.2017 17:30";"28.2";"713.2";"758.2";"";"42";"Wind blowing from the south-east";"2";"";"";"20–30%.";" ";"";"";"";"31.4";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"14.1";"";"";"";"";"";"";
"22.12.2017 08:30";"14.4";"716.0";"763.6";"";"79";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"12.7";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"10.0";"10.8";"";"";"";"";"";"";
"21.12.2017 17:30";"28.8";"711.3";"756.2";"";"38";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"13.2";"";"";"";"";"";"";
"21.12.2017 08:30";"14.6";"713.9";"760.4";"";"75";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"12.2";"";"";"";"";"";"";"2.0";"10.2";"";"";"";"";"";"";
"20.12.2017 17:30";"28.0";"713.5";"760.0";"";"44";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"10.0";"14.6";"";"";"";"";"";"";
"20.12.2017 08:30";"14.0";"714.6";"760.9";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"19.12.2017 17:30";"27.0";"713.5";"760.0";"";"43";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"13.3";"";"";"";"";"";"";
"19.12.2017 08:30";"16.2";"712.7";"759.1";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"2.0";"12.8";"";"";"";"";"";"";
"18.12.2017 17:30";"27.0";"713.8";"759.7";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"10.0";"17.9";"";"";"";"";"";"";
"18.12.2017 08:30";"16.2";"714.6";"760.9";"";"93";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"4.0";"15.0";"";"";"";"";"";"";
"17.12.2017 17:30";"28.8";"713.1";"759.8";"";"45";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"15.7";"";"";"";"";"";"";
"17.12.2017 08:30";"20.0";"710.2";"754.9";"";"82";"Wind blowing from the north-east";"1";"";"";"20–30%.";" ";"";"";"17.6";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"16.8";"";"";"";"";"";"";
"16.12.2017 17:30";"28.8";"710.6";"755.5";"";"46";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"16.0";"";"";"";"";"";"";
"16.12.2017 08:30";"19.0";"713.9";"760.4";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"4.0";"16.1";"";"";"";"";"";"";
"15.12.2017 17:30";"29.0";"710.4";"755.3";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.2";"";"";"";"";"";"10.0";"20.5";"";"";"";"";"";"";
"15.12.2017 08:30";"19.2";"713.5";"760.0";"";"76";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"17.2";"";"";"";"";"";"";"2.0";"14.9";"";"";"";"";"";"";
"14.12.2017 17:30";"28.4";"713.8";"759.7";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"19.7";"";"";"";"";"";"";
"14.12.2017 08:30";"18.2";"714.6";"760.9";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"13.12.2017 17:30";"28.4";"712.7";"759.1";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"13.12.2017 08:30";"18.0";"713.9";"760.4";"";"94";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.6";"";"";"";"";"";"";"2.0";"17.0";"";"";"";"";"";"";
"12.12.2017 17:30";"28.4";"710.6";"755.5";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.1";"";"";"";"";"";"10.0";"18.8";"";"";"";"";"";"";
"12.12.2017 08:30";"18.2";"714.2";"760.9";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"11.12.2017 17:30";"28.6";"711.3";"756.2";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"10.0";"17.6";"";"";"";"";"";"";
"11.12.2017 08:30";"18.2";"714.6";"760.9";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.4";"";"";"";"";"";"";"4.0";"15.3";"";"";"";"";"";"";
"10.12.2017 17:30";"27.4";"710.4";"755.3";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.4";"";"";"";"";"";"10.0";"19.7";"";"";"";"";"";"";
"10.12.2017 08:30";"18.0";"713.4";"759.9";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"09.12.2017 17:30";"29.2";"709.5";"754.3";"";"50";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"32.2";"";"";"2500 or more, or no clouds.";"";"";"10.0";"17.7";"";"";"";"";"";"";
"09.12.2017 08:30";"19.2";"713.4";"759.9";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"08.12.2017 17:30";"28.8";"708.5";"753.2";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"4.0";"21.0";"";"";"";"";"";"";
"08.12.2017 08:30";"19.0";"713.1";"759.8";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.1";"";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"07.12.2017 17:30";"27.4";"708.8";"753.6";"";"64";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"";"31.9";"Stratocumulus cumulogenitus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"20.0";"";"";"";"";"";"";
"07.12.2017 08:30";"20.4";"710.7";"759.7";"";"89";"Calm, no wind";"0";"";"";"60%.";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"21.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"18.5";"";"";"";"";"";"";
"06.12.2017 20:30";"23.2";"710.7";"755.5";"";"71";"Wind blowing from the east-southeast";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"17.6";"";"";"";"";"";"";
"06.12.2017 17:30";"23.2";"710.7";"755.5";"";"71";"Wind blowing from the east-southeast";"1";"";"";"70 – 80%.";" ";"";"";"";"";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"17.6";"";"";"";"";"";"";
"06.12.2017 08:30";"20.4";"711.4";"759.9";"";"96";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"19.2";"";"";"";"";"";"";"2.0";"19.8";"";"";"";"";"";"";
"05.12.2017 17:30";"23.0";"710.6";"756.2";"";"56";"Wind blowing from the east-southeast";"1";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.8";"";"";"";"";"";"";
"05.12.2017 08:30";"21.2";"710.6";"759.7";"";"91";"Calm, no wind";"0";"";"";"50%.";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"20.0";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"19.7";"";"";"";"";"";"";
"04.12.2017 17:30";"27.2";"711.3";"756.2";"";"62";"Wind blowing from the east-southeast";"1";"";"";"20–30%.";" ";"";"";"";"27.2";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.2";"";"";"";"";"";"";
"04.12.2017 08:30";"24.4";"713.2";"759.7";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"2.0";"16.9";"";"";"";"";"";"";
"03.12.2017 17:30";"28.2";"710.4";"755.5";"";"61";"Wind blowing from the east-southeast";"2";"";"";"40%.";" ";"";"";"";"31.6";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"19.9";"";"";"";"";"";"";
"03.12.2017 08:30";"20.6";"711.1";"760.6";"";"83";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"21.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.5";"";"";"";"";"";"";
"02.12.2017 17:30";"27.4";"710.4";"755.3";"";"49";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"31.4";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"02.12.2017 08:30";"22.2";"713.4";"759.8";"";"74";"Wind blowing from the east-southeast";"1";"";"";"20–30%.";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"20.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"17.3";"";"";"";"";"";"";
"01.12.2017 17:30";"28.4";"710.6";"756.2";"";"37";"Wind blowing from the north";"5";"";"";"20–30%.";" ";"";"";"";"";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"12.4";"";"";"";"";"";"";
"01.12.2017 08:30";"20.2";"710.4";"760.1";"";"82";"Calm, no wind";"0";"";"";"20–30%.";" ";"";"";"17.2";"";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"17.0";"";"";"";"";"";"";
"30.11.2017 17:30";"28.4";"709.8";"754.7";"";"59";"Calm, no wind";"0";"";"";"40%.";" ";"";"";"";"32.0";"No Stratocumulus, Stratus, Cumulus or Cumulonimbus.";"no clouds";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"19.5";"";"";"";"";"";"";
"30.11.2017 08:30";"16.4";"713.1";"751.5";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"4.0";"12.2";"";"";"";"";"";"";
"29.11.2017 17:30";"28.2";"711.9";"755.6";"";"42";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"10.0";"14.1";"";"";"";"";"";"";
"29.11.2017 08:30";"16.2";"713.1";"751.5";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"10.0";"12.8";"";"";"";"";"";"";
"28.11.2017 17:30";"28.2";"";"755.3";"";"45";"Wind blowing from the east-northeast";"1";"";"";"no clouds";" ";"";"";"";"31.8";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"28.11.2017 08:30";"20.4";"713.2";"759.5";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.1";"";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"27.11.2017 17:30";"28.8";"710.8";"755.9";"";"36";"Wind blowing from the east";"1";"";"";"50%.";" ";"";"";"";"31.5";"";"";"600-1000";"";"";"4.0";"12.4";"";"";"";"";"";"";
"27.11.2017 08:30";"17.2";"710.6";"755.2";"";"81";"Wind blowing from the north-east";"1";"";"";"40%.";" ";"";"";"15.0";"";"";"";"2500 or more, or no clouds.";"";"";"2.0";"13.8";"";"";"";"";"";"";
"26.11.2017 17:30";"28.8";"710.6";"755.5";"";"53";"Wind blowing from the east-southeast";"2";"";"";"40%.";" ";"";"";"";"32.0";"Stratocumulus cumulogenitus.";"40%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"10.0";"18.2";"";"";"";"";"";"";
"26.11.2017 08:30";"20.4";"713.1";"755.3";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.6";"";"";"";"";"";"";"4.0";"17.3";"";"";"";"";"";"";
"25.11.2017 17:30";"28.4";"710.4";"755.3";"";"40";"Wind blowing from the east-southeast";"2";"";"";"40%.";" ";"";"";"";"31.3";"";"";"2500 or more, or no clouds.";"";"";"10.0";"13.5";"";"";"";"";"";"";
"25.11.2017 08:30";"19.6";"713.2";"759.7";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.6";"";"";"";"";"";"";"2.0";"16.9";"";"";"";"";"";"";
"24.11.2017 17:30";"28.8";"710.6";"757.0";"";"53";"Wind blowing from the east";"2";"";"";"40%.";" ";"";"";"";"32.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"18.2";"";"";"";"";"";"";
"24.11.2017 08:30";"20.0";"712.3";"758.5";"";"63";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"20.2";"";"";"";"";"";"";"2.0";"12.6";"";"";"";"";"";"";
"23.11.2017 17:30";"30.6";"715.4";"761.0";"";"48";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"32.1";"";"";"";"";"";"10.0";"18.3";"";"";"";"";"";"";
"23.11.2017 08:30";"19.8";"713.4";"760.1";"";"75";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"16.4";"";"";"";"";"";"";"2.0";"15.2";"";"";"";"";"";"";
"22.11.2017 17:30";"28.2";"709.4";"754.3";"";"45";"Wind blowing from the east-southeast";"1";"";"";"20–30%.";" ";"";"";"";"32.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"2500 or more, or no clouds.";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.2";"";"";"";"";"";"";
"22.11.2017 08:30";"19.8";"713.4";"760.1";"";"75";"Calm, no wind";"0";"";"";"no clouds";"Fog or ice fog, sky visible (has become thinner during the preceding hour). ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"16.4";"";"";"";"";"";"";"2.0";"15.2";"";"";"";"";"";"";
"21.11.2017 17:30";"29.4";"710.7";"755.5";"";"67";"Wind blowing from the east-southeast";"1";"";"";"70 – 80%.";" ";"";"";"";"32.0";"Cumulonimbus calvus, with or without Cumulus, Stratocumulus or Stratus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"22.6";"";"";"";"";"";"";
"21.11.2017 08:30";"23.4";"713.8";"759.7";"";"86";"Calm, no wind";"0";"";"";"50%.";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"20.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"21.0";"";"";"";"";"";"";
"20.11.2017 17:30";"28.8";"710.6";"755.9";"";"55";"Wind blowing from the south-east";"1";"";"";"70 – 80%.";" ";"";"";"";"31.1";"Cumulonimbus capillatus (often with an anvil), with or without Cumulonimbus calvus, Cumulus, Stratocumulus, Stratus or pannus.";"40%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"4.0";"18.8";"";"";"";"";"";"";
"20.11.2017 08:30";"32.2";"714.3";"760.2";"";"49";"Calm, no wind";"0";"";"";"60%.";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky throughout the appropriate period.";"";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"Altocumulus translucidus at a single level.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"20.2";"";"";"";"";"";"";
"18.11.2017 17:30";"28.8";"710.2";"754.9";"";"44";"Wind blowing from the south-east";"1";"";"";"40%.";" ";"";"";"";"31.1";"Stratocumulus cumulogenitus.";"40%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"15.3";"";"";"";"";"";"";
"18.11.2017 08:30";"20.0";"713.2";"759.7";"";"75";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"16.2";"";"";"";"";"";"";"2.0";"15.5";"";"";"";"";"";"";
"17.11.2017 17:30";"28.2";"709.4";"754.2";"";"45";"Wind blowing from the east-southeast";"1";"";"";"20–30%.";" ";"";"";"";"31.6";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.2";"";"";"";"";"";"";
"17.11.2017 08:30";"19.8";"712.7";"759.1";"";"72";"Calm, no wind";"0";"";"";"10%  or less, but not 0";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"16.6";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"10%  or less, but not 0";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"No Cirrus, Cirrocumulus or Cirrostratus.";"2.0";"14.5";"";"";"";"";"";"";
"16.11.2017 17:30";"28.4";"709.5";"754.3";"";"46";"Wind blowing from the north";"1";"";"";"60%.";" ";"";"";"";"32.0";"Stratocumulus other than Stratocumulus cumulogenitus.";"50%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.7";"";"";"";"";"";"";
"16.11.2017 08:30";"20.2";"712.3";"758.5";"";"75";"Calm, no wind";"0";"";"";"no clouds";"Mist. ";"Fog or ice fog or thick haze.";"Fog or ice fog or thick haze.";"17.2";"";"";"";"";"";"";"2.0";"15.7";"";"";"";"";"";"";
"15.11.2017 17:30";"28.6";"708.8";"753.6";"";"46";"Calm, no wind";"0";"";"";"50%.";" ";"";"";"";"31.9";"Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus fibratus, sometimes uncinus, not progressively invading the sky.";"4.0";"15.8";"";"";"";"";"";"";
"15.11.2017 08:30";"19.0";"712.1";"758.7";"";"78";"Wind blowing from the north-east";"1";"";"";"40%.";"Mist. ";"Fog or ice fog or thick haze.";"Cloud covering more than 1/2 of the sky during part of the appropriate period and covering 1/2 or less during part of the period.";"16.2";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"600-1000";"No Altocumulus, Altostratus or Nimbostratus.";"Cirrus spissatus, in patches or entangled sheaves, which usually do not increase and sometimes seem to be the remains of the upper part of a Cumulonimbus; or Cirrus castellanus or floccus.";"2.0";"15.1";"";"";"";"";"";"";
