# Weather station Sangli, India, WMO_ID=43158,selection from 28.05.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43158&lang=en
#
"Local time in Sangli";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"26.8";"710.4";"755.6";"";"50";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"10.0";"15.4";"";"";"";"";"";"";
"31.12.2017 08:30";"14.4";"714.2";"761.5";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"10.0";"11.9";"";"";"";"";"";"";
"30.12.2017 17:30";"27.2";"711.5";"756.6";"";"49";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.3";"";"";"";"";"";"10.0";"15.5";"";"";"";"";"";"";
"30.12.2017 08:30";"13.0";"714.7";"762.4";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"11.7";"";"";"";"";"";"";"10.0";"10.0";"";"";"";"";"";"";
"29.12.2017 17:30";"27.4";"712.0";"757.2";"";"40";"Wind blowing from the south";"1";"";"";"no clouds";" ";"";"";"";"30.1";"";"";"";"";"";"10.0";"12.6";"";"";"";"";"";"";
"28.12.2017 17:30";"27.4";"711.7";"756.8";"";"39";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"29.8";"";"";"";"";"";"10.0";"12.2";"";"";"";"";"";"";
"28.12.2017 08:30";"14.0";"715.0";"762.7";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"12.6";"";"";"";"";"";"";"10.0";"10.4";"";"";"";"";"";"";
"27.12.2017 17:30";"27.4";"712.3";"757.4";"";"40";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"10.0";"12.6";"";"";"";"";"";"";
"27.12.2017 08:30";"15.4";"715.2";"762.4";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.1";"";"";"";"";"";"";"10.0";"12.3";"";"";"";"";"";"";
"26.12.2017 17:30";"28.4";"712.4";"757.4";"";"44";"Wind blowing from the east";"1";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"10.0";"15.1";"";"";"";"";"";"";
