# Weather station Jalna, India, WMO_ID=43012,selection from 08.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43012&lang=en
#
"Local time in Jalna";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"08.12.2017 08:30";"23.2";"716.1";"761.2";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"4.0";"18.0";"";"";"";"";"";"";
"07.12.2017 17:30";"28.0";"713.2";"757.4";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"10.0";"20.7";"";"";"";"";"";"";
"07.12.2017 08:30";"23.0";"714.5";"759.7";"";"75";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"20.0";"";"";"";"600-1000";"";"";"10.0";"18.4";"";"";"";"";"";"";
"06.12.2017 08:30";"21.0";"713.9";"759.4";"";"83";"Calm, no wind";"0";"";"";"60%.";" ";"";"";"18.0";"";"";"";"600-1000";"";"";"4.0";"17.9";"";"";"";"";"";"";
"05.12.2017 08:30";"19.0";"714.4";"760.2";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"14.0";"";"";"";"";"";"";
"04.12.2017 17:30";"26.2";"713.6";"754.3";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"04.12.2017 08:30";"19.0";"715.9";"761.8";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"12.1";"";"";"";"";"";"";
"02.12.2017 17:30";"26.0";"714.1";"758.8";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"02.12.2017 08:30";"18.0";"716.8";"762.9";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"10.0";"11.3";"";"";"";"";"";"";
"30.11.2017 17:30";"27.0";"713.9";"758.4";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"30.11.2017 08:30";"17.0";"717.0";"763.3";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"11.8";"";"";"";"";"";"";
"29.11.2017 17:30";"27.0";"700.0";"759.4";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"17.9";"";"";"";"";"";"";
"29.11.2017 08:30";"18.0";"717.4";"763.6";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"28.11.2017 17:30";"27.4";"714.7";"759.1";"";"59";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"10.0";"18.7";"";"";"";"";"";"";
"28.11.2017 08:30";"16.0";"717.1";"763.5";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"10.0";"10.6";"";"";"";"";"";"";
"27.11.2017 17:30";"28.0";"714.5";"758.8";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"27.11.2017 08:30";"18.0";"717.7";"763.8";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"25.11.2017 08:30";"19.0";"717.7";"763.7";"";"73";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"17.0";"";"";"";"";"";"";"4.0";"14.0";"";"";"";"";"";"";
"24.11.2017 17:30";"30.2";"714.6";"758.5";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.1";"";"";"";"";"";"10.0";"20.3";"";"";"";"";"";"";
"24.11.2017 08:30";"20.4";"716.8";"762.4";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"23.11.2017 17:30";"30.0";"712.9";"756.8";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"19.7";"";"";"";"";"";"";
"23.11.2017 08:30";"21.0";"715.2";"760.7";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"10.0";"17.9";"";"";"";"";"";"";
"22.11.2017 17:30";"28.6";"713.1";"757.2";"";"60";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"20.1";"";"";"";"";"";"";
"22.11.2017 08:30";"21.0";"715.2";"760.7";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"10.0";"17.9";"";"";"";"";"";"";
"21.11.2017 17:30";"28.0";"714.8";"759.1";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"20.7";"";"";"";"";"";"";
"21.11.2017 08:30";"23.0";"716.6";"761.8";"";"75";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"21.0";"";"";"";"600-1000";"";"";"10.0";"18.4";"";"";"";"";"";"";
"20.11.2017 17:30";"28.8";"714.7";"758.9";"";"55";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"";"29.7";"";"";"600-1000";"";"";"10.0";"19.0";"";"";"";"";"";"";
"18.11.2017 17:30";"28.4";"714.3";"758.5";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"17.8";"";"";"";"";"";"";
"18.11.2017 08:30";"21.0";"719.8";"761.6";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"19.0";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"17.11.2017 17:30";"29.0";"712.3";"756.4";"";"53";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"18.5";"";"";"";"";"";"";
"17.11.2017 08:30";"20.0";"715.6";"761.2";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"16.11.2017 08:30";"19.0";"715.3";"761.1";"";"63";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.2";"";"";"";"";"";"";"10.0";"11.7";"";"";"";"";"";"";
"15.11.2017 17:30";"28.2";"712.8";"756.9";"";"55";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.6";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"15.11.2017 08:30";"19.0";"715.5";"761.3";"";"64";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"14.11.2017 17:30";"28.0";"711.7";"755.9";"";"52";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"17.3";"";"";"";"";"";"";
"14.11.2017 08:30";"17.4";"714.5";"760.4";"";"74";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"12.6";"";"";"";"";"";"";
"13.11.2017 17:30";"27.0";"711.5";"755.8";"";"51";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"16.1";"";"";"";"";"";"";
"13.11.2017 08:30";"17.0";"715.8";"762.0";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"15.0";"";"";"";"";"";"";"10.0";"11.8";"";"";"";"";"";"";
