# Weather station Nanded, India, WMO_ID=43021,selection from 28.05.2013 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=43021&lang=en
#
"Local time in Nanded";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"14.09.2017 08:30";"26.5";"";"757.6";"";"93";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"13.09.2017 08:30";"25.5";"";"757.8";"";"95";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"12.09.2017 08:30";"27.0";"727.1";"757.3";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"11.09.2017 08:30";"29.5";"725.6";"755.5";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"10.0";"27.4";"";"";"";"";"";"";
"10.09.2017 08:30";"28.0";"726.3";"756.4";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"10.0";"26.6";"";"";"";"";"";"";
"09.09.2017 08:30";"27.0";"725.8";"756.0";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"08.09.2017 08:30";"26.5";"725.9";"756.1";"";"95";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"25.7";"";"";"";"";"";"";
"07.09.2017 08:30";"27.0";"725.8";"756.0";"";"97";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"26.4";"";"";"";"";"";"";
"06.09.2017 08:30";"27.0";"726.1";"756.3";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"05.09.2017 08:30";"26.0";"";"758.2";"";"97";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"25.4";"";"";"";"";"";"";
"04.09.2017 17:30";"32.0";"";"754.4";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"26.4";"";"";"";"";"";"";
"04.09.2017 08:30";"27.0";"";"757.7";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"03.09.2017 17:30";"33.0";"";"753.4";"";"67";"";"";"";"";"";" ";"";"";"";"34.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.0";"";"";"";"";"";"";
"03.09.2017 08:30";"27.0";"";"756.4";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"24.1";"";"";"";"";"";"";
"02.09.2017 17:30";"32.0";"";"756.4";"";"65";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"02.09.2017 08:30";"27.0";"";"756.3";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"24.1";"";"";"";"";"";"";
"01.09.2017 08:30";"25.0";"";"754.0";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.0";"";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
"31.08.2017 17:30";"32.0";"";"752.7";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"26.4";"";"";"";"";"";"";
"30.08.2017 17:30";"32.0";"";"746.3";"";"79";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.5";"";"";"";"";"";"10.0";"27.9";"";"";"";"";"";"";
"30.08.2017 08:30";"26.0";"";"750.3";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"29.08.2017 17:30";"26.0";"";"747.1";"";"98";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"29.08.2017 08:30";"25.0";"";"749.5";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"28.08.2017 17:30";"26.0";"";"748.0";"";"98";"";"";"";"";"";" ";"";"";"";"28.5";"";"";"2500 or more, or no clouds.";"";"";"20.0";"25.6";"";"";"";"";"";"";
"28.08.2017 08:30";"24.5";"";"750.7";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"10.0";"24.5";"";"";"";"";"";"";
"27.08.2017 08:30";"26.0";"";"750.7";"";"97";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"10.0";"25.4";"";"";"";"";"";"";
"26.08.2017 17:30";"26.0";"";"750.4";"";"98";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"26.08.2017 08:30";"26.0";"";"751.8";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"24.08.2017 08:30";"26.0";"";"754.8";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"23.08.2017 17:30";"31.0";"";"751.9";"";"76";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"26.3";"";"";"";"";"";"";
"23.08.2017 08:30";"26.0";"";"754.9";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"22.08.2017 08:30";"25.5";"724.7";"755.0";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"21.5";"";"";"";"";"";"";"10.0";"24.1";"";"";"";"";"";"";
"21.08.2017 17:30";"23.5";"726.2";"756.8";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.5";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
"21.08.2017 08:30";"22.5";"719.7";"750.1";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.0";"";"";"";"";"";"";"10.0";"22.5";"";"";"";"";"";"";
"20.08.2017 17:30";"23.0";"726.2";"756.8";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"24.5";"";"";"";"";"";"10.0";"23.0";"";"";"";"";"";"";
"20.08.2017 08:30";"23.5";"719.2";"749.5";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"20.5";"";"";"";"";"";"";"10.0";"23.5";"20.0";"3";"";"";"";"";
"19.08.2017 08:30";"25.5";"721.3";"751.5";"";"95";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"18.08.2017 17:30";"27.5";"720.8";"750.7";"";"96";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"10.0";"26.8";"";"";"";"";"";"";
"18.08.2017 08:30";"25.0";"723.1";"753.4";"";"";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"17.08.2017 08:30";"25.5";"724.8";"755.1";"";"95";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"16.08.2017 08:30";"26.0";"726.4";"756.7";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"24.0";"";"";"";"";"";"";
"14.08.2017 17:30";"28.0";"";"755.9";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"10.0";"28.0";"";"";"";"";"";"";
"14.08.2017 08:30";"25.0";"";"757.8";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"13.08.2017 08:30";"26.5";"";"756.3";"";"93";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"12.08.2017 08:30";"26.0";"";"756.1";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"11.08.2017 08:30";"26.5";"";"755.3";"";"95";"";"";"";"";"";" ";"";"";"22.5";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"25.7";"";"";"";"";"";"";
"10.08.2017 17:30";"31.0";"";"751.6";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"28.3";"";"";"";"";"";"";
"10.08.2017 08:30";"26.0";"";"754.8";"";"92";"";"";"";"";"";" ";"";"";"22.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.6";"";"";"";"";"";"";
"09.08.2017 08:30";"24.0";"";"754.6";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"10.0";"24.0";"";"";"";"";"";"";
"08.08.2017 17:30";"29.5";"";"752.8";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"10.0";"27.4";"";"";"";"";"";"";
"08.08.2017 08:30";"25.0";"";"754.8";"";"91";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"10.0";"23.5";"";"";"";"";"";"";
"06.08.2017 17:30";"31.0";"";"750.2";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"26.8";"";"";"";"";"";"";
"05.08.2017 08:30";"26.5";"";"753.2";"";"95";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"25.7";"";"";"";"";"";"";
"04.08.2017 08:30";"26.0";"";"754.3";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"03.08.2017 08:30";"27.0";"";"755.4";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"02.08.2017 08:30";"27.0";"";"756.0";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"01.08.2017 17:30";"34.5";"";"750.7";"";"71";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"10.0";"28.4";"";"";"";"";"";"";
"01.08.2017 08:30";"27.6";"726.0";"756.1";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"31.07.2017 08:30";"27.0";"726.1";"756.3";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"30.07.2017 17:30";"34.0";"723.1";"752.5";"";"69";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.0";"";"";"";"";"";"10.0";"27.5";"";"";"";"";"";"";
"30.07.2017 08:30";"27.0";"724.9";"755.0";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"27.07.2017 08:30";"26.0";"722.9";"753.1";"";"90";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"24.3";"";"";"";"";"";"";
"26.07.2017 17:30";"31.5";"720.2";"749.7";"";"82";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"32.0";"";"";"";"";"";"10.0";"28.1";"";"";"";"";"";"";
"26.07.2017 11:30";"27.2";"723.0";"753.0";"";"96";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"";"26.5";"";"";"";"";"";"";
"26.07.2017 08:30";"27.2";"723.0";"753.0";"";"96";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"10.0";"26.5";"";"";"";"";"";"";
"25.07.2017 08:30";"25.0";"722.5";"752.8";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"24.07.2017 17:30";"31.5";"720.0";"749.5";"";"82";"";"";"";"";"";" ";"";"";"";"32.0";"";"";"2500 or more, or no clouds.";"";"";"10.0";"28.1";"";"";"";"";"";"";
"24.07.2017 08:30";"27.0";"723.0";"753.1";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"23.07.2017 08:30";"28.0";"722.7";"752.6";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"26.6";"";"";"";"";"";"";
"22.07.2017 17:30";"29.5";"720.0";"749.7";"";"93";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"28.2";"";"";"";"";"";"";
"22.07.2017 08:30";"27.0";"721.6";"751.6";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"21.07.2017 08:30";"27.0";"721.2";"751.2";"";"97";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"26.4";"";"";"";"";"";"";
"20.07.2017 08:30";"25.5";"721.0";"751.1";"";"95";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"19.07.2017 17:30";"27.5";"719.3";"749.2";"";"80";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"10.0";"23.8";"";"";"";"";"";"";
"19.07.2017 08:30";"24.5";"720.8";"751.0";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"10.0";"24.5";"";"";"";"";"";"";
"18.07.2017 17:30";"27.0";"";"749.2";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"10.0";"24.1";"";"";"";"";"";"";
"18.07.2017 08:30";"24.5";"";"751.2";"";"100";"";"";"";"";"";" ";"";"";"22.0";"";"";"";"600-1000";"";"";"10.0";"24.5";"";"";"";"";"";"";
"17.07.2017 17:30";"25.0";"";"750.3";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"17.07.2017 08:30";"25.5";"";"753.5";"";"94";"";"";"";"";"";" ";"";"";"21.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"24.5";"";"";"";"";"";"";
"16.07.2017 17:30";"27.5";"";"750.6";"";"";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"16.07.2017 08:30";"26.0";"";"753.2";"";"97";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"25.4";"";"";"";"";"";"";
"15.07.2017 08:30";"26.0";"";"752.9";"";"97";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"25.4";"";"";"";"";"";"";
"14.07.2017 17:30";"27.5";"";"749.7";"";"96";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"26.8";"";"";"";"";"";"";
"14.07.2017 08:30";"26.0";"";"753.2";"";"97";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"25.4";"";"";"";"";"";"";
"13.07.2017 08:30";"25.0";"";"754.5";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"12.07.2017 17:30";"30.5";"";"751.9";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"22.4";"";"";"";"";"";"";
"12.07.2017 08:30";"27.0";"";"754.3";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"11.07.2017 17:30";"32.0";"";"751.5";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.5";"";"";"";"";"";"10.0";"22.7";"";"";"";"";"";"";
"10.07.2017 08:30";"27.5";"";"755.8";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"10.0";"24.7";"";"";"";"";"";"";
"09.07.2017 17:30";"33.5";"";"749.8";"";"70";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.5";"";"";"";"";"";"10.0";"27.4";"";"";"";"";"";"";
"08.07.2017 17:30";"34.0";"";"751.8";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.5";"";"";"";"";"";"10.0";"27.1";"";"";"";"";"";"";
"08.07.2017 08:30";"29.5";"";"751.0";"";"81";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"07.07.2017 08:30";"28.0";"";"754.2";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"06.07.2017 08:30";"27.0";"";"754.0";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"05.07.2017 08:30";"27.5";"";"754.2";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"10.0";"25.3";"";"";"";"";"";"";
"04.07.2017 17:30";"34.0";"721.3";"750.6";"";"62";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"35.0";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"04.07.2017 08:30";"27.0";"723.8";"753.9";"";"84";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"10.0";"24.1";"";"";"";"";"";"";
"03.07.2017 08:30";"28.0";"723.4";"753.4";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"02.07.2017 08:30";"29.0";"721.5";"751.3";"";"85";"";"";"";"";"";" ";"";"";"25.5";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.2";"";"";"";"";"";"";
"01.07.2017 08:30";"29.0";"721.4";"751.2";"";"85";"";"";"";"";"";" ";"";"";"25.0";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.2";"";"";"";"";"";"";
"30.06.2017 08:30";"27.5";"722.5";"752.5";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"10.0";"25.3";"";"";"";"";"";"";
"29.06.2017 08:30";"26.0";"721.5";"751.6";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"28.06.2017 17:30";"30.5";"719.9";"749.5";"";"83";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"27.2";"";"";"";"";"";"";
"28.06.2017 08:30";"26.0";"722.2";"752.3";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"27.06.2017 08:30";"27.0";"722.2";"752.2";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.5";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"26.06.2017 08:30";"28.0";"721.1";"751.0";"";"89";"Calm, no wind";"0";"";"";"100%.";" ";"";"";"24.5";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.0";"";"";"";"";"";"";
"25.06.2017 17:30";"34.0";"718.2";"747.4";"";"56";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"34.5";"";"";"";"";"";"10.0";"24.0";"";"";"";"";"";"";
"25.06.2017 08:30";"28.0";"720.5";"750.4";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"10.0";"26.0";"";"";"";"";"";"";
"24.06.2017 08:30";"27.0";"723.6";"753.7";"";"94";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.0";"";"";"";"";"";"";"10.0";"25.9";"";"";"";"";"";"";
"23.06.2017 17:30";"35.5";"721.5";"750.7";"";"58";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"10.0";"25.9";"";"";"";"";"";"";
"23.06.2017 08:30";"29.0";"724.4";"754.3";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"10.0";"26.2";"";"";"";"";"";"";
"22.06.2017 17:30";"36.0";"720.5";"749.6";"";"57";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.5";"";"";"";"";"";"10.0";"26.3";"";"";"";"";"";"";
"22.06.2017 08:30";"30.0";"724.0";"753.8";"";"78";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"26.0";"";"";"";"";"";"";"10.0";"25.8";"";"";"";"";"";"";
"21.06.2017 17:30";"35.5";"720.9";"750.0";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"38.5";"";"";"";"";"";"10.0";"28.4";"";"";"";"";"";"";
"21.06.2017 08:30";"29.0";"723.7";"753.6";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"10.0";"26.2";"";"";"";"";"";"";
"20.06.2017 08:30";"25.8";"723.3";"753.5";"";"";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"10.0";"";"";"";"";"";"";"";
"19.06.2017 17:30";"28.5";"722.3";"752.2";"";"89";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"26.5";"";"";"";"";"";"";
"19.06.2017 08:30";"30.0";"722.7";"752.5";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.5";"";"";"";"";"";"";"10.0";"27.2";"";"";"";"";"";"";
"18.06.2017 17:30";"34.0";"720.2";"749.5";"";"67";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"37.0";"";"";"";"";"";"10.0";"27.1";"";"";"";"";"";"";
"18.06.2017 08:30";"29.0";"723.5";"753.4";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"23.0";"";"";"";"";"";"";"10.0";"26.2";"";"";"";"";"";"";
"17.06.2017 17:30";"26.0";"722.2";"752.3";"";"100";"";"";"";"";"";" ";"";"";"";"";"";"";"2500 or more, or no clouds.";"";"";"10.0";"26.0";"";"";"";"";"";"";
"17.06.2017 08:30";"27.0";"724.3";"754.4";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"16.06.2017 17:30";"28.5";"722.2";"752.1";"";"88";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"26.4";"";"";"";"";"";"";
"16.06.2017 08:30";"25.0";"723.9";"754.2";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"25.0";"";"";"";"";"";"";
"15.06.2017 17:30";"27.5";"723.1";"753.1";"";"93";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"33.0";"";"";"";"";"";"10.0";"26.2";"";"";"";"";"";"";
"14.06.2017 17:30";"30.0";"720.2";"749.8";"";"26";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"10.0";"8.3";"";"";"";"";"";"";
"14.06.2017 08:30";"26.5";"724.5";"754.7";"";"100";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"22.5";"";"";"";"";"";"";"10.0";"26.5";"";"";"";"";"";"";
"13.06.2017 17:30";"31.0";"720.3";"749.8";"";"86";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"28.3";"";"";"";"";"";"";
"13.06.2017 08:30";"27.0";"721.8";"751.8";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"12.06.2017 08:30";"27.0";"722.6";"752.6";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"25.0";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"11.06.2017 17:30";"29.0";"721.9";"751.7";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"36.0";"";"";"";"";"";"10.0";"27.6";"";"";"";"";"";"";
"10.06.2017 08:30";"28.0";"722.8";"752.8";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"26.6";"";"";"";"";"";"";
"09.06.2017 08:30";"26.0";"723.3";"753.5";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.5";"";"";"";"";"";"";"10.0";"24.6";"";"";"";"";"";"";
"08.06.2017 08:30";"27.0";"725.8";"756.0";"";"92";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"25.6";"";"";"";"";"";"";
"07.06.2017 17:30";"31.5";"722.5";"752.1";"";"66";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"10.0";"24.5";"";"";"";"";"";"";
"07.06.2017 08:30";"28.0";"725.4";"755.5";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
"06.06.2017 17:30";"32.0";"722.4";"751.9";"";"72";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"38.0";"";"";"";"";"";"10.0";"26.4";"";"";"";"";"";"";
"06.06.2017 08:30";"28.0";"725.4";"755.5";"";"85";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"24.0";"";"";"";"";"";"";"10.0";"25.2";"";"";"";"";"";"";
