# Weather station Buldana, India, WMO_ID=42931,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42931&lang=en
#
"Local time in Buldana";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"31.12.2017 17:30";"26.4";"703.0";"757.1";"-3.1";"40";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"31.12.2017 14:30";"29.8";"706.1";"759.8";"-1.4";"30";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"31.12.2017 11:30";"25.4";"707.5";"762.1";"1.5";"43";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.0";"";"";"";"";"";"";
"31.12.2017 08:30";"17.4";"706.0";"762.1";"";"60";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"9.4";"";"";"";"";"";"";
"30.12.2017 17:30";"26.2";"704.4";"758.6";"-1.7";"37";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"30.12.2017 14:30";"29.6";"706.1";"759.8";"-2.0";"30";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"30.12.2017 11:30";"25.8";"708.1";"762.7";"0.7";"40";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"30.12.2017 08:30";"21.8";"707.4";"762.7";"";"38";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"6.7";"";"";"";"";"";"";
"29.12.2017 17:30";"26.4";"704.8";"759.0";"-2.3";"42";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"29.12.2017 14:30";"29.4";"707.1";"760.9";"0.9";"30";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"29.12.2017 11:30";"26.0";"706.2";"760.6";"-0.7";"38";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.6";"";"";"";"";"";"";
"29.12.2017 08:30";"18.0";"706.9";"762.9";"";"46";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"6.0";"";"";"";"";"";"";
"28.12.2017 17:30";"28.6";"704.6";"758.4";"-1.6";"36";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"31.2";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"28.12.2017 14:30";"29.0";"706.2";"760.0";"-0.7";"31";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"28.12.2017 11:30";"26.6";"706.9";"761.3";"0.1";"36";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"28.12.2017 08:30";"17.0";"706.8";"763.0";"";"49";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"13.0";"";"";"";"";"";"";"4.0";"6.1";"";"";"";"";"";"";
"27.12.2017 17:30";"27.4";"704.8";"758.8";"-1.6";"38";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"29.5";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"27.12.2017 14:30";"28.6";"706.4";"760.3";"-0.3";"33";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.9";"";"";"";"";"";"";
"27.12.2017 11:30";"26.4";"706.7";"761.1";"-0.9";"36";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"27.12.2017 08:30";"16.8";"707.6";"763.9";"";"46";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"12.0";"";"";"";"";"";"";"4.0";"5.1";"";"";"";"";"";"";
"26.12.2017 17:30";"25.0";"705.7";"760.3";"-1.1";"43";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"27.7";"";"";"";"";"";"4.0";"11.5";"";"";"";"";"";"";
"26.12.2017 14:30";"26.4";"706.8";"761.2";"-1.5";"36";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.3";"";"";"";"";"";"";
"26.12.2017 11:30";"23.6";"708.3";"763.3";"0.4";"37";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"8.1";"";"";"";"";"";"";
"26.12.2017 08:30";"17.6";"707.9";"764.1";"";"47";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"13.3";"";"";"";"";"";"";"4.0";"6.0";"";"";"";"";"";"";
"25.12.2017 17:30";"26.2";"704.8";"759.1";"-1.3";"43";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.7";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"25.12.2017 14:30";"28.6";"706.1";"760.0";"-2.2";"37";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.5";"";"";"";"";"";"";
"25.12.2017 11:30";"27.2";"708.3";"762.6";"2.1";"39";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"25.12.2017 08:30";"18.4";"706.2";"762.1";"";"54";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"8.9";"";"";"";"";"";"";
"24.12.2017 17:30";"27.4";"704.2";"758.2";"-2.4";"55";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"24.12.2017 14:30";"28.4";"706.6";"760.6";"-0.2";"39";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
"24.12.2017 11:30";"25.0";"706.8";"761.5";"1.5";"46";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"24.12.2017 08:30";"17.8";"705.3";"761.2";"";"60";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"9.9";"";"";"";"";"";"";
"23.12.2017 17:30";"25.2";"704.7";"759.1";"-1.9";"48";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"23.12.2017 14:30";"28.4";"706.6";"760.6";"-0.5";"39";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.1";"";"";"";"";"";"";
