# Weather station Buldana, India, WMO_ID=42931,selection from 07.12.2015 till 31.12.2017, all days
# Encoding: UTF-8
# The data is provided by the website "Reliable Prognosis", rp5.ru 
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/archive.php?wmo_id=42931&lang=en
#
"Local time in Buldana";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"23.12.2017 11:30";"24.6";"707.1";"761.8";"1.1";"47";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.6";"";"";"";"";"";"";
"23.12.2017 08:30";"14.2";"706.0";"762.7";"";"85";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"22.12.2017 17:30";"24.6";"706.6";"761.3";"-1.2";"51";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.0";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"22.12.2017 14:30";"28.8";"707.8";"761.8";"-1.5";"35";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"22.12.2017 11:30";"26.0";"709.3";"763.9";"0.8";"35";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"22.12.2017 08:30";"20.0";"708.5";"764.3";"";"47";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"8.3";"";"";"";"";"";"";
"21.12.2017 17:30";"28.0";"707.5";"761.6";"-1.1";"36";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"21.12.2017 14:30";"29.0";"708.6";"762.6";"-1.4";"31";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.4";"";"";"";"";"";"";
"21.12.2017 11:30";"26.0";"710.0";"764.7";"0.4";"35";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"9.2";"";"";"";"";"";"";
"21.12.2017 08:30";"19.8";"709.6";"765.5";"";"45";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"13.6";"";"";"";"";"";"";"4.0";"7.5";"";"";"";"";"";"";
"20.12.2017 17:30";"24.6";"707.1";"761.9";"0.3";"41";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"29.0";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"20.12.2017 14:30";"28.0";"706.8";"760.9";"-2.6";"25";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.3";"";"";"";"";"";"";
"20.12.2017 11:30";"26.6";"709.4";"763.9";"0.3";"36";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"20.12.2017 08:30";"18.2";"709.1";"765.3";"";"51";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"14.0";"";"";"";"";"";"";"4.0";"7.7";"";"";"";"";"";"";
"19.12.2017 23:30";"16.9";"707.9";"764.2";"";"54";"Calm, no wind";"0";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"7.4";"";"";"";"";"";"";
"19.12.2017 17:30";"26.2";"706.5";"760.9";"-0.3";"32";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"19.12.2017 14:30";"28.0";"706.8";"760.9";"-3.2";"25";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"6.2";"";"";"";"";"";"";
"19.12.2017 11:30";"24.0";"710.0";"765.1";"-1.0";"29";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"5.0";"";"";"";"";"";"";
"19.12.2017 08:30";"26.6";"711.0";"765.7";"";"24";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"4.6";"";"";"";"";"";"";
"18.12.2017 17:30";"25.0";"708.1";"762.9";"-1.1";"49";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"27.0";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"18.12.2017 14:30";"27.0";"709.2";"763.6";"";"45";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"18.12.2017 08:30";"19.0";"710.5";"766.6";"";"70";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"16.0";"";"";"";"";"";"";"4.0";"13.3";"";"";"";"";"";"";
"17.12.2017 17:30";"28.0";"706.8";"760.9";"-1.2";"46";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"15.4";"";"";"";"";"";"";
"17.12.2017 14:30";"28.6";"708.0";"762.1";"";"38";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.0";"";"";"";"";"";"";
"17.12.2017 11:30";"24.0";"710.7";"765.8";"3.0";"49";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"12.7";"";"";"";"";"";"";
"17.12.2017 08:30";"21.0";"707.7";"763.2";"";"71";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"16.12.2017 17:30";"28.4";"706.4";"760.4";"-0.6";"47";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.6";"";"";"";"";"";"4.0";"15.9";"";"";"";"";"";"";
"16.12.2017 14:30";"30.0";"707.0";"760.7";"-1.6";"40";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"10.0";"14.9";"";"";"";"";"";"";
"16.12.2017 11:30";"27.0";"708.6";"763.0";"0.3";"45";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"16.12.2017 08:30";"20.6";"708.3";"763.9";"";"64";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"17.6";"";"";"";"";"";"";"4.0";"13.6";"";"";"";"";"";"";
"15.12.2017 17:30";"27.4";"706.2";"760.3";"-0.2";"54";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"30.2";"";"";"";"";"";"4.0";"17.4";"";"";"";"";"";"";
"15.12.2017 14:30";"29.6";"706.4";"760.2";"-1.6";"42";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"15.12.2017 11:30";"26.2";"708.0";"762.5";"0.3";"56";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.6";"";"";"";"";"";"";
"15.12.2017 08:30";"21.0";"707.7";"763.2";"";"71";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"14.12.2017 14:30";"29.0";"706.2";"760.0";"-0.5";"47";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"14.12.2017 11:30";"27.2";"706.7";"760.9";"0.2";"54";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.0";"";"";"";"";"";"";
"14.12.2017 08:30";"19.0";"706.5";"762.3";"";"75";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"16.8";"";"";"";"";"";"";"4.0";"14.4";"";"";"";"";"";"";
"13.12.2017 17:30";"26.0";"704.5";"758.8";"-0.7";"57";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"30.5";"";"";"";"";"";"10.0";"16.7";"";"";"";"";"";"";
"13.12.2017 14:30";"30.0";"705.2";"758.8";"-1.0";"40";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"13.12.2017 11:30";"27.4";"706.2";"760.3";"-0.2";"49";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"13.12.2017 08:30";"20.2";"706.4";"761.9";"";"70";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"17.6";"";"";"";"";"";"";"4.0";"14.6";"";"";"";"";"";"";
"12.12.2017 17:30";"25.0";"704.4";"758.9";"-1.0";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.5";"";"";"";"";"";"10.0";"16.6";"";"";"";"";"";"";
"12.12.2017 14:30";"26.0";"705.4";"759.7";"-1.7";"57";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"12.12.2017 11:30";"23.0";"707.1";"762.1";"0.3";"60";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"12.12.2017 08:30";"21.0";"706.8";"762.2";"";"70";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"18.0";"";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"11.12.2017 17:30";"28.2";"703.8";"757.6";"-1.2";"51";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"31.5";"";"";"";"";"";"4.0";"17.2";"";"";"";"";"";"";
"11.12.2017 14:30";"28.8";"705.0";"758.8";"-1.7";"41";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.1";"";"";"";"";"";"";
"11.12.2017 11:30";"24.0";"706.7";"761.5";"0.2";"42";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.1";"";"";"";"";"";"";
"11.12.2017 08:30";"18.4";"706.5";"762.4";"";"59";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"14.6";"";"";"";"";"";"";"4.0";"10.2";"";"";"";"";"";"";
"10.12.2017 17:30";"26.0";"705.9";"760.3";"1.2";"44";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.7";"";"";"";"";"";"4.0";"12.8";"";"";"";"";"";"";
"10.12.2017 14:30";"28.6";"704.7";"758.5";"-2.7";"34";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"10.12.2017 11:30";"25.0";"707.4";"762.1";"0.6";"56";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.5";"";"";"";"";"";"";
"10.12.2017 08:30";"20.0";"706.8";"762.4";"";"57";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"17.2";"";"";"";"";"";"";"4.0";"11.3";"";"";"";"";"";"";
"09.12.2017 17:30";"26.6";"703.5";"757.6";"-1.3";"53";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"16.3";"";"";"";"";"";"";
"09.12.2017 14:30";"29.0";"704.8";"758.5";"";"47";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"16.7";"";"";"";"";"";"";
"09.12.2017 08:30";"20.8";"705.9";"761.3";"";"64";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"17.6";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"08.12.2017 17:30";"27.6";"703.1";"757.0";"-1.0";"51";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.0";"";"";"";"";"";"4.0";"16.4";"";"";"";"";"";"";
"08.12.2017 14:30";"29.2";"704.1";"757.8";"-1.7";"44";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.8";"";"";"";"";"";"";
"08.12.2017 11:30";"25.4";"705.8";"760.3";"0.5";"53";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.2";"";"";"";"";"";"";
"08.12.2017 08:30";"22.0";"705.3";"760.4";"";"58";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"17.8";"";"";"";"";"";"";"4.0";"13.4";"";"";"";"";"";"";
"07.12.2017 17:30";"27.0";"702.9";"756.9";"-1.0";"64";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"4.0";"19.6";"";"";"";"";"";"";
"07.12.2017 14:30";"27.0";"703.9";"758.0";"-0.5";"59";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.2";"";"";"";"";"";"";
"07.12.2017 11:30";"25.4";"704.4";"758.8";"0.1";"65";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.4";"";"";"";"";"";"";
"07.12.2017 08:30";"21.6";"704.3";"759.4";"";"76";"Wind blowing from the north-east";"1";"";"";"100%.";" ";"";"";"19.3";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"17.2";"";"";"";"";"";"";
"06.12.2017 20:30";"28.0";"701.7";"755.4";"";"58";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"06.12.2017 17:30";"28.0";"701.7";"755.4";"-1.0";"58";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"30.4";"";"";"";"";"";"4.0";"19.0";"";"";"";"";"";"";
"06.12.2017 14:30";"30.2";"702.7";"756.1";"-1.4";"51";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"18.9";"";"";"";"";"";"";
"06.12.2017 11:30";"26.2";"704.1";"758.3";"0.3";"59";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"17.6";"";"";"";"";"";"";
"06.12.2017 08:30";"21.0";"703.8";"759.0";"";"74";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"19.2";"";"";"";"";"";"";"4.0";"16.2";"";"";"";"";"";"";
"05.12.2017 17:30";"24.0";"701.8";"756.2";"-1.0";"55";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"26.6";"";"";"";"";"";"4.0";"14.3";"";"";"";"";"";"";
"05.12.2017 14:30";"26.2";"702.8";"756.9";"-1.9";"50";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"05.12.2017 11:30";"22.8";"704.7";"759.6";"0.7";"62";"Wind blowing from the south-east";"2";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"15.1";"";"";"";"";"";"";
"05.12.2017 08:30";"19.2";"704.0";"759.6";"";"72";"Wind blowing from the south-east";"1";"";"";"90  or more, but not 100%";" ";"";"";"17.4";"";"Stratocumulus other than Stratocumulus cumulogenitus.";"20–30%.";"2500 or more, or no clouds.";"Altocumulus translucidus at a single level.";"No Cirrus, Cirrocumulus or Cirrostratus.";"4.0";"13.9";"";"";"";"";"";"";
"04.12.2017 17:30";"27.0";"702.6";"756.5";"-1.8";"48";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"28.2";"";"";"";"";"";"4.0";"14.9";"";"";"";"";"";"";
"04.12.2017 14:30";"27.4";"704.4";"758.4";"-1.5";"43";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.8";"";"";"";"";"";"";
"04.12.2017 11:30";"22.4";"705.9";"761.0";"0.1";"57";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"13.5";"";"";"";"";"";"";
"04.12.2017 08:30";"20.0";"705.8";"761.3";"";"61";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"15.8";"";"";"";"";"";"";"4.0";"12.1";"";"";"";"";"";"";
"03.12.2017 17:30";"26.2";"703.8";"758.0";"0.0";"32";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"27.6";"";"";"";"";"";"4.0";"8.0";"";"";"";"";"";"";
"03.12.2017 14:30";"28.0";"703.8";"757.7";"";"43";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"14.2";"";"";"";"";"";"";
"03.12.2017 08:30";"18.2";"706.1";"762.0";"";"62";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"15.6";"";"";"";"";"";"";"4.0";"10.8";"";"";"";"";"";"";
"02.12.2017 17:30";"25.2";"703.8";"758.2";"-1.3";"37";"Wind blowing from the north-west";"1";"";"";"no clouds";" ";"";"";"";"28.6";"";"";"";"";"";"4.0";"9.5";"";"";"";"";"";"";
"02.12.2017 14:30";"27.6";"705.1";"759.1";"-1.8";"35";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"02.12.2017 11:30";"24.6";"706.9";"761.6";"0.5";"40";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"02.12.2017 08:30";"19.6";"706.4";"762.1";"";"54";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"14.2";"";"";"";"";"";"";"4.0";"10.0";"";"";"";"";"";"";
"01.12.2017 17:30";"25.6";"703.6";"757.9";"";"40";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"28.3";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
"01.12.2017 11:30";"22.8";"706.2";"761.2";"0.2";"46";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"10.7";"";"";"";"";"";"";
"01.12.2017 08:30";"20.0";"706.0";"761.6";"";"54";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"14.4";"";"";"";"";"";"";"4.0";"10.5";"";"";"";"";"";"";
"30.11.2017 17:30";"26.4";"703.6";"757.7";"-1.3";"39";"Wind blowing from the north-east";"1";"";"";"no clouds";" ";"";"";"";"31.0";"";"";"";"";"";"4.0";"11.2";"";"";"";"";"";"";
"30.11.2017 14:30";"29.4";"704.9";"758.6";"-2.0";"34";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.9";"";"";"";"";"";"";
"30.11.2017 11:30";"25.2";"706.9";"761.5";"0.3";"43";"Wind blowing from the south-east";"1";"";"";"no clouds";" ";"";"";"";"";"";"";"";"";"";"4.0";"11.7";"";"";"";"";"";"";
"30.11.2017 08:30";"20.4";"706.6";"762.1";"";"55";"Wind blowing from the south-west";"1";"";"";"no clouds";" ";"";"";"15.3";"";"";"";"";"";"";"4.0";"11.0";"";"";"";"";"";"";
